time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-03-28T00:00:00.000000,225221.3528,0.2265,0.2287,0.2628,0.2,365
2018-03-29T00:00:00.000000,124311.9012,0.2282,0.2265,0.2349,0.2084,186
2018-03-30T00:00:00.000000,231285.3585,0.2206,0.19,0.2206,0.19,253
2018-03-31T00:00:00.000000,310140.446,0.1866,0.1801,0.2064,0.18,361
2018-04-01T00:00:00.000000,19856.163,0.1971,0.2004,0.2004,0.1854,50
2018-04-02T00:00:00.000000,56226.305,0.2004,0.1888,0.2497,0.1731,120
2018-04-03T00:00:00.000000,83982.232,0.1911,0.1975,0.2017,0.1791,116
2018-04-04T00:00:00.000000,74049.612,0.1934,0.2156,0.235,0.1933,135
2018-04-05T00:00:00.000000,34888.331,0.2031,0.1912,0.22,0.1757,86
2018-04-06T00:00:00.000000,54164.755,0.1998,0.1842,0.2136,0.181,118
2018-04-07T00:00:00.000000,54791.19,0.1842,0.1807,0.1988,0.1805,93
2018-04-08T00:00:00.000000,58713.289,0.1807,0.1935,0.1975,0.1807,97
2018-04-09T00:00:00.000000,55578.687,0.1935,0.2024,0.2025,0.1935,85
2018-04-10T00:00:00.000000,50529.005,0.1995,0.1864,0.2024,0.185,92
2018-04-11T00:00:00.000000,21981.344,0.1863,0.1968,0.1969,0.1847,58
2018-04-12T00:00:00.000000,43980.474,0.1981,0.2084,0.2136,0.1969,94
2018-04-13T00:00:00.000000,169664.268,0.2134,0.235,0.2359,0.1984,296
2018-04-14T00:00:00.000000,123185.382,0.2351,0.2499,0.26,0.2164,248
2018-04-15T00:00:00.000000,83385.288,0.2351,0.255,0.2622,0.2351,184
2018-04-16T00:00:00.000000,127300.339,0.2587,0.2642,0.2708,0.2462,176
2018-04-17T00:00:00.000000,69078.395,0.268,0.2787,0.2787,0.2587,141
2018-04-18T00:00:00.000000,57149.927,0.2706,0.2785,0.2978,0.2642,121
2018-04-19T00:00:00.000000,279166.422,0.2655,0.364,0.4119,0.2655,747
2018-04-20T00:00:00.000000,246367.344,0.364,0.3639,0.4051,0.355,527
2018-04-24T00:00:00.000000,19710.691,0.446,0.4236,0.446,0.4151,85
2018-04-25T00:00:00.000000,80149.708,0.4236,0.48,0.48,0.4236,245
2018-04-26T00:00:00.000000,65656.993,0.4793,0.4034,0.4793,0.3737,244
2018-04-27T00:00:00.000000,56823.568,0.3902,0.4442,0.4466,0.39,126
2018-04-28T00:00:00.000000,78503.643,0.4437,0.4199,0.4508,0.4199,214
2018-04-29T00:00:00.000000,129475.163,0.4181,0.4341,0.4788,0.4172,385
2018-04-30T00:00:00.000000,98400.978,0.4503,0.4401,0.4771,0.4283,277
2018-05-01T00:00:00.000000,73459.894,0.4425,0.4644,0.51,0.4414,197
2018-05-02T00:00:00.000000,103049.159,0.4593,0.4997,0.5093,0.4415,312
2018-05-03T00:00:00.000000,113385.278,0.5024,0.4978,0.5354,0.48,374
2018-05-04T00:00:00.000000,97671.175,0.4978,0.5,0.53,0.4877,393
2018-05-05T00:00:00.000000,74347.498,0.4915,0.4902,0.5304,0.48,267
2018-05-06T00:00:00.000000,47447.292,0.4999,0.4655,0.5051,0.4482,242
2018-05-07T00:00:00.000000,164225.596,0.4644,0.4266,0.4644,0.417,320
2018-05-08T00:00:00.000000,102231.58,0.4261,0.3993,0.4391,0.3858,283
2018-05-09T00:00:00.000000,81246.598,0.3958,0.3991,0.4246,0.3801,236
2018-05-10T00:00:00.000000,32728.191,0.3984,0.3783,0.3984,0.3501,159
2018-05-11T00:00:00.000000,66358.308,0.3795,0.3872,0.3987,0.3681,208
2018-05-12T00:00:00.000000,125485.029,0.3729,0.3571,0.3757,0.3001,306
2018-05-13T00:00:00.000000,108713.152,0.3652,0.3669,0.3696,0.315,344
2018-05-14T00:00:00.000000,68929.57,0.3623,0.3884,0.39,0.3529,291
2018-05-15T00:00:00.000000,63403.10181254,0.3966,0.4,0.4199,0.3529,244
2018-05-16T00:00:00.000000,106833.328296749,0.3979,0.3733,0.409,0.37,237
2018-05-17T00:00:00.000000,68252.775853174,0.3727,0.393,0.4172,0.3475,228
2018-05-18T00:00:00.000000,70054.094962583,0.3929,0.3555,0.42,0.355,199
2018-05-19T00:00:00.000000,28287.845988639,0.3585,0.3665,0.3717,0.3484,109
2018-05-20T00:00:00.000000,45365.716497684,0.37,0.3609,0.398,0.3516,103
2018-05-21T00:00:00.000000,7114.91066123,0.3517,0.3619,0.3654,0.3517,34
2018-05-22T00:00:00.000000,22581.11846623,0.3619,0.35,0.3684,0.3485,108
