time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-07-06T00:00:00.000000,1347.33249044,3.87e-05,3.74e-05,3.94e-05,3.71e-05,20
2018-07-07T00:00:00.000000,14562.148454429,3.72e-05,4.01e-05,4.22e-05,3.66e-05,159
2018-07-08T00:00:00.000000,3169.0580361,4.02e-05,4e-05,4.12e-05,3.9e-05,36
2018-07-09T00:00:00.000000,8361.492646248,4.06e-05,4.09e-05,4.18e-05,3.9e-05,91
2018-07-10T00:00:00.000000,11163.216573412,4.11e-05,4.02e-05,4.25e-05,3.96e-05,121
2018-07-11T00:00:00.000000,5195.633882049,3.95e-05,3.87e-05,4e-05,3.78e-05,80
2018-07-12T00:00:00.000000,7098.114314865,3.89e-05,4.18e-05,4.23e-05,3.89e-05,76
2018-07-13T00:00:00.000000,5534.4254219,4.15e-05,4.41e-05,4.41e-05,4.06e-05,59
2018-07-14T00:00:00.000000,13241.717815827,4.37e-05,5.42e-05,5.54e-05,4.28e-05,119
2018-07-15T00:00:00.000000,39582.06913797,5.36e-05,5.05e-05,5.71e-05,4.92e-05,285
2018-07-16T00:00:00.000000,8143.04433374,4.99e-05,5e-05,5.46e-05,4.89e-05,83
2018-07-17T00:00:00.000000,5379.635535278,5e-05,5.31e-05,5.46e-05,4.94e-05,80
2018-07-18T00:00:00.000000,9712.941887934,5.26e-05,4.9e-05,5.59e-05,4.83e-05,89
2018-07-19T00:00:00.000000,31430.733574593,4.9e-05,4.93e-05,5.96e-05,4.88e-05,138
2018-07-20T00:00:00.000000,7149.76304253,4.77e-05,4.75e-05,4.91e-05,4.71e-05,33
2018-07-21T00:00:00.000000,10672.91928523,4.58e-05,4.31e-05,4.73e-05,4.1e-05,98
2018-07-22T00:00:00.000000,974.2494997,4.25e-05,4.47e-05,4.56e-05,4.24e-05,21
2018-07-23T00:00:00.000000,2358.59943949,4.34e-05,4.47e-05,4.65e-05,4.33e-05,35
2018-07-24T00:00:00.000000,69638.206663909,4.39e-05,4.56e-05,5.59e-05,4.23e-05,439
2018-07-25T00:00:00.000000,61749.83828576,4.51e-05,4.16e-05,5.21e-05,4.16e-05,305
2018-07-26T00:00:00.000000,31765.170757466,4.17e-05,4.04e-05,4.25e-05,3.85e-05,224
2018-07-27T00:00:00.000000,6915.62629087,4.06e-05,3.73e-05,4.11e-05,3.73e-05,57
2018-07-28T00:00:00.000000,4256.541671388,3.85e-05,4.01e-05,4.12e-05,3.82e-05,47
2018-07-29T00:00:00.000000,2971.08,3.95e-05,4.01e-05,4.02e-05,3.95e-05,20
2018-07-30T00:00:00.000000,3098.20232196,3.95e-05,3.82e-05,4e-05,3.81e-05,19
2018-07-31T00:00:00.000000,10635.48450509,3.77e-05,3.65e-05,3.84e-05,3.4e-05,63
2018-08-01T00:00:00.000000,3502.250196753,3.6e-05,3.51e-05,3.73e-05,3.51e-05,30
2018-08-02T00:00:00.000000,4206.48931936,3.51e-05,3.76e-05,3.76e-05,3.5e-05,32
2018-08-03T00:00:00.000000,2033.262254969,3.79e-05,3.44e-05,3.95e-05,3.44e-05,31
2018-08-04T00:00:00.000000,703.6359528,3.41e-05,3.54e-05,3.54e-05,3.4e-05,9
2018-08-05T00:00:00.000000,4458.58869158,3.65e-05,3.54e-05,3.67e-05,3.49e-05,26
2018-08-06T00:00:00.000000,210.57947545,3.55e-05,3.55e-05,3.55e-05,3.53e-05,7
2018-08-07T00:00:00.000000,43326.672160478,3.6e-05,3.85e-05,3.89e-05,3.59e-05,69
2018-08-08T00:00:00.000000,30544.838157442,3.86e-05,3.81e-05,4.31e-05,3.81e-05,184
2018-08-09T00:00:00.000000,20692.52826677,3.9e-05,3.54e-05,4.03e-05,3.41e-05,131
2018-08-10T00:00:00.000000,10049.868738415,3.56e-05,3.76e-05,3.76e-05,3.44e-05,75
2018-08-11T00:00:00.000000,6490.982590155,3.76e-05,3.53e-05,3.79e-05,3.53e-05,34
2018-08-12T00:00:00.000000,16526.702250404,3.49e-05,3.26e-05,3.53e-05,3.25e-05,62
