time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-04-23T00:00:00.000000,12012453.18166721,6.12e-06,6.5e-06,6.57e-06,6.06e-06,2050
2018-04-24T00:00:00.000000,40293863.62956664,6.41e-06,7.52e-06,7.85e-06,6.38e-06,6993
2018-04-25T00:00:00.000000,90483617.96525578,7.52e-06,7.45e-06,8.69e-06,7.18e-06,15479
2018-04-26T00:00:00.000000,43186834.63420648,7.43e-06,6.47e-06,7.7e-06,6.11e-06,6497
2018-04-27T00:00:00.000000,28805343.51577514,6.47e-06,7.01e-06,7.4e-06,6.22e-06,5472
2018-04-28T00:00:00.000000,31900795.72451887,7.01e-06,7.46e-06,7.96e-06,6.86e-06,6005
2018-04-29T00:00:00.000000,17037134.13272221,7.57e-06,7.68e-06,7.8e-06,7.23e-06,3191
2018-04-30T00:00:00.000000,28197650.15097478,7.69e-06,7.16e-06,7.7e-06,6.74e-06,5365
2018-05-01T00:00:00.000000,15023174.68655346,7.15e-06,6.65e-06,7.15e-06,6.47e-06,2970
2018-05-02T00:00:00.000000,12830784.96802782,6.65e-06,6.8e-06,6.86e-06,6.12e-06,2222
2018-05-03T00:00:00.000000,7530929.54770739,6.81e-06,6.79e-06,6.91e-06,6.59e-06,1850
2018-05-04T00:00:00.000000,9658291.68492477,6.79e-06,6.34e-06,6.79e-06,6.21e-06,1905
2018-05-05T00:00:00.000000,8660791.51829084,6.34e-06,6.18e-06,6.48e-06,6.05e-06,1545
2018-05-06T00:00:00.000000,12517474.81524523,6.2e-06,6.42e-06,6.51e-06,6.14e-06,2214
2018-05-07T00:00:00.000000,5839700.48795548,6.41e-06,5.9e-06,6.42e-06,5.88e-06,1470
2018-05-08T00:00:00.000000,6569082.98930308,5.91e-06,6.01e-06,6.27e-06,5.56e-06,1831
2018-05-09T00:00:00.000000,3492796.73128025,5.98e-06,5.94e-06,6.14e-06,5.8e-06,773
2018-05-10T00:00:00.000000,5093004.36887091,5.93e-06,5.77e-06,5.97e-06,5.33e-06,1253
2018-05-11T00:00:00.000000,5289566.65955581,5.78e-06,5.43e-06,5.83e-06,5.4e-06,1068
2018-05-12T00:00:00.000000,11686326.25858649,5.47e-06,4.89e-06,5.73e-06,4.33e-06,2255
2018-05-13T00:00:00.000000,3835751.08786038,4.88e-06,4.85e-06,5.03e-06,4.55e-06,695
2018-05-14T00:00:00.000000,4007902.29591419,4.8e-06,4.97e-06,5.19e-06,4.71e-06,849
2018-05-15T00:00:00.000000,5479619.85710966,4.97e-06,5.18e-06,5.39e-06,4.72e-06,1241
2018-05-16T00:00:00.000000,5049201.83363728,5.24e-06,5e-06,5.25e-06,5e-06,932
2018-05-17T00:00:00.000000,4203972.06054819,5.06e-06,5e-06,5.15e-06,4.78e-06,779
2018-05-18T00:00:00.000000,6543920.44904694,5e-06,5.07e-06,5.5e-06,4.95e-06,1145
2018-05-19T00:00:00.000000,3136084.75827019,5.07e-06,5.2e-06,5.33e-06,4.93e-06,533
2018-05-20T00:00:00.000000,2975457.16617521,5.21e-06,5.02e-06,5.4e-06,4.99e-06,448
2018-05-21T00:00:00.000000,1474381.53692567,5.07e-06,5.01e-06,5.1e-06,4.92e-06,317
2018-05-22T00:00:00.000000,2183725.39634121,5.01e-06,4.87e-06,5.01e-06,4.76e-06,440
2018-05-23T00:00:00.000000,3417658.02846408,4.87e-06,4.5e-06,4.93e-06,4.45e-06,686
