time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-09-22T00:00:00.000000,92.4,2.00005,2.00004,2.69963,2.00004,9
2017-09-23T00:00:00.000000,60.45,1.85001,1.82004,1.85001,1.45935,11
2017-09-24T00:00:00.000000,35.18,1.45945,2.69764,2.69764,1.45945,11
2017-09-25T00:00:00.000000,26.03,2.69761,2.69748,2.69761,1.64616,7
2017-09-26T00:00:00.000000,0.29,1.65,2.69701,2.69701,1.65,3
2017-09-28T00:00:00.000000,14.29,2.31805,2.6964,2.69644,1.69086,5
2017-09-29T00:00:00.000000,220.44,1.70005,2.67918,2.67974,1.70005,20
2017-09-30T00:00:00.000000,210.09,2.00003,2.17001,2.67927,2.0,12
2017-10-01T00:00:00.000000,1.27,2.67832,2.26352,2.67832,2.17002,5
2017-10-02T00:00:00.000000,6.97,2.6788,2.17003,2.6788,2.17001,6
2017-10-03T00:00:00.000000,8.92,2.59875,2.59865,2.59875,2.59865,3
2017-10-04T00:00:00.000000,2.52,2.01977,2.39999,2.39999,2.01977,84
2017-10-05T00:00:00.000000,42.34,2.14999,2.39984,2.39984,2.04759,5
2017-10-06T00:00:00.000000,0.02,2.24996,2.24996,2.24996,2.24996,1
2017-10-07T00:00:00.000000,110.93,2.24995,2.19839,2.24997,2.19839,24
2017-10-08T00:00:00.000000,52.0,2.05796,2.05797,2.05797,2.05796,2
2017-10-09T00:00:00.000000,2.51,2.49955,2.49955,2.49955,2.49955,1
2017-10-10T00:00:00.000000,540.0,2.05796,2.07907,2.07916,2.05796,10
2017-10-11T00:00:00.000000,11.39,2.47998,2.06284,2.47998,2.06284,7
2017-10-12T00:00:00.000000,32.61,2.4796,2.04185,2.4796,1.81,11
2017-10-13T00:00:00.000000,1.02,2.04051,2.04051,2.04051,2.04051,1
2017-10-14T00:00:00.000000,330.46,2.04,2.47998,2.47998,1.81576,17
2017-10-15T00:00:00.000000,1.18,2.05002,2.548,2.54801,2.05002,51
2017-10-16T00:00:00.000000,229.75,2.54801,2.38,2.54801,2.05,19
2017-10-17T00:00:00.000000,501.86,2.05001,1.82559,2.49,1.81,26
2017-10-18T00:00:00.000000,34.06,1.81169,1.95001,1.95001,1.81169,5
2017-10-19T00:00:00.000000,343.37,2.0,2.12,2.12,2.0,12
2017-10-20T00:00:00.000000,360.42,1.90018,1.90026,2.38848,1.90018,10
2017-10-21T00:00:00.000000,25.6,2.3884,2.3884,2.3884,2.3884,5
2017-10-22T00:00:00.000000,285.02,2.37,1.9,2.37,0.55076,40
2017-10-24T00:00:00.000000,1.53,1.35,1.96999,1.96999,1.35,3
2017-10-25T00:00:00.000000,509.45,1.97,1.35121,2.29998,1.35,10
2017-10-26T00:00:00.000000,90.4,1.80001,1.84,1.84,1.20002,16
2017-10-27T00:00:00.000000,1945.54,1.3623,2.09958,2.09958,1.3623,14
2017-10-28T00:00:00.000000,5.0,1.51571,1.50006,1.51571,1.50006,2
2017-10-29T00:00:00.000000,58.13,1.50011,1.50203,2.09949,1.50011,6
2017-10-30T00:00:00.000000,86.03,2.09946,2.09999,2.09999,1.50088,22
2017-10-31T00:00:00.000000,0.61,1.70101,1.70101,1.70101,1.70101,1
2017-11-01T00:00:00.000000,40.44,1.70103,1.751,2.08997,1.70103,8
2017-11-02T00:00:00.000000,24.24,2.08997,1.75,2.08997,1.75,5
2017-11-03T00:00:00.000000,131.44,1.70103,2.08986,2.08986,1.381,21
2017-11-04T00:00:00.000000,247.02,1.76246,1.82431,2.08499,1.76246,7
2017-11-05T00:00:00.000000,0.05,2.08498,2.08498,2.08498,2.08498,5
2017-11-06T00:00:00.000000,273.17,1.76,2.08359,2.08359,1.76,12
2017-11-07T00:00:00.000000,27.81,1.603,1.825,2.08357,1.511,9
2017-11-08T00:00:00.000000,4.32,1.51115,2.031,2.031,1.51115,2
2017-11-09T00:00:00.000000,41.09,2.02949,2.0295,2.031,2.02949,7
2017-11-10T00:00:00.000000,28.41,1.54428,2.29933,2.29933,1.54428,17
2017-11-11T00:00:00.000000,30.53,2.29999,1.65,2.3,1.62001,12
2017-11-12T00:00:00.000000,7.67,1.87603,1.89649,1.95253,1.87603,8
2017-11-13T00:00:00.000000,163.97,1.88305,1.79993,1.88305,1.70027,20
2017-11-14T00:00:00.000000,34.32,1.79455,1.85736,2.02037,1.79455,8
2017-11-15T00:00:00.000000,60.76,1.91812,2.03065,2.07492,1.91812,10
2017-11-16T00:00:00.000000,15.54,2.03018,2.00454,2.06851,1.84587,9
2017-11-17T00:00:00.000000,183.61,1.8868,1.92237,1.97164,1.8766,11
2017-11-18T00:00:00.000000,186.57,2.02804,1.95425,2.02804,1.67,25
2017-11-19T00:00:00.000000,5.57,1.99083,2.08157,2.09889,1.89553,20
2017-11-20T00:00:00.000000,38.03,2.08667,2.14297,2.18909,2.0,35
2017-11-21T00:00:00.000000,113.72,2.11434,2.13201,2.19688,2.0,20
2017-11-22T00:00:00.000000,17.84,2.07276,2.13744,2.18979,2.07276,5
2017-11-23T00:00:00.000000,210.13,2.23753,2.2965,2.2965,2.18574,15
2017-11-24T00:00:00.000000,185.07,2.298,2.5,2.5,2.25866,25
2017-11-25T00:00:00.000000,79709.95,2.44467,2.73741,2.78154,2.02116,2136
2017-11-26T00:00:00.000000,86828.14,2.75531,2.65225,2.76371,2.54539,8737
2017-11-27T00:00:00.000000,187055.72,2.68,2.67527,2.94384,2.42364,9562
2017-11-28T00:00:00.000000,133200.3,2.64515,2.67124,2.81317,2.49525,8678
2017-11-29T00:00:00.000000,128138.94,2.64213,2.5816,2.71209,2.52839,11162
2017-11-30T00:00:00.000000,184357.38,2.58546,2.36477,2.85186,2.2005,9347
2017-12-01T00:00:00.000000,92137.81,2.35547,2.42147,2.56461,2.12171,7515
2017-12-02T00:00:00.000000,102358.07,2.39949,2.51426,2.59718,2.27051,8965
2017-12-03T00:00:00.000000,130321.78,2.51631,2.52566,2.67299,2.36493,9647
2017-12-04T00:00:00.000000,221683.01,2.52473,2.54949,2.75595,2.40706,12719
2017-12-05T00:00:00.000000,114964.64,2.55733,2.61715,2.76185,2.4789,7102
2017-12-06T00:00:00.000000,193732.51,2.61892,2.83084,3.19465,2.58521,12219
2017-12-07T00:00:00.000000,117632.62,2.83055,2.47566,2.8437,2.42227,8326
2017-12-08T00:00:00.000000,133364.1,2.48104,2.37248,2.58864,2.27329,8603
2017-12-09T00:00:00.000000,141123.05,2.36802,2.57668,2.63872,2.10142,9682
2017-12-10T00:00:00.000000,162744.98,2.57624,2.67609,2.815,2.36676,13390
2017-12-11T00:00:00.000000,144739.5,2.66535,2.54165,2.69859,2.405,10286
2017-12-12T00:00:00.000000,133934.52,2.55196,2.96222,2.96222,2.54445,10614
2017-12-13T00:00:00.000000,56455.69,2.95101,3.39976,3.54697,2.88088,3087
2017-12-14T00:00:00.000000,40393.9,3.50603,3.73058,4.03029,3.32477,1708
2017-12-15T00:00:00.000000,21258.82,3.91,3.68849,4.07818,3.50508,1127
2017-12-16T00:00:00.000000,13989.9,3.67406,3.62404,3.7224,3.15104,1047
2017-12-17T00:00:00.000000,5239.72,3.71595,3.68788,3.86185,3.47664,948
2017-12-18T00:00:00.000000,8971.27,3.77797,3.90454,4.02378,3.7709,1363
2017-12-19T00:00:00.000000,11083.32,3.84013,4.65243,4.65445,3.81176,1517
2017-12-20T00:00:00.000000,5225.49,4.59188,4.6294,4.9546,4.33359,1050
2017-12-21T00:00:00.000000,29926.92,4.67453,4.29888,4.67453,4.02469,2764
2017-12-22T00:00:00.000000,19476.85,4.27522,4.45916,4.78539,4.00001,2298
2017-12-23T00:00:00.000000,12992.1,4.50988,3.7502,4.51802,2.98066,1550
2017-12-24T00:00:00.000000,15405.92,3.75428,3.83896,4.111,3.71218,1102
2017-12-25T00:00:00.000000,8228.7,3.61801,3.55701,3.67192,3.19624,892
2017-12-26T00:00:00.000000,4878.74,3.67734,4.86093,4.88219,3.6675,927
2017-12-27T00:00:00.000000,10179.34,4.90603,4.84079,5.0,4.29939,781
2017-12-28T00:00:00.000000,20889.69,4.84079,4.9109,4.94409,4.63249,2271
2017-12-29T00:00:00.000000,18915.79,4.75281,4.94871,4.95833,4.25624,1499
2017-12-30T00:00:00.000000,25949.94,5.06828,5.37721,5.46071,4.97417,2566
2017-12-31T00:00:00.000000,33283.32,5.34499,4.79676,5.36413,4.46777,3170
2018-01-01T00:00:00.000000,22998.34,4.75713,5.16202,5.2378,4.66306,3168
