time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-12-30T00:00:00.000000,4067.5,0.007137,0.007228,0.007938,0.00693,313
2017-12-31T00:00:00.000000,1250.46,0.007156,0.006911,0.0072,0.00639,364
2018-01-01T00:00:00.000000,1014.12,0.006961,0.007051,0.007262,0.006725,280
2018-01-02T00:00:00.000000,876.66,0.007046,0.006979,0.00721,0.006321,253
2018-01-03T00:00:00.000000,1380.29,0.006975,0.00685,0.00733,0.00642,524
2018-01-04T00:00:00.000000,1489.89,0.006911,0.006999,0.007168,0.006501,401
2018-01-05T00:00:00.000000,4322.58,0.007045,0.00713,0.007417,0.006529,983
2018-01-06T00:00:00.000000,3594.61,0.007069,0.007271,0.007897,0.006802,867
2018-01-07T00:00:00.000000,3510.31,0.007324,0.007207,0.007613,0.0065,461
2018-01-08T00:00:00.000000,3602.52,0.007178,0.007295,0.00765,0.006724,610
2018-01-09T00:00:00.000000,1848.43,0.007339,0.007458,0.007897,0.007126,533
2018-01-10T00:00:00.000000,2689.45,0.007477,0.008211,0.008527,0.007002,689
2018-01-11T00:00:00.000000,2383.95,0.008,0.007541,0.009851,0.007033,540
2018-01-12T00:00:00.000000,2106.43,0.00756,0.007235,0.008299,0.0066,512
2018-01-13T00:00:00.000000,2336.65,0.0074,0.007177,0.007446,0.006501,275
2018-01-14T00:00:00.000000,2710.25,0.007214,0.007166,0.007411,0.006986,387
2018-01-15T00:00:00.000000,3470.55,0.007106,0.00699,0.007387,0.006857,412
2018-01-16T00:00:00.000000,671.52,0.00699,0.006847,0.007106,0.006753,172
2018-01-17T00:00:00.000000,4595.9,0.006875,0.006417,0.006967,0.006301,554
2018-01-18T00:00:00.000000,1884.89,0.006562,0.006588,0.006759,0.006076,402
2018-01-19T00:00:00.000000,1414.1,0.006597,0.00676,0.00676,0.006437,322
2018-01-20T00:00:00.000000,623.85,0.00658,0.006814,0.006835,0.00658,179
2018-01-21T00:00:00.000000,3029.12,0.006794,0.006741,0.007948,0.006697,516
2018-01-22T00:00:00.000000,1465.77,0.0068,0.006685,0.006893,0.006554,327
2018-01-23T00:00:00.000000,953.81,0.006631,0.006679,0.006931,0.006553,277
2018-01-24T00:00:00.000000,693.82,0.006756,0.006734,0.006935,0.006688,375
2018-01-25T00:00:00.000000,875.19,0.006681,0.006712,0.0069,0.006639,448
2018-01-26T00:00:00.000000,1460.15,0.006712,0.006905,0.007784,0.006638,314
2018-01-27T00:00:00.000000,1042.8,0.006742,0.006577,0.006984,0.006577,249
2018-01-28T00:00:00.000000,1394.05,0.006595,0.006596,0.007079,0.006284,355
2018-01-29T00:00:00.000000,955.98,0.006598,0.00646,0.006682,0.006429,261
2018-01-30T00:00:00.000000,298.06,0.006467,0.006443,0.006535,0.006257,264
2018-01-31T00:00:00.000000,580.59,0.006397,0.006311,0.006499,0.006288,169
2018-02-01T00:00:00.000000,1999.89,0.00631,0.006181,0.006381,0.006092,305
2018-02-02T00:00:00.000000,2197.3,0.006176,0.00624,0.006663,0.005952,398
2018-02-03T00:00:00.000000,1437.45,0.00624,0.006326,0.006639,0.005762,146
2018-02-04T00:00:00.000000,563.68,0.006218,0.006183,0.006307,0.006064,116
2018-02-05T00:00:00.000000,1802.92,0.006224,0.006113,0.006368,0.005889,165
2018-02-06T00:00:00.000000,2031.96,0.006159,0.00602,0.006237,0.005904,272
2018-02-07T00:00:00.000000,782.46,0.005999,0.005968,0.006081,0.00583,230
2018-02-08T00:00:00.000000,1588.35,0.0061,0.006092,0.006203,0.00598,181
2018-02-09T00:00:00.000000,513.27,0.005917,0.005892,0.006139,0.005892,267
2018-02-10T00:00:00.000000,155.73,0.005997,0.006034,0.006127,0.005847,97
2018-02-11T00:00:00.000000,86.56,0.006034,0.00599,0.006133,0.00593,75
2018-02-12T00:00:00.000000,51.58,0.00593,0.005988,0.006018,0.005832,121
2018-02-13T00:00:00.000000,292.71,0.005977,0.00595,0.006017,0.00585,89
2018-02-14T00:00:00.000000,669.26,0.005949,0.005921,0.006229,0.005894,101
2018-02-15T00:00:00.000000,193.87,0.005926,0.005963,0.006111,0.005861,38
2018-02-16T00:00:00.000000,29.38,0.006002,0.005937,0.006066,0.00591,29
2018-02-17T00:00:00.000000,3507.82,0.005933,0.005916,0.005933,0.005667,259
2018-02-18T00:00:00.000000,443.15,0.00593,0.006036,0.006277,0.005836,116
2018-02-19T00:00:00.000000,2453.97,0.006068,0.005931,0.007287,0.005875,319
2018-02-20T00:00:00.000000,636.18,0.005892,0.005963,0.006092,0.005863,164
2018-02-21T00:00:00.000000,591.13,0.005971,0.005882,0.006081,0.005794,114
2018-02-22T00:00:00.000000,616.46,0.005831,0.0059,0.00607,0.005747,103
2018-02-23T00:00:00.000000,262.24,0.0059,0.00593,0.0061,0.005896,34
2018-02-24T00:00:00.000000,1411.48,0.00593,0.005864,0.005933,0.005775,277
2018-02-25T00:00:00.000000,244.82,0.005873,0.005781,0.005896,0.005667,50
2018-02-26T00:00:00.000000,384.27,0.005726,0.005818,0.005841,0.005599,91
2018-02-27T00:00:00.000000,3838.92,0.005827,0.005784,0.0061,0.0049,229
2018-02-28T00:00:00.000000,1487.19,0.005707,0.005769,0.005935,0.005529,231
2018-03-01T00:00:00.000000,1733.72,0.005711,0.005552,0.005945,0.005333,244
2018-03-02T00:00:00.000000,1566.45,0.005593,0.005856,0.005921,0.005538,176
2018-03-03T00:00:00.000000,1250.36,0.005882,0.005773,0.005951,0.005717,148
2018-03-04T00:00:00.000000,992.11,0.005818,0.005741,0.005946,0.005741,107
2018-03-05T00:00:00.000000,760.82,0.005855,0.005804,0.005855,0.005501,95
2018-03-06T00:00:00.000000,58.7,0.005739,0.005733,0.005835,0.005733,24
2018-03-07T00:00:00.000000,2031.57,0.005737,0.005779,0.005785,0.005645,129
2018-03-08T00:00:00.000000,1115.81,0.005809,0.005553,0.005809,0.005545,126
