time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-01-23T00:00:00.000000,61.43774889,6.5056,7.0398,7.0398,6.2563,55
2018-01-24T00:00:00.000000,698.61244631,6.7178,6.6742,7.2321,6.2315,112
2018-01-25T00:00:00.000000,4358.62071954,6.6433,7.2321,7.2321,6.1344,271
2018-01-26T00:00:00.000000,835.82256851,7.1345,7.2195,7.559,6.6908,239
2018-01-27T00:00:00.000000,2107.05709725,7.2195,7.03,7.255,6.5818,286
2018-01-28T00:00:00.000000,8858.38486402,7.0555,7.303,7.43,6.9124,254
2018-01-29T00:00:00.000000,1395.56198574,7.4029,8.0728,9.0,7.3637,221
2018-01-30T00:00:00.000000,3205.64729067,8.0149,7.5674,8.0458,7.5531,111
2018-01-31T00:00:00.000000,1745.07338065,7.5674,6.8919,7.5674,6.7795,219
2018-02-01T00:00:00.000000,436.6335369,6.9236,6.8686,7.029,6.6305,87
2018-02-02T00:00:00.000000,4580.57934802,6.976,6.4311,7.6115,6.4311,223
2018-02-03T00:00:00.000000,24.58171751,6.0257,5.9497,6.0257,5.7616,6
2018-02-04T00:00:00.000000,5591.13247423,5.6879,6.1203,6.2148,5.3918,140
2018-02-05T00:00:00.000000,2225.26499497,6.0263,5.133,6.0694,5.0729,239
2018-02-06T00:00:00.000000,16838.93689856,5.1285,4.1759,5.2031,3.9573,763
2018-02-07T00:00:00.000000,11408.54170385,4.2194,4.7361,4.7956,3.0001,999
2018-02-08T00:00:00.000000,7299.14571717,4.665,4.6413,5.145,4.3876,558
2018-02-09T00:00:00.000000,3633.94878201,4.6738,4.8676,5.0462,4.5989,232
2018-02-10T00:00:00.000000,867.48893217,4.8651,5.22,5.2249,4.7468,143
2018-02-11T00:00:00.000000,6150.61047014,5.2274,5.0301,5.405,4.8819,147
2018-02-12T00:00:00.000000,2004.2154033,5.0272,4.8801,5.0272,4.7596,158
2018-02-13T00:00:00.000000,879.47946822,4.9375,5.0807,5.22,4.9375,113
2018-02-14T00:00:00.000000,2890.5484346,5.0857,4.9565,5.3159,4.9565,159
