time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-12-29T00:00:00.000000,4767.8573,0.43,0.4128,0.4882,0.4128,10
2017-12-30T00:00:00.000000,61121.4987,0.484,0.4505,0.5032,0.4237,96
2017-12-31T00:00:00.000000,49414.5008,0.4523,0.5079,0.508,0.4339,145
2018-01-01T00:00:00.000000,89776.667,0.5079,0.5763,0.5837,0.4432,249
2018-01-02T00:00:00.000000,69187.6759,0.5684,0.7027,0.7027,0.5645,361
2018-01-03T00:00:00.000000,47211.4705,0.719,0.71,0.7252,0.61,217
2018-01-04T00:00:00.000000,49652.9495,0.69,0.714,0.718,0.5775,107
2018-01-05T00:00:00.000000,47506.1114,0.7122,0.9515,0.9515,0.6402,167
2018-01-11T00:00:00.000000,1103.2025,1.1891,1.21,1.21,1.1749,18
2018-01-13T00:00:00.000000,4322.7658,1.0849,1.0495,1.1069,1.026,23
2018-01-14T00:00:00.000000,18371.7502,1.0494,1.092,1.226,1.0144,70
2018-01-15T00:00:00.000000,30608.1023,1.092,0.9837,1.1684,0.8546,178
2018-01-16T00:00:00.000000,55757.2289,0.9837,0.9021,1.0489,0.8397,240
2018-01-17T00:00:00.000000,51921.9127,0.9021,0.7297,0.9021,0.5479,289
2018-01-18T00:00:00.000000,54523.2039,0.6786,0.6703,0.7714,0.4001,350
2018-01-19T00:00:00.000000,31153.2494,0.6581,0.7,0.7972,0.634,282
2018-01-20T00:00:00.000000,56771.5485,0.7005,0.8142,0.9322,0.6472,312
2018-01-21T00:00:00.000000,65866.9069,0.8166,1.25,1.25,0.7889,308
2018-01-22T00:00:00.000000,50044.0963,1.25,0.8946,1.25,0.7885,562
2018-01-23T00:00:00.000000,29471.5931,0.8923,0.7767,1.06,0.7122,247
2018-01-24T00:00:00.000000,19514.5239,0.8006,0.806,0.9,0.7084,186
2018-01-25T00:00:00.000000,8190.9653,0.8033,0.791,0.8437,0.7369,135
2018-01-26T00:00:00.000000,23920.7825,0.7922,0.7692,0.848,0.74,262
2018-01-27T00:00:00.000000,42841.8216,0.7787,0.7122,0.8177,0.6638,308
2018-01-28T00:00:00.000000,33620.1805,0.7121,0.8023,0.8598,0.6882,294
2018-01-29T00:00:00.000000,39916.6319,0.8084,0.798,0.8718,0.7113,296
2018-01-30T00:00:00.000000,26167.5592,0.7716,0.7051,0.7716,0.7,208
2018-01-31T00:00:00.000000,22785.3318,0.7085,0.6465,0.7183,0.5706,168
2018-02-01T00:00:00.000000,21848.1047,0.5887,0.5951,0.6371,0.5582,142
2018-02-02T00:00:00.000000,13909.7616,0.6281,0.5001,0.6289,0.5,107
2018-02-03T00:00:00.000000,1078.42,0.4919,0.4907,0.5062,0.4627,20
2018-02-04T00:00:00.000000,12694.5253,0.4955,0.5078,0.5393,0.466,75
2018-02-05T00:00:00.000000,19417.5115,0.516,0.4354,0.5242,0.4179,128
2018-02-06T00:00:00.000000,17417.5521,0.4226,0.397,0.4633,0.3186,96
2018-02-07T00:00:00.000000,40925.0954,0.34,0.4217,0.4455,0.2794,165
2018-02-08T00:00:00.000000,16000.537,0.4328,0.3779,0.4692,0.3564,177
2018-02-09T00:00:00.000000,2663.4791,0.3943,0.4193,0.4299,0.3943,38
2018-02-10T00:00:00.000000,22396.292,0.4157,0.4422,0.4622,0.387,120
