time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-12-29T00:00:00.000000,14272.3606,0.8288,0.8721,0.899,0.8187,31
2017-12-30T00:00:00.000000,94201.574,0.8721,0.9114,1.043,0.83,455
2017-12-31T00:00:00.000000,101895.6026,0.9114,0.7379,0.9131,0.7257,374
2018-01-01T00:00:00.000000,69522.0383,0.7379,0.8205,0.86,0.7379,352
2018-01-02T00:00:00.000000,41685.185,0.8252,0.8591,0.9,0.7688,276
2018-01-03T00:00:00.000000,118082.0717,0.8605,1.0804,1.1,0.8605,698
2018-01-04T00:00:00.000000,61301.4604,1.0549,1.2933,1.3213,1.0145,472
2018-01-05T00:00:00.000000,54016.0298,1.3448,1.2348,1.3471,1.18,328
2018-01-06T00:00:00.000000,30547.2191,1.2932,1.2099,1.3356,1.153,111
2018-01-07T00:00:00.000000,29341.4788,1.063,1.1833,1.251,1.0,213
2018-01-08T00:00:00.000000,38709.5291,1.1833,1.1892,1.2244,1.1132,348
2018-01-09T00:00:00.000000,10353.5574,1.182,1.0501,1.182,1.01,94
2018-01-10T00:00:00.000000,6007.4249,1.0122,1.0472,1.0949,1.0111,49
2018-01-11T00:00:00.000000,34199.3415,1.048,0.9769,1.048,0.8717,190
2018-01-12T00:00:00.000000,88623.2334,1.0,0.8945,1.104,0.8345,324
2018-01-13T00:00:00.000000,42028.7222,0.8945,1.092,1.175,0.8505,161
2018-01-14T00:00:00.000000,35191.3562,1.179,1.1215,1.1941,1.03,203
2018-01-15T00:00:00.000000,52206.2109,1.1215,1.0511,1.1345,0.9017,304
2018-01-16T00:00:00.000000,37972.1536,1.0001,0.9379,1.0522,0.9337,289
2018-01-17T00:00:00.000000,49181.9395,0.9379,0.6666,0.9379,0.5386,393
2018-01-18T00:00:00.000000,72545.0574,0.6259,0.704,0.7171,0.414,426
2018-01-19T00:00:00.000000,96744.5959,0.7039,0.7337,0.8334,0.6639,428
2018-01-20T00:00:00.000000,59070.1523,0.7258,0.7651,0.8329,0.676,324
2018-01-21T00:00:00.000000,55709.6146,0.7819,0.8692,0.9148,0.7608,415
2018-01-22T00:00:00.000000,33230.7591,0.8732,0.7172,0.8732,0.7001,217
2018-01-23T00:00:00.000000,34684.8963,0.7363,0.6593,0.7699,0.6168,294
2018-01-24T00:00:00.000000,21210.4429,0.6593,0.6204,0.72,0.6173,156
2018-01-25T00:00:00.000000,61921.2043,0.6467,0.6909,0.769,0.6312,424
2018-01-26T00:00:00.000000,32549.6659,0.6704,0.6908,0.7249,0.6513,267
2018-01-27T00:00:00.000000,80524.4928,0.6908,0.6703,0.723,0.6059,353
2018-01-28T00:00:00.000000,35248.5813,0.6714,0.7145,0.7289,0.6464,275
2018-01-29T00:00:00.000000,31146.7784,0.7145,0.7294,0.7317,0.6896,228
2018-01-30T00:00:00.000000,17212.9571,0.717,0.6745,0.7256,0.666,133
2018-01-31T00:00:00.000000,51902.9102,0.6745,0.53,0.6972,0.53,281
2018-02-01T00:00:00.000000,25471.734,0.5526,0.576,0.5761,0.525,182
2018-02-02T00:00:00.000000,60640.4021,0.5729,0.4533,0.5921,0.45,326
2018-02-03T00:00:00.000000,4459.4707,0.45,0.4316,0.5053,0.3881,73
2018-02-04T00:00:00.000000,11527.8698,0.4316,0.4379,0.476,0.3952,173
2018-02-05T00:00:00.000000,21857.029,0.4447,0.3816,0.476,0.3729,167
2018-02-06T00:00:00.000000,40301.2689,0.3753,0.2733,0.3753,0.2706,203
2018-02-07T00:00:00.000000,36751.6755,0.2884,0.3408,0.3408,0.2287,209
2018-02-08T00:00:00.000000,38361.7322,0.3451,0.3681,0.4038,0.3028,307
2018-02-09T00:00:00.000000,322258.5653,0.3797,0.4629,0.6289,0.379,1777
2018-02-10T00:00:00.000000,289058.8737,0.4629,0.4698,0.5114,0.421,866
2018-02-11T00:00:00.000000,132350.7546,0.4796,0.4502,0.493,0.416,394
2018-02-12T00:00:00.000000,38058.7502,0.4387,0.4093,0.4387,0.38,177
2018-02-13T00:00:00.000000,53665.3405,0.409,0.446,0.446,0.3865,163
2018-02-14T00:00:00.000000,33583.8694,0.4461,0.419,0.4499,0.391,157
2018-02-15T00:00:00.000000,30659.4715,0.4143,0.4594,0.4594,0.4057,143
2018-02-16T00:00:00.000000,45305.3649,0.4525,0.4484,0.4726,0.4417,145
2018-02-17T00:00:00.000000,14093.5281,0.4464,0.4491,0.4686,0.4313,60
2018-02-18T00:00:00.000000,40898.7238,0.4516,0.466,0.5083,0.4322,196
2018-02-19T00:00:00.000000,50384.6506,0.4731,0.4268,0.4747,0.4015,192
2018-02-20T00:00:00.000000,21619.4452,0.4324,0.4649,0.4826,0.4324,181
2018-02-21T00:00:00.000000,17317.4942,0.4618,0.3769,0.4618,0.3769,88
2018-02-22T00:00:00.000000,26803.2299,0.3969,0.402,0.4834,0.38,147
2018-02-23T00:00:00.000000,19584.1078,0.3858,0.3473,0.4476,0.3196,113
2018-02-24T00:00:00.000000,22930.9029,0.35,0.3456,0.3865,0.3335,146
2018-02-25T00:00:00.000000,8944.5613,0.3577,0.3545,0.382,0.343,69
2018-02-26T00:00:00.000000,1148.2569,0.3433,0.3493,0.3594,0.3328,15
2018-02-27T00:00:00.000000,11568.8874,0.3457,0.355,0.359,0.34,48
2018-02-28T00:00:00.000000,9190.0481,0.3527,0.3718,0.3818,0.3506,81
2018-03-01T00:00:00.000000,39422.7761,0.3718,0.3498,0.3805,0.3498,158
2018-03-02T00:00:00.000000,29975.1971,0.3389,0.3629,0.3841,0.321,115
2018-03-03T00:00:00.000000,22278.7946,0.381,0.3812,0.423,0.3488,152
2018-03-04T00:00:00.000000,5275.2384,0.3632,0.3712,0.381,0.3509,33
2018-03-05T00:00:00.000000,2300.2276,0.3614,0.3494,0.3713,0.3405,30
2018-03-06T00:00:00.000000,12600.2254,0.3642,0.3696,0.3696,0.3438,59
2018-03-07T00:00:00.000000,24671.7319,0.35,0.3303,0.3682,0.324,80
2018-03-08T00:00:00.000000,26537.8624,0.3303,0.3053,0.3303,0.2855,115
2018-03-09T00:00:00.000000,51036.4426,0.3053,0.2924,0.3689,0.2892,196
2018-03-10T00:00:00.000000,14640.4623,0.2958,0.2822,0.297,0.2487,57
2018-03-11T00:00:00.000000,9526.974,0.2887,0.2813,0.3157,0.2761,50
2018-03-12T00:00:00.000000,3243.7014,0.2778,0.3097,0.3106,0.2748,18
2018-03-13T00:00:00.000000,25565.2181,0.3105,0.3327,0.3448,0.2809,149
2018-03-14T00:00:00.000000,34154.6986,0.3123,0.3246,0.3488,0.3083,157
2018-03-15T00:00:00.000000,245796.5493,0.3174,0.2734,0.3174,0.2703,324
2018-03-16T00:00:00.000000,50518.2044,0.2734,0.2812,0.2812,0.2399,103
2018-03-17T00:00:00.000000,32501.339,0.2756,0.2769,0.2785,0.2515,97
2018-03-18T00:00:00.000000,28107.1612,0.2757,0.2462,0.2757,0.23,64
2018-03-19T00:00:00.000000,353400.3547,0.2353,0.2282,0.238,0.1519,468
2018-03-20T00:00:00.000000,241394.8925,0.2282,0.2576,0.2646,0.1603,275
2018-03-21T00:00:00.000000,28083.177,0.2421,0.2591,0.2591,0.2307,80
2018-03-22T00:00:00.000000,29917.041,0.2644,0.2533,0.2757,0.2484,87
2018-03-23T00:00:00.000000,56527.6365,0.2627,0.264,0.2941,0.2407,177
2018-03-24T00:00:00.000000,42377.7261,0.2665,0.259,0.2768,0.2335,112
2018-03-25T00:00:00.000000,22608.3231,0.259,0.2555,0.2838,0.249,62
2018-03-26T00:00:00.000000,30516.024,0.2555,0.2707,0.2768,0.2469,83
2018-03-27T00:00:00.000000,29846.385,0.2707,0.2523,0.2755,0.2399,86
2018-03-28T00:00:00.000000,4861.9619,0.2533,0.2457,0.261,0.2349,32
2018-03-29T00:00:00.000000,13041.0827,0.2378,0.2582,0.2619,0.229,40
2018-03-30T00:00:00.000000,31440.7563,0.2552,0.217,0.2581,0.2114,86
2018-03-31T00:00:00.000000,30212.897,0.2115,0.1967,0.2196,0.184,68
2018-04-01T00:00:00.000000,14528.913,0.2049,0.2138,0.2189,0.2028,47
2018-04-02T00:00:00.000000,15331.94,0.206,0.1917,0.206,0.1858,34
2018-04-03T00:00:00.000000,7775.704,0.1888,0.2012,0.2101,0.1858,39
2018-04-04T00:00:00.000000,58660.704,0.1914,0.2313,0.238,0.1914,131
2018-04-05T00:00:00.000000,30322.54,0.2187,0.2,0.2302,0.2,58
2018-04-06T00:00:00.000000,3019.08,0.2078,0.2009,0.2078,0.2009,7
2018-04-07T00:00:00.000000,23885.347,0.2012,0.1987,0.2082,0.1937,63
