time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-01-25T00:00:00.000000,1010461.689943925,0.6997,0.6828,0.6997,0.672,1698
2018-01-26T00:00:00.000000,2154792.459748223,0.6903,0.6855,0.7293,0.6774,3871
2018-01-27T00:00:00.000000,3250482.634817743,0.6855,0.6781,0.7189,0.6068,5820
2018-01-28T00:00:00.000000,3462692.689034842,0.6781,0.7023,0.7463,0.6351,6121
2018-01-29T00:00:00.000000,3233225.464653726,0.7023,0.7245,0.7437,0.694,5492
2018-01-30T00:00:00.000000,2930461.713472685,0.7242,0.6768,0.7246,0.6622,4951
2018-01-31T00:00:00.000000,76350.489258823,0.6768,0.55,0.68,0.55,246
2018-02-01T00:00:00.000000,1463.78,0.54,0.52,0.54,0.5197,8
2018-02-02T00:00:00.000000,652736.144145134,0.51,0.44,0.5111,0.44,1533
2018-02-03T00:00:00.000000,117493.58,0.4567,0.36,0.4573,0.36,274
2018-02-04T00:00:00.000000,5494701.563640292,0.4109,0.4467,0.4699,0.3869,14633
2018-02-05T00:00:00.000000,6090257.985184354,0.4467,0.3696,0.4975,0.3611,16366
2018-02-06T00:00:00.000000,605933.16,0.3705,0.2856,0.3751,0.2794,1625
2018-02-07T00:00:00.000000,453343.61,0.2852,0.268,0.2947,0.268,1232
2018-02-09T00:00:00.000000,11065569.157866811,0.3739,0.46,0.5952,0.3728,23255
2018-02-10T00:00:00.000000,7110097.142013674,0.4599,0.4748,0.4891,0.4248,16686
2018-02-11T00:00:00.000000,3968223.941442251,0.4783,0.443,0.4911,0.4306,7387
2018-02-12T00:00:00.000000,3052449.360529209,0.4439,0.4111,0.4454,0.38,6538
2018-02-13T00:00:00.000000,3058160.062398746,0.4111,0.4501,0.455,0.408,6583
2018-02-14T00:00:00.000000,3367423.815013996,0.451,0.4144,0.4548,0.4001,7143
2018-02-15T00:00:00.000000,3263758.722073153,0.4106,0.4585,0.4598,0.4058,6592
2018-02-16T00:00:00.000000,2951651.343694912,0.4585,0.4453,0.464,0.4351,6196
2018-02-17T00:00:00.000000,3023033.41196429,0.4464,0.455,0.458,0.4261,6311
2018-02-18T00:00:00.000000,4715993.300937114,0.455,0.4687,0.524,0.4451,7861
2018-02-19T00:00:00.000000,3623073.383027567,0.4687,0.4243,0.4774,0.412,6806
2018-02-20T00:00:00.000000,3655299.32419561,0.4237,0.4566,0.48,0.4205,7201
2018-02-21T00:00:00.000000,3085386.735930884,0.4566,0.399,0.4664,0.398,6557
2018-02-22T00:00:00.000000,3647186.087662187,0.3988,0.3893,0.446,0.375,7179
2018-02-23T00:00:00.000000,2842079.114211318,0.3897,0.3426,0.4187,0.3392,6157
2018-02-24T00:00:00.000000,3019219.815019184,0.3428,0.3595,0.3679,0.331,6212
2018-02-25T00:00:00.000000,2617200.225676889,0.3594,0.3399,0.3766,0.3326,5878
2018-02-26T00:00:00.000000,2435993.746388654,0.341,0.3511,0.3567,0.335,5864
2018-02-27T00:00:00.000000,2167676.866142385,0.3513,0.3534,0.3655,0.341,5070
2018-02-28T00:00:00.000000,2862746.006100148,0.3535,0.3692,0.374,0.35,6004
2018-03-01T00:00:00.000000,2882871.290137638,0.37,0.3428,0.3848,0.3406,6156
2018-03-02T00:00:00.000000,3683057.478488756,0.3445,0.3715,0.3837,0.3284,7152
2018-03-03T00:00:00.000000,4576496.00134425,0.3715,0.3702,0.4252,0.3463,7674
2018-03-04T00:00:00.000000,2518730.779949078,0.3702,0.3612,0.3743,0.3553,5720
2018-03-05T00:00:00.000000,3198676.224189872,0.3612,0.3614,0.383,0.3422,6533
2018-03-06T00:00:00.000000,3040944.280885552,0.3609,0.3539,0.3651,0.3474,6441
2018-03-07T00:00:00.000000,2852283.565814628,0.3534,0.3263,0.3557,0.32,6192
2018-03-08T00:00:00.000000,2662037.90656344,0.3265,0.3055,0.333,0.28,5666
2018-03-09T00:00:00.000000,4688118.226010459,0.3035,0.2902,0.3691,0.283,7679
2018-03-10T00:00:00.000000,3483696.878764462,0.2894,0.2842,0.3014,0.2435,6759
2018-03-11T00:00:00.000000,3334736.06667169,0.2842,0.2853,0.3105,0.2801,6470
2018-03-12T00:00:00.000000,2771786.083195615,0.2853,0.3057,0.31,0.2657,6087
2018-03-13T00:00:00.000000,25119990.106318716,0.3057,0.3136,0.3288,0.2787,6104
2018-03-14T00:00:00.000000,6507691.230233284,0.3136,0.3194,0.3465,0.3069,11325
2018-03-15T00:00:00.000000,7014539.326390522,0.3201,0.2784,0.325,0.265,15547
2018-03-16T00:00:00.000000,6696751.854558056,0.2787,0.2638,0.2817,0.2375,14501
2018-03-17T00:00:00.000000,5940661.733819504,0.2638,0.2651,0.2795,0.2462,13743
2018-03-18T00:00:00.000000,5724706.420966307,0.2657,0.2408,0.28,0.2352,12272
2018-03-19T00:00:00.000000,1882838.698526528,0.2408,0.233,0.2421,0.2204,3896
2018-03-20T00:00:00.000000,6137330.288826158,0.233,0.2565,0.2576,0.2235,12611
2018-03-21T00:00:00.000000,6080783.967349049,0.2565,0.2589,0.2625,0.2265,14472
2018-03-22T00:00:00.000000,5430195.593535981,0.2593,0.26,0.2744,0.251,13375
2018-03-23T00:00:00.000000,6104523.967249717,0.2599,0.2622,0.286,0.2361,14292
2018-03-24T00:00:00.000000,5910717.562192717,0.2632,0.2615,0.2665,0.2354,13368
2018-03-25T00:00:00.000000,6370941.678016195,0.2615,0.2535,0.29,0.2525,14100
2018-03-26T00:00:00.000000,5608360.457398122,0.254,0.2624,0.2777,0.2402,13623
2018-03-27T00:00:00.000000,5872557.613595653,0.2624,0.2521,0.2662,0.2331,13254
2018-03-28T00:00:00.000000,5275060.769521742,0.2524,0.2371,0.2533,0.2311,9380
2018-03-29T00:00:00.000000,7379723.074647142,0.2363,0.2548,0.2608,0.2307,12612
2018-03-30T00:00:00.000000,7758720.525357875,0.2553,0.2122,0.2606,0.2073,13098
2018-03-31T00:00:00.000000,7470964.03013209,0.2123,0.203,0.2176,0.1923,12843
2018-04-01T00:00:00.000000,7428259.662823154,0.2031,0.2051,0.2231,0.2014,12500
2018-04-02T00:00:00.000000,7146030.226179265,0.2056,0.1924,0.2115,0.182,11935
2018-04-03T00:00:00.000000,7838011.975462642,0.1929,0.1993,0.2173,0.1904,12706
2018-04-04T00:00:00.000000,7815169.311726094,0.1994,0.2199,0.236,0.1994,14143
2018-04-05T00:00:00.000000,6640940.011033313,0.2188,0.2023,0.2287,0.2003,12832
2018-04-06T00:00:00.000000,6476564.208944829,0.2023,0.2039,0.2098,0.191,12300
2018-04-07T00:00:00.000000,7220912.325167721,0.2038,0.1957,0.2069,0.19,11979
2018-04-08T00:00:00.000000,6396260.483220291,0.1959,0.2059,0.2188,0.1942,12376
2018-04-09T00:00:00.000000,6229875.45570875,0.2059,0.2136,0.2198,0.2029,12013
2018-04-10T00:00:00.000000,7193964.789676825,0.2136,0.2201,0.2258,0.204,13314
2018-04-11T00:00:00.000000,10251198.635943374,0.2204,0.2501,0.2522,0.2162,17675
2018-04-12T00:00:00.000000,6800640.531342522,0.2519,0.2453,0.2519,0.2356,13573
2018-04-13T00:00:00.000000,9923046.49506689,0.245,0.2833,0.3225,0.2355,17062
2018-04-14T00:00:00.000000,18787348.73665879,0.2833,0.307,0.464,0.2711,25151
2018-04-15T00:00:00.000000,10925762.535743037,0.3054,0.3385,0.4,0.2976,19291
2018-04-16T00:00:00.000000,6572940.881118824,0.3395,0.3602,0.3641,0.3305,14193
2018-04-17T00:00:00.000000,6793258.220632672,0.3602,0.3474,0.3602,0.3258,14826
2018-04-18T00:00:00.000000,5303529.368378998,0.3474,0.3414,0.3515,0.33,12245
2018-04-19T00:00:00.000000,4943799.872227156,0.3413,0.3629,0.3686,0.3354,12098
2018-04-20T00:00:00.000000,5256527.740151752,0.3631,0.3754,0.3829,0.3521,11555
2018-04-21T00:00:00.000000,5581916.933796889,0.3759,0.3753,0.3889,0.3547,11386
2018-04-22T00:00:00.000000,6632770.926755513,0.3756,0.3732,0.39,0.355,13004
2018-04-23T00:00:00.000000,8215036.719039238,0.3732,0.4046,0.4319,0.365,14235
2018-04-24T00:00:00.000000,5404638.838915682,0.4048,0.4122,0.4375,0.4001,11198
2018-04-25T00:00:00.000000,5716403.825500057,0.4122,0.4189,0.4262,0.4,11934
2018-04-26T00:00:00.000000,6257087.893503279,0.4187,0.3589,0.4215,0.3402,12302
2018-04-27T00:00:00.000000,4814829.04072316,0.359,0.3988,0.399,0.3515,10912
2018-04-28T00:00:00.000000,2581232.572755919,0.3988,0.3989,0.415,0.3859,4892
2018-05-05T00:00:00.000000,135566.030672037,0.4725,0.4648,0.4744,0.4646,530
2018-05-07T00:00:00.000000,142029.349999999,0.4199,0.4242,0.4286,0.4189,1236
2018-05-08T00:00:00.000000,2176961.782286108,0.4245,0.3986,0.4262,0.3811,8412
2018-05-09T00:00:00.000000,2729688.578516223,0.3984,0.4004,0.4152,0.384,10098
2018-05-10T00:00:00.000000,2743709.169558803,0.4003,0.4018,0.4236,0.37,9787
2018-05-11T00:00:00.000000,2888493.977407922,0.402,0.3849,0.4216,0.384,11177
2018-05-12T00:00:00.000000,4013564.18830018,0.3849,0.3643,0.3859,0.3207,12377
