time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-05-03T00:00:00.000000,10266.28,0.4218,0.4499,0.45,0.4117,119
2018-05-04T00:00:00.000000,9359.73,0.4379,0.4639,0.5074,0.4378,122
2018-05-05T00:00:00.000000,7239.01,0.4647,0.4577,0.4698,0.4479,40
2018-05-06T00:00:00.000000,5244.4,0.459,0.4477,0.4774,0.4477,55
2018-05-07T00:00:00.000000,17984.67,0.4562,0.4101,0.5894,0.377,288
2018-05-08T00:00:00.000000,3417.82,0.4101,0.3888,0.4101,0.3842,34
2018-05-09T00:00:00.000000,2920.78,0.3998,0.4068,0.44,0.3849,34
2018-05-10T00:00:00.000000,3624.89,0.4069,0.3884,0.4109,0.357,52
2018-05-11T00:00:00.000000,3134.98,0.3983,0.3834,0.4399,0.3834,56
2018-05-12T00:00:00.000000,3604.98,0.3835,0.3655,0.3835,0.3203,54
2018-05-13T00:00:00.000000,510.05,0.3753,0.3308,0.387,0.3292,41
2018-05-14T00:00:00.000000,257.34,0.3311,0.3611,0.378,0.3311,32
2018-05-15T00:00:00.000000,19842.57,0.3621,0.4191,0.4939,0.3616,310
2018-05-16T00:00:00.000000,8944.06,0.4161,0.3631,0.444,0.363,102
2018-05-17T00:00:00.000000,22195.35,0.3629,0.3501,0.3785,0.32,148
2018-05-18T00:00:00.000000,1697.43,0.3409,0.3262,0.3505,0.3224,45
2018-05-19T00:00:00.000000,3332.18,0.333,0.325,0.333,0.311,190
2018-05-20T00:00:00.000000,2722.15,0.325,0.3148,0.3251,0.305,187
2018-05-21T00:00:00.000000,1746.03,0.3148,0.3157,0.3399,0.3051,92
2018-05-22T00:00:00.000000,1050.62,0.3158,0.34,0.34,0.308,28
2018-05-23T00:00:00.000000,1053.02,0.333,0.302,0.3677,0.302,45
2018-05-24T00:00:00.000000,4310.57,0.3021,0.3106,0.331,0.2901,120
2018-05-25T00:00:00.000000,8959.69,0.3151,0.3341,0.335,0.3055,72
2018-05-26T00:00:00.000000,12702.94,0.3302,0.3245,0.3763,0.2897,98
2018-05-27T00:00:00.000000,3646.25,0.3231,0.3295,0.3299,0.3082,21
2018-05-29T00:00:00.000000,194083.4,0.3295,0.2909,0.876,0.2897,1175
2018-05-30T00:00:00.000000,41435.57,0.295,0.3079,0.3248,0.2897,208
2018-05-31T00:00:00.000000,30284.6,0.3035,0.3348,0.3498,0.303,170
2018-06-01T00:00:00.000000,14036.75,0.3488,0.32,0.3595,0.3092,102
2018-06-02T00:00:00.000000,3990.56,0.3262,0.3057,0.3298,0.3057,21
2018-06-03T00:00:00.000000,3845.93,0.3057,0.3113,0.3285,0.3044,23
2018-06-04T00:00:00.000000,3267.55,0.3268,0.3343,0.3351,0.3126,40
2018-06-05T00:00:00.000000,5843.94,0.3326,0.3003,0.3326,0.3003,34
2018-06-06T00:00:00.000000,1768.65,0.3006,0.3021,0.3116,0.298,29
2018-06-07T00:00:00.000000,1211.73,0.3168,0.3017,0.3168,0.292,13
2018-06-08T00:00:00.000000,3072.11,0.293,0.293,0.31,0.293,24
2018-06-09T00:00:00.000000,6174.71,0.2911,0.2831,0.293,0.283,39
2018-06-10T00:00:00.000000,2819.12,0.2835,0.2802,0.292,0.28,29
2018-06-11T00:00:00.000000,13332.06,0.27,0.2271,0.27,0.2271,82
2018-06-12T00:00:00.000000,29356.02,0.2335,0.2411,0.25,0.2281,133
2018-06-13T00:00:00.000000,6492.51,0.2369,0.2088,0.2419,0.2088,40
2018-06-14T00:00:00.000000,4218.46,0.205,0.2,0.2275,0.2,36
2018-06-15T00:00:00.000000,533.76,0.2,0.2328,0.2329,0.2,12
2018-06-16T00:00:00.000000,848.38,0.2071,0.2014,0.232,0.2014,13
2018-06-17T00:00:00.000000,335.52,0.2014,0.204,0.2292,0.2003,9
2018-06-18T00:00:00.000000,614.95,0.2319,0.204,0.2319,0.204,8
2018-06-19T00:00:00.000000,2239.1,0.204,0.2147,0.2147,0.1851,27
2018-06-20T00:00:00.000000,1371.22,0.2157,0.2002,0.2158,0.1955,12
2018-06-21T00:00:00.000000,588.18,0.2001,0.1963,0.2001,0.1931,11
2018-06-22T00:00:00.000000,187.25,0.1965,0.1965,0.1965,0.1964,7
2018-06-23T00:00:00.000000,12636.64,0.197,0.1798,0.2312,0.1581,61
2018-06-24T00:00:00.000000,689.44,0.1779,0.1814,0.1925,0.1779,5
2018-06-25T00:00:00.000000,1105.92,0.1932,0.1613,0.201,0.1603,17
2018-06-26T00:00:00.000000,109.08,0.1624,0.2012,0.2012,0.1624,6
2018-06-27T00:00:00.000000,2388.87,0.1796,0.1802,0.1803,0.1795,8
2018-06-28T00:00:00.000000,55429.7,0.1796,0.1767,0.196,0.1614,74
