time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-05-05T00:00:00.000000,102928.382493726,4.852e-05,4.811e-05,4.894e-05,4.8e-05,568
2018-05-07T00:00:00.000000,136312.065445497,4.372e-05,4.373e-05,4.65e-05,4.347e-05,1382
2018-05-08T00:00:00.000000,1167615.048795196,4.373e-05,4.234e-05,4.449e-05,4.099e-05,8884
2018-05-09T00:00:00.000000,1417181.486387702,4.238e-05,4.338e-05,4.544e-05,4.2e-05,10096
2018-05-10T00:00:00.000000,1244136.370987918,4.357e-05,4.31e-05,4.563e-05,4.118e-05,9336
2018-05-11T00:00:00.000000,1219530.084625258,4.324e-05,4.276e-05,4.495e-05,4.224e-05,9553
2018-05-12T00:00:00.000000,2085062.134680382,4.276e-05,4.341e-05,4.443e-05,3.818e-05,11488
2018-05-13T00:00:00.000000,2247886.783122532,4.339e-05,4.15e-05,4.476e-05,4.084e-05,11778
2018-05-14T00:00:00.000000,1382247.708351623,4.15e-05,4.391e-05,4.475e-05,4.072e-05,9796
2018-05-15T00:00:00.000000,1557633.41941583,4.377e-05,4.668e-05,4.86e-05,4.26e-05,10404
2018-05-16T00:00:00.000000,1047402.74709602,4.668e-05,4.316e-05,4.677e-05,4.296e-05,8616
2018-05-17T00:00:00.000000,952715.640710825,4.316e-05,4.185e-05,4.334e-05,4.059e-05,7136
2018-05-18T00:00:00.000000,904836.254126261,4.184e-05,4.014e-05,4.248e-05,4.009e-05,7729
2018-05-19T00:00:00.000000,834467.314358974,4.014e-05,3.899e-05,4.033e-05,3.846e-05,7792
2018-05-20T00:00:00.000000,873159.702538453,3.898e-05,3.762e-05,3.9e-05,3.714e-05,8123
2018-05-21T00:00:00.000000,761553.405584036,3.767e-05,3.95e-05,4.012e-05,3.73e-05,8591
2018-05-22T00:00:00.000000,943301.458558326,3.95e-05,3.808e-05,3.982e-05,3.8e-05,9186
2018-05-23T00:00:00.000000,1429996.218223007,3.809e-05,3.749e-05,3.893e-05,3.685e-05,9979
2018-05-24T00:00:00.000000,1848207.080700624,3.73e-05,3.872e-05,4.028e-05,3.666e-05,10206
2018-05-25T00:00:00.000000,1329653.513821037,3.872e-05,4.51e-05,4.537e-05,3.844e-05,8765
2018-05-26T00:00:00.000000,2715412.698547025,4.515e-05,4.141e-05,5.099e-05,4.073e-05,10439
2018-05-27T00:00:00.000000,1456966.972738509,4.135e-05,4.28e-05,4.374e-05,4.13e-05,7981
2018-05-28T00:00:00.000000,1576622.159497751,4.271e-05,4.493e-05,4.543e-05,4.235e-05,7635
2018-05-29T00:00:00.000000,8028306.571303054,4.498e-05,4.131e-05,6.287e-05,4.045e-05,16644
2018-05-30T00:00:00.000000,2701465.041503254,4.13e-05,4.126e-05,4.259e-05,3.958e-05,9011
2018-05-31T00:00:00.000000,2817613.953503464,4.127e-05,4.69e-05,4.819e-05,4.067e-05,9819
2018-06-01T00:00:00.000000,3590512.920875546,4.671e-05,4.338e-05,4.844e-05,4.246e-05,11093
2018-06-02T00:00:00.000000,2049887.761507717,4.337e-05,4.25e-05,4.416e-05,4.2e-05,8118
2018-06-03T00:00:00.000000,1666900.0,4.25e-05,4.218e-05,4.386e-05,4.17e-05,7877
2018-06-04T00:00:00.000000,4058513.958112059,4.218e-05,4.252e-05,4.436e-05,4.2e-05,24333
