time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-07-13T00:00:00.000000,321149.58620769,5.16e-06,5.21e-06,5.25e-06,4.94e-06,173
2018-07-14T00:00:00.000000,317734.42804757,5.2e-06,5.17e-06,5.28e-06,5.05e-06,122
2018-07-15T00:00:00.000000,165974.60231543,5.17e-06,5.12e-06,5.28e-06,5.06e-06,80
2018-07-16T00:00:00.000000,722463.02803535,5.12e-06,5.24e-06,5.85e-06,5.1e-06,371
2018-07-17T00:00:00.000000,842178.08143188,5.24e-06,5.67e-06,5.85e-06,5.16e-06,398
2018-07-18T00:00:00.000000,658308.5316254,5.6e-06,5.65e-06,5.83e-06,5.4e-06,368
2018-07-19T00:00:00.000000,947388.15729331,5.73e-06,5.69e-06,5.89e-06,5.47e-06,484
2018-07-20T00:00:00.000000,485876.68599482,5.68e-06,5.48e-06,5.74e-06,5.39e-06,195
2018-07-21T00:00:00.000000,315304.17525891,5.42e-06,5.07e-06,5.5e-06,5.07e-06,170
2018-07-22T00:00:00.000000,738226.54860459,5.07e-06,5.07e-06,5.22e-06,4.79e-06,288
2018-07-23T00:00:00.000000,493069.32327294,5.07e-06,4.86e-06,5.28e-06,4.79e-06,180
2018-07-24T00:00:00.000000,1627473.37914616,4.87e-06,4.81e-06,5.22e-06,4.69e-06,375
2018-07-25T00:00:00.000000,7080086.06535142,4.81e-06,5.19e-06,6.06e-06,4.69e-06,1709
2018-07-26T00:00:00.000000,1422523.46719228,5.16e-06,4.74e-06,5.2e-06,4.52e-06,429
2018-07-27T00:00:00.000000,1058865.26065826,4.76e-06,4.37e-06,4.98e-06,4.37e-06,315
2018-07-28T00:00:00.000000,7736711.22152871,4.51e-06,5.3e-06,5.93e-06,4.43e-06,1493
2018-07-29T00:00:00.000000,1995677.54639624,5.26e-06,5.24e-06,5.42e-06,4.98e-06,593
2018-07-30T00:00:00.000000,3641007.58978237,5.23e-06,5.31e-06,5.7e-06,5.04e-06,771
2018-07-31T00:00:00.000000,8688272.62792034,5.31e-06,5.46e-06,6.26e-06,5.2e-06,1477
2018-08-01T00:00:00.000000,6409577.01165936,5.57e-06,4.87e-06,5.88e-06,4.75e-06,1224
2018-08-02T00:00:00.000000,2762725.90284281,4.81e-06,5.09e-06,5.4e-06,4.5e-06,690
2018-08-03T00:00:00.000000,3356358.09590621,5.09e-06,5.01e-06,5.66e-06,4.81e-06,966
2018-08-04T00:00:00.000000,2299627.17283962,5.01e-06,4.82e-06,5.09e-06,4.7e-06,280
2018-08-05T00:00:00.000000,464648.88093455,4.82e-06,4.75e-06,4.87e-06,4.6e-06,154
2018-08-06T00:00:00.000000,449960.22784672,4.76e-06,4.9e-06,5.12e-06,4.73e-06,153
2018-08-07T00:00:00.000000,489091.11381552,4.95e-06,4.78e-06,4.95e-06,4.75e-06,154
2018-08-08T00:00:00.000000,327025.37999836,4.75e-06,4.68e-06,4.78e-06,4.53e-06,176
2018-08-09T00:00:00.000000,1315809.79653076,4.68e-06,4.06e-06,4.68e-06,3.99e-06,345
2018-08-10T00:00:00.000000,591299.24885934,4.14e-06,4.21e-06,4.28e-06,4e-06,275
2018-08-11T00:00:00.000000,568294.87326639,4.21e-06,4.03e-06,4.38e-06,3.76e-06,238
2018-08-12T00:00:00.000000,311628.45367932,3.93e-06,3.84e-06,3.93e-06,3.77e-06,102
