time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-07-16T00:00:00.000000,2400.0,7.66e-05,7.69e-05,7.69e-05,7.65e-05,5
2018-07-17T00:00:00.000000,15800.0,7.71e-05,7.84e-05,7.84e-05,7.71e-05,10
2018-07-18T00:00:00.000000,9600.0,8.01e-05,8.24e-05,9.98e-05,8.01e-05,23
2018-07-19T00:00:00.000000,26400.0,8.37e-05,8.76e-05,0.0001,8.28e-05,79
2018-07-20T00:00:00.000000,1900.0,8.96e-05,8.91e-05,8.96e-05,8.9e-05,5
2018-07-21T00:00:00.000000,1000.0,8.74e-05,8.73e-05,8.74e-05,8.73e-05,2
2018-07-22T00:00:00.000000,800.0,8.32e-05,8.3e-05,8.32e-05,8.3e-05,3
2018-07-23T00:00:00.000000,700.0,7.81e-05,7.81e-05,7.81e-05,7.81e-05,1
2018-07-24T00:00:00.000000,6300.0,9e-05,8.28e-05,9e-05,8.05e-05,5
2018-07-25T00:00:00.000000,25700.0,9.07e-05,8.97e-05,0.0001,8.97e-05,21
2018-07-26T00:00:00.000000,600.0,9.07e-05,9.09e-05,9.09e-05,8.65e-05,4
2018-07-27T00:00:00.000000,9900.0,8.12e-05,8.11e-05,8.13e-05,8.07e-05,10
2018-07-28T00:00:00.000000,2100.0,8.25e-05,9.56e-05,9.56e-05,8.25e-05,6
2018-07-29T00:00:00.000000,17400.0,8.91e-05,9.14e-05,9.33e-05,8.55e-05,27
2018-07-30T00:00:00.000000,136300.0,9.4e-05,9.26e-05,9.77e-05,8.9e-05,74
2018-07-31T00:00:00.000000,101800.0,9.29e-05,9.76e-05,9.98e-05,9.27e-05,50
2018-08-01T00:00:00.000000,36200.0,0.0001001,8.78e-05,0.0001021,8.78e-05,40
2018-08-02T00:00:00.000000,6500.0,8.57e-05,9.41e-05,9.41e-05,8.39e-05,13
2018-08-03T00:00:00.000000,37300.0,9.66e-05,9.56e-05,0.0001013,8.87e-05,37
2018-08-04T00:00:00.000000,3100.0,8.78e-05,8.59e-05,8.78e-05,8.59e-05,7
2018-08-05T00:00:00.000000,16700.0,8.22e-05,8.22e-05,8.22e-05,8.22e-05,9
2018-08-06T00:00:00.000000,6200.0,8.26e-05,8.55e-05,8.6e-05,8.17e-05,10
2018-08-08T00:00:00.000000,100.0,8.26e-05,8.26e-05,8.26e-05,8.26e-05,1
2018-08-09T00:00:00.000000,200.0,7.91e-05,7.9e-05,7.91e-05,7.9e-05,2
2018-08-10T00:00:00.000000,100.0,7.11e-05,7.11e-05,7.11e-05,7.11e-05,1
