time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-07-13T00:00:00.000000,1217130.64190611,5.21e-06,5.15e-06,5.23e-06,4.88e-06,787
2018-07-14T00:00:00.000000,1184252.87743203,5.17e-06,5.19e-06,5.22e-06,5.09e-06,535
2018-07-15T00:00:00.000000,891635.25507389,5.19e-06,5.18e-06,5.21e-06,5.14e-06,293
2018-07-16T00:00:00.000000,1008903.08560371,5.18e-06,5.29e-06,5.42e-06,5.15e-06,477
2018-07-17T00:00:00.000000,1186846.80040913,5.29e-06,5.59e-06,5.63e-06,5.25e-06,574
2018-07-18T00:00:00.000000,964304.81175202,5.59e-06,5.57e-06,5.67e-06,5.37e-06,702
2018-07-19T00:00:00.000000,876912.89377124,5.57e-06,5.65e-06,5.71e-06,5.54e-06,550
2018-07-20T00:00:00.000000,926609.99819656,5.65e-06,5.44e-06,5.66e-06,5.44e-06,405
2018-07-21T00:00:00.000000,849652.1287123,5.44e-06,5.16e-06,5.5e-06,5.14e-06,410
2018-07-22T00:00:00.000000,1132520.16474285,5.14e-06,5.01e-06,5.18e-06,4.84e-06,737
2018-07-23T00:00:00.000000,842097.38607471,5.02e-06,4.9e-06,5.06e-06,4.88e-06,465
2018-07-24T00:00:00.000000,1012713.6136517,4.91e-06,4.76e-06,5.14e-06,4.7e-06,704
2018-07-25T00:00:00.000000,981173.58396281,4.76e-06,5.1e-06,5.38e-06,4.67e-06,1049
2018-07-26T00:00:00.000000,890220.34134632,5.1e-06,4.76e-06,5.15e-06,4.73e-06,577
2018-07-27T00:00:00.000000,914989.05540452,4.76e-06,4.57e-06,4.81e-06,4.54e-06,512
2018-07-28T00:00:00.000000,1250783.62656093,4.55e-06,5e-06,5.5e-06,4.53e-06,1323
2018-07-29T00:00:00.000000,1001440.72324619,4.98e-06,5.19e-06,5.31e-06,4.98e-06,719
2018-07-30T00:00:00.000000,1066643.47277765,5.19e-06,5.25e-06,5.51e-06,5.11e-06,916
2018-07-31T00:00:00.000000,842799.14841075,5.25e-06,5.55e-06,5.68e-06,5.23e-06,782
2018-08-01T00:00:00.000000,884265.37376022,5.53e-06,4.87e-06,5.8e-06,4.84e-06,949
2018-08-02T00:00:00.000000,857128.73833535,4.87e-06,5.16e-06,5.31e-06,4.57e-06,838
2018-08-03T00:00:00.000000,897270.99298015,5.16e-06,4.95e-06,5.55e-06,4.89e-06,998
2018-08-04T00:00:00.000000,714606.66271841,4.95e-06,4.81e-06,4.97e-06,4.8e-06,409
2018-08-05T00:00:00.000000,802810.3004874,4.81e-06,4.7e-06,4.83e-06,4.65e-06,459
2018-08-06T00:00:00.000000,715488.76013411,4.69e-06,4.92e-06,4.93e-06,4.69e-06,391
2018-08-07T00:00:00.000000,588207.61125293,4.92e-06,4.81e-06,4.94e-06,4.78e-06,295
2018-08-08T00:00:00.000000,681477.71756321,4.8e-06,4.62e-06,4.81e-06,4.59e-06,375
2018-08-09T00:00:00.000000,723797.29177396,4.6e-06,4.09e-06,4.64e-06,4.03e-06,638
2018-08-10T00:00:00.000000,1068006.96756486,4.11e-06,4.14e-06,4.17e-06,3.95e-06,594
2018-08-11T00:00:00.000000,1079447.5171495,4.14e-06,3.91e-06,4.3e-06,3.83e-06,597
2018-08-12T00:00:00.000000,430448.20532693,3.91e-06,3.83e-06,3.94e-06,3.8e-06,195
