time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-07-31T00:00:00.000000,0.049,4e-05,4e-05,4.3e-05,4e-05,31
2017-08-01T00:00:00.000000,376.566,4e-05,4e-05,4.2e-05,4e-05,7
2017-08-02T00:00:00.000000,2.103,3.6e-05,3.6e-05,3.6e-05,3.6e-05,2
2017-08-03T00:00:00.000000,1553.53,3e-05,3e-05,3e-05,2.5e-05,9
2017-08-04T00:00:00.000000,10069.814,3e-05,1.2e-05,3e-05,1e-05,11
2017-08-05T00:00:00.000000,12921.754,1e-05,2.4e-05,2.6e-05,1e-05,44
2017-08-06T00:00:00.000000,5502.78,1.3e-05,2.3e-05,2.3e-05,1.3e-05,17
2017-08-07T00:00:00.000000,20739.666,1.1e-05,1.7e-05,1.7e-05,6e-06,46
2017-08-08T00:00:00.000000,17972.047,1.1e-05,1.4e-05,1.7e-05,1.1e-05,38
2017-08-09T00:00:00.000000,21370.102,1.4e-05,9e-06,1.5e-05,6e-06,39
2017-08-10T00:00:00.000000,67606.956,7e-06,9e-06,1.1e-05,6e-06,110
2017-08-11T00:00:00.000000,467240.694,9e-06,2.2e-05,3e-05,9e-06,394
2017-08-12T00:00:00.000000,577435.033,2.3e-05,2.6e-05,3.1e-05,1.6e-05,910
2017-08-13T00:00:00.000000,591689.61,2.6e-05,2.4e-05,3.1e-05,1.9e-05,344
2017-08-14T00:00:00.000000,550660.042,2.3e-05,2.4e-05,2.5e-05,1.9e-05,523
2017-08-15T00:00:00.000000,3749966.849,2.4e-05,3.9e-05,6.1e-05,2.2e-05,2548
2017-08-16T00:00:00.000000,2570034.239,4.1e-05,3.5e-05,4.7e-05,2.6e-05,2038
2017-08-17T00:00:00.000000,1236408.9,3.5e-05,3.5e-05,3.8e-05,2.6e-05,1061
2017-08-18T00:00:00.000000,1631522.347,3.3e-05,2.9e-05,4e-05,2.8e-05,1315
2017-08-19T00:00:00.000000,1495588.714,2.9e-05,3.7e-05,4.3e-05,2.7e-05,1777
2017-08-20T00:00:00.000000,2783210.145,3.7e-05,4.3e-05,4.7e-05,2.9e-05,2000
2017-08-21T00:00:00.000000,1931631.108,4.3e-05,6.3e-05,6.3e-05,4e-05,2409
2017-08-22T00:00:00.000000,2787192.671,6.3e-05,5.2e-05,7.2e-05,4.3e-05,3170
2017-08-23T00:00:00.000000,1696808.184,5.3e-05,4.3e-05,5.3e-05,3.6e-05,2181
2017-08-24T00:00:00.000000,1091330.798,4.3e-05,3.4e-05,4.5e-05,3.2e-05,1572
2017-08-25T00:00:00.000000,486941.031,3.4e-05,3.4e-05,3.9e-05,3.2e-05,988
2017-08-26T00:00:00.000000,515877.816,3e-05,2.7e-05,3.8e-05,2.7e-05,901
2017-08-27T00:00:00.000000,527144.157,2.8e-05,3.2e-05,3.2e-05,2.4e-05,865
2017-08-28T00:00:00.000000,555353.05,3.2e-05,3.2e-05,3.8e-05,2.9e-05,1226
2017-08-29T00:00:00.000000,645047.739,3e-05,3.1e-05,3.3e-05,2.6e-05,1018
2017-08-30T00:00:00.000000,541366.698,2.9e-05,2.7e-05,3.2e-05,2.4e-05,674
2017-08-31T00:00:00.000000,619805.213,2.8e-05,2.4e-05,2.9e-05,2e-05,1028
2017-09-01T00:00:00.000000,425797.292,2.4e-05,2.4e-05,2.9e-05,2e-05,683
2017-09-02T00:00:00.000000,1065167.327,2.4e-05,1.8e-05,2.4e-05,1.6e-05,810
2017-09-03T00:00:00.000000,638667.963,1.8e-05,1.8e-05,1.9e-05,1.6e-05,534
2017-09-04T00:00:00.000000,780117.179,1.9e-05,2.1e-05,2.2e-05,1.6e-05,745
2017-09-05T00:00:00.000000,863543.148,2.1e-05,1.6e-05,2.1e-05,9e-06,1002
2017-09-06T00:00:00.000000,1135520.594,1.6e-05,1.7e-05,1.8e-05,1e-05,799
2017-09-07T00:00:00.000000,639982.861,1.7e-05,1.5e-05,1.9e-05,1.5e-05,489
2017-09-08T00:00:00.000000,423983.951,1.6e-05,1.6e-05,1.7e-05,1.4e-05,744
2017-09-09T00:00:00.000000,291524.982,1.6e-05,1.4e-05,1.6e-05,1.3e-05,302
2017-09-10T00:00:00.000000,545909.779,1.5e-05,1.4e-05,1.7e-05,1.2e-05,890
2017-09-11T00:00:00.000000,347721.384,1.4e-05,1.4e-05,1.5e-05,1.2e-05,416
2017-09-12T00:00:00.000000,584095.248,1.3e-05,1.2e-05,1.4e-05,1.1e-05,639
2017-09-13T00:00:00.000000,224598.647,1.3e-05,1.3e-05,1.3e-05,1.1e-05,232
2017-09-14T00:00:00.000000,547721.878,1.3e-05,1.1e-05,1.3e-05,1e-05,766
2017-09-15T00:00:00.000000,593934.179,1e-05,1.1e-05,1.2e-05,1e-05,777
2017-09-16T00:00:00.000000,695792.518,1.1e-05,1.4e-05,1.5e-05,1e-05,725
2017-09-17T00:00:00.000000,235247.118,1.4e-05,1.1e-05,1.5e-05,1.1e-05,204
2017-09-18T00:00:00.000000,115641.278,1.1e-05,1.1e-05,1.2e-05,1e-05,196
