time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-02-04T00:00:00.000000,263260.15201516,1.119e-05,1.163e-05,1.25e-05,1.046e-05,436
2018-02-05T00:00:00.000000,50149.08182114,1.124e-05,1.064e-05,1.185e-05,8.09e-06,175
2018-02-06T00:00:00.000000,94789.9309331,1.059e-05,9.34e-06,1.101e-05,7.59e-06,507
2018-02-07T00:00:00.000000,29590.81442684,9.34e-06,1.019e-05,1.183e-05,8.5e-06,405
2018-02-08T00:00:00.000000,122019.40117778,1.02e-05,1.054e-05,1.103e-05,1.002e-05,343
2018-02-09T00:00:00.000000,17858150.13468676,1.036e-05,9.34e-06,1.072e-05,7.89e-06,1494
2018-02-10T00:00:00.000000,710486.52272936,9.28e-06,9.92e-06,1.044e-05,8.65e-06,716
2018-02-11T00:00:00.000000,280938.55048465,1e-05,9.4e-06,1.03e-05,9.31e-06,272
2018-02-12T00:00:00.000000,120099.31789054,9.46e-06,9.65e-06,9.93e-06,9.18e-06,203
2018-02-13T00:00:00.000000,217406.18798498,9.55e-06,1.018e-05,1.08e-05,9.34e-06,288
2018-02-14T00:00:00.000000,45427.4105139,1.002e-05,1.027e-05,1.044e-05,9.89e-06,155
2018-02-15T00:00:00.000000,206771.06265274,1.029e-05,1.155e-05,1.278e-05,8.4e-06,474
2018-02-16T00:00:00.000000,31143.00779785,1.154e-05,1.08e-05,1.162e-05,1.01e-05,93
2018-02-17T00:00:00.000000,173687.42737529,1.042e-05,1.031e-05,1.042e-05,9.3e-06,118
2018-02-18T00:00:00.000000,24141.35667162,1.04e-05,9.95e-06,1.068e-05,9.32e-06,88
2018-02-19T00:00:00.000000,129268.7713802,1.002e-05,9.5e-06,1.099e-05,9.2e-06,237
2018-02-20T00:00:00.000000,65049.84556525,9.34e-06,9.25e-06,1.004e-05,7.84e-06,120
2018-02-21T00:00:00.000000,9566.48699519,9.05e-06,8.05e-06,9.05e-06,7.95e-06,53
2018-02-22T00:00:00.000000,225940.85993628,7.85e-06,7.93e-06,9e-06,7.4e-06,233
2018-02-23T00:00:00.000000,98400.63512723,7.85e-06,7.65e-06,8.34e-06,7.62e-06,102
2018-02-24T00:00:00.000000,293660.99190918,7.67e-06,7.88e-06,8.44e-06,7.59e-06,135
2018-02-25T00:00:00.000000,162182.5376784,7.88e-06,7.67e-06,8.39e-06,7.6e-06,122
2018-02-26T00:00:00.000000,20395.26671054,7.76e-06,8.07e-06,8.1e-06,7.72e-06,44
2018-02-27T00:00:00.000000,4846.9270809,8.05e-06,7.73e-06,8.3e-06,7.66e-06,45
2018-02-28T00:00:00.000000,12456.71347428,7.77e-06,7.51e-06,8.24e-06,7.43e-06,59
2018-03-01T00:00:00.000000,62465.08610939,7.38e-06,7.11e-06,7.57e-06,7.11e-06,128
2018-03-02T00:00:00.000000,344709.77646095,7.02e-06,7.92e-06,8.32e-06,7.02e-06,260
