time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-05-15T00:00:00.000000,2281198.0,0.00013084,0.00012438,0.00013337,0.00012394,2788
2018-05-16T00:00:00.000000,1486397.0,0.00012462,0.00012031,0.00012754,0.00011831,2175
2018-05-17T00:00:00.000000,2939451.0,0.00012031,0.00011844,0.00013585,0.00011601,3171
2018-05-18T00:00:00.000000,746047.0,0.00011801,0.00011919,0.00012161,0.000118,893
2018-05-19T00:00:00.000000,1218232.0,0.00011927,0.00012059,0.0001248,0.00011707,1014
2018-05-20T00:00:00.000000,1525147.0,0.00012009,0.00012121,0.00012399,0.00011811,957
2018-05-21T00:00:00.000000,968570.0,0.00012121,0.00012001,0.00012121,0.00011748,1031
2018-05-22T00:00:00.000000,918655.0,0.00012018,0.00011857,0.00012223,0.0001169,1063
2018-05-23T00:00:00.000000,1301428.0,0.00011816,0.00011049,0.00012028,0.00010905,1458
2018-05-24T00:00:00.000000,1846372.0,0.00011049,0.00011314,0.0001144,0.00010602,2216
2018-05-25T00:00:00.000000,991406.0,0.00011315,0.00011235,0.00011452,0.0001073,1243
2018-05-26T00:00:00.000000,761625.0,0.00011175,0.00011122,0.00011467,0.00010893,956
2018-05-27T00:00:00.000000,595231.0,0.0001115,0.00010874,0.000112,0.00010698,622
2018-05-28T00:00:00.000000,3884497.0,0.00010914,0.00011855,0.0001295,0.00010736,4089
2018-05-29T00:00:00.000000,2659699.0,0.00011801,0.00011106,0.00011854,0.000109,3590
2018-05-30T00:00:00.000000,1667942.0,0.00011014,0.00011279,0.0001196,0.000105,1905
2018-05-31T00:00:00.000000,965427.0,0.00011259,0.00010892,0.00011359,0.00010754,1174
2018-06-01T00:00:00.000000,970280.0,0.00010901,0.00010991,0.00011251,0.00010531,1038
2018-06-02T00:00:00.000000,781830.0,0.0001093,0.00010724,0.0001112,0.0001054,538
2018-06-03T00:00:00.000000,481092.0,0.00010741,0.00010816,0.00011021,0.00010627,663
2018-06-04T00:00:00.000000,1462051.0,0.00010797,0.00010624,0.00011189,0.0001036,1866
2018-06-05T00:00:00.000000,1023387.0,0.00010602,0.00010256,0.0001102,0.0001018,1080
2018-06-06T00:00:00.000000,740368.0,0.0001026,0.00010091,0.00010307,9.926e-05,774
2018-06-07T00:00:00.000000,501930.0,0.00010025,9.765e-05,0.00010197,9.702e-05,636
2018-06-08T00:00:00.000000,567422.0,9.736e-05,9.614e-05,9.985e-05,9.58e-05,663
2018-06-09T00:00:00.000000,382073.0,9.639e-05,9.431e-05,9.756e-05,9.42e-05,618
2018-06-10T00:00:00.000000,748417.0,9.443e-05,9.146e-05,9.532e-05,9.118e-05,643
2018-06-11T00:00:00.000000,1101676.0,9.24e-05,8.834e-05,9.24e-05,8.5e-05,1227
2018-06-12T00:00:00.000000,688485.0,8.834e-05,8.39e-05,8.895e-05,8.212e-05,722
2018-06-13T00:00:00.000000,798857.0,8.431e-05,8.464e-05,8.744e-05,8.255e-05,752
2018-06-14T00:00:00.000000,1924305.0,8.378e-05,8.042e-05,9.495e-05,7.903e-05,1044
2018-06-15T00:00:00.000000,1376083.0,8.12e-05,8.21e-05,8.432e-05,7.902e-05,880
2018-06-16T00:00:00.000000,750651.0,8.236e-05,7.975e-05,8.64e-05,7.971e-05,580
2018-06-17T00:00:00.000000,441254.0,7.975e-05,7.975e-05,8.092e-05,7.8e-05,397
2018-06-18T00:00:00.000000,173927.0,7.998e-05,8.011e-05,8.095e-05,7.893e-05,288
2018-06-19T00:00:00.000000,1125308.0,8.016e-05,7.862e-05,8.198e-05,7.624e-05,574
2018-06-20T00:00:00.000000,1035979.0,7.943e-05,8.273e-05,8.497e-05,7.792e-05,1049
2018-06-21T00:00:00.000000,1494873.0,8.306e-05,8.034e-05,8.595e-05,7.671e-05,841
2018-06-22T00:00:00.000000,788648.0,7.871e-05,7.803e-05,7.993e-05,7.7e-05,290
2018-06-23T00:00:00.000000,1000447.0,7.803e-05,7.685e-05,8.174e-05,7.5e-05,827
2018-06-24T00:00:00.000000,1032430.0,7.678e-05,7.446e-05,8.2e-05,7.193e-05,484
2018-06-25T00:00:00.000000,657719.0,7.446e-05,6.931e-05,7.589e-05,6.863e-05,486
2018-06-26T00:00:00.000000,1908125.0,6.936e-05,7.116e-05,8.1e-05,6.838e-05,655
2018-06-27T00:00:00.000000,282275.0,7.177e-05,7.154e-05,7.59e-05,7.107e-05,199
2018-06-28T00:00:00.000000,666915.0,7.141e-05,7.02e-05,7.232e-05,6.889e-05,398
2018-06-29T00:00:00.000000,511929.0,7.054e-05,6.86e-05,7.272e-05,6.7e-05,394
2018-06-30T00:00:00.000000,355310.0,6.801e-05,6.921e-05,7.16e-05,6.702e-05,339
2018-07-01T00:00:00.000000,1681784.0,6.853e-05,7.192e-05,8e-05,6.802e-05,864
2018-07-02T00:00:00.000000,3385547.0,7.209e-05,7.701e-05,9.209e-05,7.111e-05,1608
2018-07-03T00:00:00.000000,5484415.0,7.626e-05,7.957e-05,9.5e-05,7.59e-05,3452
2018-07-04T00:00:00.000000,1701256.0,7.96e-05,8.061e-05,8.588e-05,7.752e-05,994
2018-07-05T00:00:00.000000,7001273.0,7.996e-05,9.493e-05,0.00011,7.996e-05,2963
2018-07-06T00:00:00.000000,1743286.0,9.415e-05,8.503e-05,9.471e-05,8.378e-05,891
2018-07-07T00:00:00.000000,1166875.0,8.508e-05,8.61e-05,9.18e-05,8.074e-05,853
2018-07-08T00:00:00.000000,1307726.0,8.649e-05,8.734e-05,9.168e-05,8.457e-05,917
2018-07-09T00:00:00.000000,661135.0,8.842e-05,8.528e-05,9.023e-05,8.472e-05,493
2018-07-10T00:00:00.000000,1154501.0,8.595e-05,8.486e-05,9.123e-05,8.13e-05,690
2018-07-11T00:00:00.000000,872591.0,8.51e-05,8.048e-05,8.644e-05,7.999e-05,592
2018-07-12T00:00:00.000000,1502103.0,8.038e-05,7.576e-05,8.125e-05,7.38e-05,959
2018-07-13T00:00:00.000000,2290657.0,7.587e-05,7.895e-05,8.89e-05,7.267e-05,1141
2018-07-14T00:00:00.000000,1910944.0,7.912e-05,7.991e-05,8.482e-05,7.8e-05,1169
2018-07-15T00:00:00.000000,802834.0,7.983e-05,7.672e-05,8.114e-05,7.51e-05,463
2018-07-16T00:00:00.000000,663347.0,7.694e-05,7.818e-05,8.191e-05,7.516e-05,460
2018-07-17T00:00:00.000000,2144614.0,7.818e-05,7.786e-05,8e-05,7.539e-05,640
2018-07-18T00:00:00.000000,1185824.0,7.839e-05,8.311e-05,8.322e-05,7.641e-05,540
2018-07-19T00:00:00.000000,1805575.0,8.284e-05,8.5e-05,8.999e-05,8.184e-05,749
2018-07-20T00:00:00.000000,538256.0,8.496e-05,8.361e-05,8.797e-05,8.199e-05,279
2018-07-21T00:00:00.000000,2474336.0,8.36e-05,7.502e-05,8.462e-05,7.307e-05,876
2018-07-22T00:00:00.000000,1536847.0,7.505e-05,8.131e-05,8.665e-05,7.31e-05,941
2018-07-23T00:00:00.000000,675821.0,8.092e-05,7.874e-05,8.171e-05,7.685e-05,305
2018-07-24T00:00:00.000000,767687.0,7.892e-05,7.692e-05,8.154e-05,7.601e-05,425
2018-07-25T00:00:00.000000,2848791.0,7.621e-05,7.984e-05,9.433e-05,7.344e-05,1362
2018-07-26T00:00:00.000000,2209854.0,8.009e-05,8.073e-05,8.276e-05,7.5e-05,734
2018-07-27T00:00:00.000000,357904.0,8.047e-05,7.821e-05,8.305e-05,7.7e-05,323
2018-07-28T00:00:00.000000,968256.0,7.813e-05,7.992e-05,8.57e-05,7.589e-05,658
