time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-05-15T00:00:00.000000,2513.521,0.00013,0.000129,0.00013,0.000125,8
2018-05-16T00:00:00.000000,17733.23625827,0.000125,0.000118,0.000129,0.000118,34
2018-05-17T00:00:00.000000,59636.384992467,0.000118,0.000122,0.000132,0.000114,71
2018-05-18T00:00:00.000000,4673.988524425,0.000118,0.000118,0.000119,0.000116,10
2018-05-19T00:00:00.000000,1942.0,0.000118,0.000117,0.000118,0.000117,3
2018-05-20T00:00:00.000000,2631.202,0.000117,0.000117,0.000117,0.000117,3
2018-05-21T00:00:00.000000,12835.65868472,0.000118,0.00012,0.000145,0.000116,26
2018-05-22T00:00:00.000000,11451.589093,0.000119,0.000119,0.000123,0.000116,16
2018-05-23T00:00:00.000000,45928.208565635,0.000116,0.00011,0.000119,0.00011,73
2018-05-24T00:00:00.000000,27532.168051995,0.00011,0.000112,0.000115,0.000108,38
2018-05-25T00:00:00.000000,6264.372334555,0.000112,0.000107,0.000112,0.000107,8
2018-05-26T00:00:00.000000,1958.95,0.000111,0.000109,0.000112,0.000109,3
2018-05-27T00:00:00.000000,10931.21769834,0.000106,0.000109,0.000115,0.000106,20
2018-05-28T00:00:00.000000,31435.896982825,0.000109,0.000118,0.000125,0.000107,45
2018-05-29T00:00:00.000000,5140.73,0.000106,0.000109,0.000109,0.000106,4
2018-05-30T00:00:00.000000,12907.22502359,0.000104,0.000113,0.000121,0.000104,18
2018-05-31T00:00:00.000000,11021.9603118,0.00011,0.000107,0.000111,0.000107,18
2018-06-01T00:00:00.000000,6343.24358388,0.000106,0.000112,0.000114,0.000106,12
2018-06-02T00:00:00.000000,13798.067234995,0.00011,0.000105,0.000115,0.000102,43
2018-06-03T00:00:00.000000,26922.409918745,0.000103,0.000107,0.000109,0.0001,31
2018-06-04T00:00:00.000000,53036.936993858,0.00011,0.000108,0.000112,0.0001,90
2018-06-05T00:00:00.000000,12945.936678,0.000106,0.000102,0.000108,0.000102,17
2018-06-06T00:00:00.000000,8280.151008695,0.0001,0.0001,0.000103,0.0001,12
2018-06-07T00:00:00.000000,52009.014495605,0.000102,0.0001,0.00011,9.9e-05,64
2018-06-08T00:00:00.000000,2838.869647,0.0001,9.7e-05,0.0001,9.7e-05,7
2018-06-10T00:00:00.000000,20238.648488151,9.7e-05,9.2e-05,0.000101,9.2e-05,30
2018-06-11T00:00:00.000000,46361.705741005,9.2e-05,9e-05,9.3e-05,8.5e-05,45
2018-06-12T00:00:00.000000,14873.662581635,8.6e-05,8.4e-05,8.8e-05,8.3e-05,16
2018-06-13T00:00:00.000000,28066.58546356,8.3e-05,8.4e-05,8.6e-05,8.1e-05,24
2018-06-14T00:00:00.000000,22599.75469151,8.2e-05,7.9e-05,8.2e-05,7e-05,23
2018-06-15T00:00:00.000000,7795.471297662,8.1e-05,8.2e-05,8.3e-05,7.9e-05,13
2018-06-16T00:00:00.000000,20441.748145038,8.1e-05,8.1e-05,8.3e-05,7.9e-05,28
2018-06-17T00:00:00.000000,2893.8,8e-05,8.2e-05,8.2e-05,8e-05,3
2018-06-18T00:00:00.000000,915.63,7.5e-05,7.5e-05,7.5e-05,7.5e-05,1
2018-06-20T00:00:00.000000,10302.019555,8.1e-05,8.1e-05,8.3e-05,7.9e-05,10
2018-06-21T00:00:00.000000,14077.595841175,8.1e-05,7.9e-05,8.1e-05,7.2e-05,20
2018-06-22T00:00:00.000000,41326.78920155,7.8e-05,8.1e-05,8.4e-05,7.6e-05,28
2018-06-23T00:00:00.000000,12043.873725665,7.6e-05,8e-05,8e-05,7.6e-05,8
2018-06-24T00:00:00.000000,27085.7292,7.5e-05,7.3e-05,7.5e-05,7.3e-05,17
2018-06-25T00:00:00.000000,45595.927730017,7.5e-05,6.9e-05,7.5e-05,6.8e-05,41
2018-06-26T00:00:00.000000,6307.699059769,6.9e-05,7.3e-05,7.3e-05,6.9e-05,12
2018-06-27T00:00:00.000000,5982.1,6.9e-05,7.2e-05,7.2e-05,6.9e-05,5
2018-06-28T00:00:00.000000,2570.581651576,7.2e-05,7e-05,7.2e-05,6.6e-05,6
2018-06-29T00:00:00.000000,8458.768195878,7.1e-05,6.9e-05,7.2e-05,6.9e-05,9
2018-06-30T00:00:00.000000,2771.51,6.9e-05,7e-05,7e-05,6.9e-05,2
2018-07-01T00:00:00.000000,6378.584289518,6.7e-05,7.4e-05,7.4e-05,6.7e-05,10
2018-07-02T00:00:00.000000,25373.45220541,7.3e-05,7.5e-05,8.6e-05,7e-05,36
2018-07-03T00:00:00.000000,45319.035614275,7.7e-05,9e-05,9.2e-05,7.6e-05,48
2018-07-04T00:00:00.000000,33035.98655896,8e-05,8.4e-05,8.6e-05,7.9e-05,37
2018-07-05T00:00:00.000000,98087.72832423,8.4e-05,9.4e-05,0.000108,8.4e-05,119
2018-07-06T00:00:00.000000,63324.31961511,9.4e-05,8.8e-05,9.4e-05,8.4e-05,47
2018-07-07T00:00:00.000000,50498.611806568,8.5e-05,8.5e-05,9e-05,8.1e-05,77
2018-07-08T00:00:00.000000,57106.239028509,8.8e-05,8.6e-05,9e-05,8.4e-05,79
