time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-05-15T00:00:00.000000,301741.54,0.0952,0.0911,0.0952,0.0876,82
2018-05-16T00:00:00.000000,160913.98,0.0911,0.0873,0.0989,0.0868,72
2018-05-17T00:00:00.000000,859392.3,0.0869,0.0834,0.0939,0.0809,283
2018-05-18T00:00:00.000000,59508.79,0.0852,0.0801,0.0888,0.0801,39
2018-05-19T00:00:00.000000,118879.97,0.0795,0.0846,0.0846,0.0782,35
2018-05-20T00:00:00.000000,831009.25,0.0831,0.0844,0.0871,0.0823,72
2018-05-21T00:00:00.000000,254271.58,0.0843,0.0861,0.0866,0.0829,51
2018-05-22T00:00:00.000000,208268.83,0.0851,0.0826,0.0865,0.0818,33
2018-05-23T00:00:00.000000,89021.85,0.0817,0.0706,0.0818,0.0705,49
2018-05-24T00:00:00.000000,42338.49,0.0716,0.0657,0.0716,0.0646,31
2018-05-25T00:00:00.000000,256677.36,0.0651,0.0662,0.0666,0.0619,55
2018-05-26T00:00:00.000000,135789.24,0.0679,0.0645,0.0707,0.0639,96
2018-05-27T00:00:00.000000,105968.31,0.0652,0.064,0.0667,0.0639,44
2018-05-28T00:00:00.000000,255104.64,0.0633,0.0671,0.0722,0.0615,127
2018-05-29T00:00:00.000000,14550.66,0.0665,0.0589,0.0665,0.0589,20
2018-06-05T00:00:00.000000,173610.55,0.0657,0.061,0.0668,0.0601,41
2018-06-06T00:00:00.000000,27597.31,0.0601,0.0609,0.0621,0.0579,21
2018-06-07T00:00:00.000000,36994.83,0.0609,0.0589,0.0611,0.0586,22
2018-06-08T00:00:00.000000,67382.71,0.0598,0.0583,0.0628,0.0583,34
2018-06-09T00:00:00.000000,11252.71,0.0583,0.0567,0.0583,0.056,13
2018-06-10T00:00:00.000000,181502.08,0.0566,0.055,0.0576,0.055,63
2018-06-11T00:00:00.000000,147801.62,0.0532,0.0456,0.0532,0.0456,69
2018-06-12T00:00:00.000000,916822.32,0.0459,0.044,0.0467,0.0432,62
2018-06-13T00:00:00.000000,52711.62,0.0449,0.0412,0.0459,0.0412,30
2018-06-14T00:00:00.000000,55891.43,0.0412,0.0375,0.0412,0.0372,29
2018-06-15T00:00:00.000000,38917.45,0.0399,0.0432,0.0437,0.0388,22
2018-06-16T00:00:00.000000,238220.46,0.0423,0.0395,0.0425,0.0395,61
2018-06-17T00:00:00.000000,105741.31,0.0387,0.0394,0.0404,0.0386,24
2018-06-18T00:00:00.000000,22968.21,0.0397,0.04,0.0498,0.0396,34
2018-06-19T00:00:00.000000,98173.39,0.0396,0.0417,0.0418,0.0385,28
2018-06-20T00:00:00.000000,132018.59,0.041,0.044,0.0444,0.0405,52
2018-06-21T00:00:00.000000,198100.84,0.0442,0.042,0.0442,0.0405,61
2018-06-22T00:00:00.000000,414392.64,0.042,0.0409,0.0437,0.0409,60
2018-06-23T00:00:00.000000,114031.52,0.0402,0.036,0.0402,0.035,62
2018-06-24T00:00:00.000000,36820.99,0.037,0.0358,0.0422,0.0348,35
2018-06-25T00:00:00.000000,1003912.57,0.0351,0.0315,0.0351,0.0301,44
2018-06-26T00:00:00.000000,60462.46,0.0312,0.0339,0.0339,0.0312,15
2018-06-27T00:00:00.000000,24301.71,0.0322,0.0321,0.0322,0.0307,6
