time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-08-04T00:00:00.000000,327773.6263439,1.47955,1.50552,1.51959,1.45,2532
2017-08-05T00:00:00.000000,711702.43191842,1.5168,1.49525,1.54,1.489,4872
2017-08-06T00:00:00.000000,1290549.55741838,1.49525,1.55395,1.66213,1.46,9920
2017-08-07T00:00:00.000000,795306.99862898,1.55397,1.48003,1.57367,1.4527,7242
2017-08-08T00:00:00.000000,787724.94298728,1.49327,1.513,1.53795,1.45783,7152
2017-08-09T00:00:00.000000,1365336.9774265,1.51328,1.56234,1.67999,1.50209,11308
2017-08-10T00:00:00.000000,525430.31378338,1.57055,1.58102,1.635,1.55,5702
2017-08-11T00:00:00.000000,607346.9804251,1.57011,1.57939,1.635,1.565,4882
2017-08-12T00:00:00.000000,576162.93831232,1.57938,1.5,1.61,1.48,5890
2017-08-13T00:00:00.000000,870487.87259668,1.5,1.40206,1.57393,1.37499,8118
2017-08-14T00:00:00.000000,934268.9658754,1.412,1.37,1.444,1.32,9046
2017-08-15T00:00:00.000000,586514.40962804,1.37006,1.35616,1.44599,1.32762,6048
2017-08-16T00:00:00.000000,814522.92838399,1.37291,1.38535,1.4895,1.33,7779
2017-08-17T00:00:00.000000,469902.67719351,1.40062,1.36491,1.41663,1.338,4833
2017-08-18T00:00:00.000000,992023.86290452,1.36539,1.3,1.389,1.297,8754
2017-08-19T00:00:00.000000,1211303.01832784,1.3,1.247,1.325,1.1981,9398
2017-08-20T00:00:00.000000,528526.51668532,1.24594,1.214,1.3,1.1324,3565
2017-08-21T00:00:00.000000,557089.84591982,1.22687,1.16519,1.23622,1.135,4654
2017-08-22T00:00:00.000000,1452762.16876818,1.16519,1.12441,1.25,1.08367,8822
2017-08-23T00:00:00.000000,460186.56063122,1.12157,1.05217,1.12157,1.01,3144
2018-02-20T00:00:00.000000,41526.95084809,7.7,7.7378,7.8981,7.5201,611
2018-02-21T00:00:00.000000,116490.46936704,7.77,7.3849,8.0,7.0,1608
2018-02-22T00:00:00.000000,103331.39830978,7.1926,6.77,7.4863,6.4805,1678
2018-02-23T00:00:00.000000,107327.41876323,6.7,6.3005,7.2449,6.0906,1561
2018-02-24T00:00:00.000000,93761.17164139,6.2509,6.73,6.9899,6.17,1321
2018-02-25T00:00:00.000000,94141.65442144,6.6999,6.4655,6.92,6.17,1326
2018-02-26T00:00:00.000000,34239.78988797,6.3615,6.2799,6.5699,6.12,620
2018-02-27T00:00:00.000000,111116.83178675,6.2898,6.5572,6.7589,6.0201,1458
2018-02-28T00:00:00.000000,114135.12982945,6.55,6.8321,7.2899,6.37,1579
2018-03-01T00:00:00.000000,113284.09727375,6.83,6.68,7.5,6.68,1577
2018-03-02T00:00:00.000000,40689.75142773,6.68,6.9064,6.9799,6.6238,858
2018-03-03T00:00:00.000000,115062.85427826,6.9171,6.5096,7.0299,6.4101,1349
2018-03-04T00:00:00.000000,55072.5006194,6.5499,6.4531,6.7282,6.305,888
2018-03-05T00:00:00.000000,43221.61002672,6.36,6.571,6.59,6.267,891
2018-03-06T00:00:00.000000,69868.18204956,6.5697,6.3881,6.76,6.3851,1368
2018-03-07T00:00:00.000000,107280.16449593,6.4,5.7798,6.41,5.6201,1727
2018-03-08T00:00:00.000000,235329.54770403,5.7796,5.1704,6.49,4.72,2947
2018-03-09T00:00:00.000000,174304.14553837,5.225,4.9403,5.5,4.75,2122
2018-03-10T00:00:00.000000,256452.28156645,4.9699,4.98,4.9992,4.24,2851
2018-03-11T00:00:00.000000,152266.62081113,4.95,4.607,5.29,4.5602,1540
2018-03-12T00:00:00.000000,75901.02218674,4.59,4.9119,5.0999,4.426,916
2018-03-13T00:00:00.000000,88975.23520648,4.9394,4.65,5.04,4.5,1147
