time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-12-29T00:00:00.000000,3771.5001,7.91,8.01,8.1,7.7231,132
2017-12-30T00:00:00.000000,244957.4401,8.098,8.221,8.5887,7.938,3273
2017-12-31T00:00:00.000000,129021.7819,8.2208,7.2203,8.2208,6.7796,2238
2018-01-01T00:00:00.000000,123232.6903,7.18,7.5689,7.77,6.9999,2109
2018-01-02T00:00:00.000000,136846.4775,7.572,7.6241,7.9296,7.295,2199
2018-01-03T00:00:00.000000,137601.8005,7.648,8.2088,8.4424,7.648,2264
2018-01-04T00:00:00.000000,128216.1143,8.239,9.2008,9.2071,7.776,2051
2018-01-05T00:00:00.000000,125662.2983,9.3311,9.4322,10.3255,9.0693,2331
2018-01-06T00:00:00.000000,45965.0036,9.4322,9.3,9.8456,8.8703,1010
2018-01-07T00:00:00.000000,103580.3326,9.3004,9.678,9.9656,8.9013,1991
2018-01-08T00:00:00.000000,64441.7204,9.9101,10.1629,10.7501,9.7296,1207
2018-01-09T00:00:00.000000,67219.9172,10.1764,9.516,10.283,9.0184,1312
2018-01-10T00:00:00.000000,68053.2532,9.516,9.2362,9.6,8.947,1566
2018-01-11T00:00:00.000000,79180.948,9.22,11.054,11.464,8.808,1814
2018-01-12T00:00:00.000000,112134.2114,11.26,11.19,12.3,9.203,2554
2018-01-13T00:00:00.000000,82221.8639,11.0385,13.7605,15.0079,10.6684,2109
2018-01-14T00:00:00.000000,68813.5098,14.01,16.0393,18.1433,13.52,1858
2018-01-15T00:00:00.000000,87447.9332,15.7571,13.2689,15.99,12.9484,2303
2018-01-16T00:00:00.000000,97210.4054,13.83,13.0899,14.64,13.0674,2379
2018-01-17T00:00:00.000000,90890.4333,12.99,9.9,13.04,8.784,2164
2018-01-18T00:00:00.000000,128749.8281,10.03,10.34,10.4,7.7975,2367
2018-01-19T00:00:00.000000,125417.7324,10.3,10.2489,11.0244,9.63,2603
2018-01-20T00:00:00.000000,106927.7238,10.4189,11.08,11.6121,9.5,2432
2018-01-21T00:00:00.000000,108588.6679,11.12,15.718,15.88,11.0763,2608
2018-01-22T00:00:00.000000,110511.6767,15.6157,13.2681,15.6157,12.3,2636
2018-01-23T00:00:00.000000,134804.9065,13.45,13.7799,15.3,13.01,2635
2018-01-24T00:00:00.000000,105899.5615,13.67,12.9729,13.7,11.9595,2627
2018-01-25T00:00:00.000000,83320.9357,12.91,13.5,13.64,12.6,2256
2018-01-26T00:00:00.000000,90093.5285,13.83,14.3505,14.88,13.7048,2301
2018-01-27T00:00:00.000000,84257.1793,14.3505,14.19,14.7143,13.4093,2169
2018-01-28T00:00:00.000000,83642.5101,14.3797,14.25,14.6,14.0859,2262
2018-01-29T00:00:00.000000,73931.4699,14.3085,14.47,14.7513,14.2,2040
2018-01-30T00:00:00.000000,69227.7428,14.7,13.6969,14.7409,13.567,2279
2018-01-31T00:00:00.000000,84580.1637,13.7978,11.52,13.8002,11.284,2482
2018-02-01T00:00:00.000000,87898.4712,11.52,11.9848,12.0831,10.5,2359
2018-02-02T00:00:00.000000,115482.6295,11.9848,10.2005,12.1621,10.0,2892
2018-02-03T00:00:00.000000,231987.987,10.3096,10.28,11.0,8.6194,5525
2018-02-04T00:00:00.000000,219998.9528,10.26,10.64,11.2196,9.3076,5226
2018-02-05T00:00:00.000000,243792.3301,10.5972,8.98,10.84,8.74,5627
2018-02-06T00:00:00.000000,281135.0174,8.9635,7.0799,9.2997,6.9018,6303
2018-02-07T00:00:00.000000,383086.6202,7.0799,8.31,8.422,5.9633,6299
2018-02-08T00:00:00.000000,348352.1429,8.2987,7.6499,8.9507,7.538,5716
2018-02-09T00:00:00.000000,418846.0604,7.704,8.354,8.7001,7.7,6890
2018-02-10T00:00:00.000000,475375.9436,8.354,9.553,9.6,8.01,7929
2018-02-11T00:00:00.000000,420478.8423,9.551,8.9257,9.861,8.5,7790
2018-02-12T00:00:00.000000,372511.559,8.977,8.371,8.977,8.05,6710
2018-02-13T00:00:00.000000,389552.8329,8.327,9.1199,9.231,8.3001,6511
2018-02-14T00:00:00.000000,292513.7785,9.12,8.9198,9.1588,8.6687,5565
2018-02-15T00:00:00.000000,351253.0998,8.932,9.849,9.8863,8.85,6979
2018-02-16T00:00:00.000000,316471.4225,9.8491,9.869,10.07,9.36,5797
2018-02-17T00:00:00.000000,295141.4283,9.8672,9.846,9.9281,9.3204,5202
2018-02-18T00:00:00.000000,281845.4323,9.846,9.9896,10.01,9.6638,5246
2018-02-19T00:00:00.000000,393117.2847,9.99,9.1704,10.1069,8.983,7312
2018-02-20T00:00:00.000000,200904.4293,9.131,9.5154,9.6338,9.11,4322
2018-02-21T00:00:00.000000,211798.3024,9.5813,8.9525,9.8401,8.828,4381
2018-02-22T00:00:00.000000,301049.7626,8.867,8.3,8.989,8.101,5983
2018-02-23T00:00:00.000000,234612.892,8.3,7.767,8.6709,7.645,4247
2018-02-24T00:00:00.000000,264608.3798,7.77,8.255,8.4899,7.64,4162
2018-02-25T00:00:00.000000,223268.966,8.2443,7.935,8.455,7.7071,4304
2018-02-26T00:00:00.000000,223737.535,7.898,7.696,7.9488,7.47,3502
2018-02-27T00:00:00.000000,264856.9589,7.7028,7.952,8.333,7.4242,4372
2018-02-28T00:00:00.000000,330539.3208,7.963,8.4161,8.759,7.85,4676
2018-03-01T00:00:00.000000,253277.8687,8.416,8.22,9.077,8.2181,4153
2018-03-02T00:00:00.000000,192981.5635,8.22,8.53,8.53,8.151,2944
2018-03-03T00:00:00.000000,213035.945,8.53,8.0209,8.6287,7.9475,4223
2018-03-04T00:00:00.000000,158834.6749,8.0209,7.944,8.27,7.901,3014
2018-03-05T00:00:00.000000,187497.9444,7.9517,8.152,8.152,7.7639,3827
2018-03-06T00:00:00.000000,173425.0129,8.1521,7.9578,8.248,7.9578,2962
2018-03-07T00:00:00.000000,255049.269,7.92,7.165,7.9456,7.0542,4923
2018-03-08T00:00:00.000000,370199.9949,7.165,6.381,7.32,6.2354,6331
2018-03-09T00:00:00.000000,339762.1473,6.3807,6.0972,6.7073,5.9401,5535
2018-03-10T00:00:00.000000,463109.2566,6.0972,6.0076,6.1798,5.223,5921
2018-03-11T00:00:00.000000,336179.9625,6.04,5.6686,6.4157,5.6574,4576
2018-03-12T00:00:00.000000,333534.9127,5.6686,6.0672,6.1707,5.455,4150
2018-03-13T00:00:00.000000,318338.8424,6.051,5.7568,6.154,5.639,4017
2018-03-14T00:00:00.000000,279785.2676,5.7304,5.803,5.9299,5.605,4504
2018-03-15T00:00:00.000000,384585.5122,5.82,5.27,5.944,5.2,5632
2018-03-16T00:00:00.000000,511174.8878,5.281,5.1219,5.3326,4.817,6116
2018-03-17T00:00:00.000000,336257.2144,5.1219,5.05,5.329,4.91,4647
2018-03-18T00:00:00.000000,314356.7624,5.0493,4.6498,5.1736,4.56,4429
2018-03-19T00:00:00.000000,589600.163,4.611,4.5955,4.6892,3.915,6602
2018-03-20T00:00:00.000000,657205.9202,4.5972,6.22,6.2345,4.4702,7390
2018-03-21T00:00:00.000000,697498.0184,5.989,5.914,6.288,5.35,9051
2018-03-22T00:00:00.000000,736122.4726,5.9142,6.8933,7.1677,5.8858,9179
2018-03-23T00:00:00.000000,752083.8974,6.88,6.918,7.2686,6.1443,9032
2018-03-24T00:00:00.000000,628030.7812,6.918,6.9552,7.0219,6.3024,7779
2018-03-25T00:00:00.000000,444200.3928,6.9558,6.5266,7.017,6.517,5737
2018-03-26T00:00:00.000000,376270.7048,6.5263,6.452,6.8,6.388,5807
2018-03-27T00:00:00.000000,545262.2352,6.4799,5.842,6.5349,5.3595,7494
