time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-01-26T00:00:00.000000,1734236.061624058,14.19,14.31,14.95,13.7,29905
2018-01-27T00:00:00.000000,4249827.641335492,14.32,14.35,14.83,13.09,66750
2018-01-28T00:00:00.000000,2160503.40733677,14.37,14.36,14.68,13.9,35708
2018-01-29T00:00:00.000000,1930417.425456407,14.35,14.7,14.93,14.19,41440
2018-01-30T00:00:00.000000,1693150.885845788,14.69,13.54,14.75,13.28,38168
2018-01-31T00:00:00.000000,180335.004040676,13.56,11.01,13.61,11.01,3302
2018-02-01T00:00:00.000000,23990.182471955,11.0,10.22,11.0,10.22,488
2018-02-02T00:00:00.000000,249952.155881292,10.45,9.81,10.57,9.81,3246
2018-02-03T00:00:00.000000,127754.501630444,10.14,8.65,10.14,8.65,2079
2018-02-04T00:00:00.000000,4472804.164533447,9.72,10.6,11.27,9.25,56235
2018-02-05T00:00:00.000000,4748419.119238642,10.6,8.91,10.93,8.65,64976
2018-02-06T00:00:00.000000,710532.86275074,8.9,7.06,9.07,6.86,9242
2018-02-07T00:00:00.000000,612374.036980396,7.02,6.0,7.4,6.0,6647
2018-02-09T00:00:00.000000,4829376.606205999,7.85,8.35,8.72,7.8,48059
2018-02-10T00:00:00.000000,4825045.479387767,8.35,9.5,9.61,7.94,55541
2018-02-11T00:00:00.000000,5741160.657215028,9.49,8.93,9.9,8.45,72169
2018-02-12T00:00:00.000000,4370309.032238609,8.94,8.32,8.97,8.01,52008
2018-02-13T00:00:00.000000,3825287.940878755,8.31,9.12,9.25,8.31,39725
2018-02-14T00:00:00.000000,3218231.173473052,9.11,8.94,9.2,8.62,34357
2018-02-15T00:00:00.000000,5286963.071990479,8.93,9.8,9.88,8.93,53311
2018-02-16T00:00:00.000000,4411922.425034492,9.82,9.88,10.07,9.26,43656
2018-02-17T00:00:00.000000,2267008.613412886,9.86,9.84,9.98,9.35,24872
2018-02-18T00:00:00.000000,2697099.050502813,9.84,9.99,10.05,9.7,26468
2018-02-19T00:00:00.000000,4022754.419343903,9.99,9.07,10.08,8.8,40367
2018-02-20T00:00:00.000000,1876874.543995824,9.09,9.49,9.69,9.05,20912
2018-02-21T00:00:00.000000,3013390.145424489,9.47,8.89,9.88,8.77,32575
2018-02-22T00:00:00.000000,4319483.023430431,8.89,8.28,8.95,8.05,41841
