time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-05-29T00:00:00.000000,3471494.82,12.4815,11.4788,12.589,11.28,33162
2018-05-30T00:00:00.000000,6706920.33,11.4853,12.1112,12.465,10.7,67067
2018-05-31T00:00:00.000000,6514864.18,12.1113,11.8968,12.82,11.6206,52521
2018-06-01T00:00:00.000000,6540020.8,11.8712,12.2353,12.74,11.8116,55055
2018-06-02T00:00:00.000000,5946136.88,12.2351,12.2048,12.3889,11.8354,53090
2018-06-03T00:00:00.000000,9812623.63,12.2143,14.6976,15.6774,12.1039,133426
2018-06-04T00:00:00.000000,5800716.38,14.6976,14.5304,15.451,14.2266,81730
2018-06-05T00:00:00.000000,4878116.53,14.5304,13.462,14.8424,13.23,69831
2018-06-06T00:00:00.000000,6430602.84,13.4619,14.1996,14.3,12.71,86468
2018-06-07T00:00:00.000000,5958713.33,14.1978,13.9072,14.3,13.3677,69194
2018-06-08T00:00:00.000000,6061410.77,13.91,14.7207,14.7409,13.6,69656
2018-06-09T00:00:00.000000,2727726.06,14.7205,13.9637,14.9,13.55,66798
2018-06-10T00:00:00.000000,2592900.65,13.9794,14.15,15.0015,13.92,70817
2018-06-11T00:00:00.000000,10540465.95,14.15,11.7313,14.1642,10.98,117253
2018-06-12T00:00:00.000000,8878723.1,11.7355,11.7719,11.93,10.61,109917
2018-06-13T00:00:00.000000,9168694.85,11.771,10.0909,11.78,9.68,98326
2018-06-14T00:00:00.000000,10351432.78,10.0909,10.037,10.47,9.12,113104
2018-06-15T00:00:00.000000,10052349.0,10.0312,11.2534,11.7899,9.462,128840
2018-06-16T00:00:00.000000,5408054.38,11.2534,10.6547,11.45,10.5107,81960
2018-06-17T00:00:00.000000,6053921.05,10.6504,10.5254,10.8667,10.16,69941
2018-06-18T00:00:00.000000,1627761.79,10.5254,10.3388,10.75,10.25,38446
2018-06-19T00:00:00.000000,10669784.21,10.3388,10.6791,10.899,10.0963,73020
2018-06-20T00:00:00.000000,7961229.86,10.6738,10.658,10.9693,10.38,53189
2018-06-21T00:00:00.000000,8798849.05,10.6507,10.412,10.7495,10.16,59765
2018-06-22T00:00:00.000000,8923799.16,10.4077,10.4099,10.83,10.2032,55757
2018-06-23T00:00:00.000000,11547386.83,10.4031,8.5198,10.432,8.246,100813
2018-06-24T00:00:00.000000,8165524.12,8.5133,8.4464,8.747,8.068,54241
2018-06-25T00:00:00.000000,8983446.42,8.4464,8.06,8.5153,6.92,74559
2018-06-26T00:00:00.000000,9612531.13,8.0526,8.3358,8.7,7.668,59566
2018-06-27T00:00:00.000000,5966985.99,8.3357,7.576,8.3999,7.5329,39383
2018-06-28T00:00:00.000000,9334245.96,7.5518,7.9942,8.26,7.3878,55662
2018-06-29T00:00:00.000000,8056602.36,7.995,7.3675,8.087,7.2984,51892
2018-06-30T00:00:00.000000,7661045.91,7.364,7.7438,7.95,7.0804,49782
2018-07-01T00:00:00.000000,9584422.7,7.7402,8.127,8.298,7.7346,56416
2018-07-02T00:00:00.000000,9547404.62,8.1298,8.1164,8.2452,7.761,49275
2018-07-03T00:00:00.000000,8241723.99,8.1136,8.9691,9.1744,7.88,58648
2018-07-04T00:00:00.000000,11219476.51,8.9665,8.8336,9.4363,8.6051,69085
2018-07-05T00:00:00.000000,6569646.07,8.8336,8.9064,9.3955,8.7092,39260
2018-07-06T00:00:00.000000,8412873.07,8.9097,8.8328,9.2219,8.6583,59073
2018-07-07T00:00:00.000000,4527731.38,8.833,8.6303,8.8735,8.288,40976
2018-07-08T00:00:00.000000,2062917.31,8.6449,8.8336,8.8931,8.3517,25922
2018-07-09T00:00:00.000000,9139546.76,8.8332,8.6827,8.9801,8.6501,45286
2018-07-10T00:00:00.000000,8872131.76,8.6826,7.7092,8.7165,7.5,55731
2018-07-11T00:00:00.000000,6524620.99,7.7045,7.1196,7.824,7.0503,65430
2018-07-12T00:00:00.000000,12859537.82,7.1199,7.1616,7.3993,6.72,72321
2018-07-13T00:00:00.000000,14581793.54,7.1668,6.9207,7.1704,6.54,67754
2018-07-14T00:00:00.000000,14260068.83,6.9208,6.8921,7.2245,6.6881,65071
2018-07-15T00:00:00.000000,12584240.6,6.8982,6.9237,7.088,6.764,44555
2018-07-16T00:00:00.000000,13645106.84,6.9268,7.4075,7.5346,6.852,53036
2018-07-17T00:00:00.000000,15310182.77,7.4026,8.0899,8.1819,7.2202,84539
2018-07-18T00:00:00.000000,15072014.32,8.0845,8.7826,8.9686,7.83,90844
2018-07-19T00:00:00.000000,15368313.36,8.783,8.6018,9.37,8.4287,106523
2018-07-20T00:00:00.000000,12014171.9,8.6015,8.4175,8.7592,8.1528,81173
2018-07-21T00:00:00.000000,11299468.79,8.422,7.8583,8.6069,7.711,88201
2018-07-22T00:00:00.000000,8592901.02,7.8583,8.0,8.2419,7.572,59729
2018-07-23T00:00:00.000000,7179671.84,7.9939,7.8488,8.27,7.71,51200
2018-07-24T00:00:00.000000,5586220.5,7.8461,7.9353,8.4144,7.7811,63395
2018-07-25T00:00:00.000000,11998912.88,7.9336,8.5871,8.6967,7.7165,96177
2018-07-26T00:00:00.000000,14376822.84,8.5809,8.532,9.1407,8.3385,86059
2018-07-27T00:00:00.000000,7416776.45,8.5307,8.6453,8.86,8.46,38612
2018-07-29T00:00:00.000000,8534605.89,8.3451,8.3523,8.3893,8.12,33339
