time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-04-23T00:00:00.000000,258763.19,11.34273,11.5572,11.97622,10.99348,22925
2018-04-24T00:00:00.000000,198221.56,11.55909,11.82714,12.14026,11.51,25784
2018-04-25T00:00:00.000000,677977.31,11.82483,15.2,16.13727,11.82069,31967
2018-04-26T00:00:00.000000,332677.43,15.17783,14.5891,15.72138,13.47795,28986
2018-04-27T00:00:00.000000,268884.99,14.57781,15.51662,15.52693,13.97766,25472
2018-04-28T00:00:00.000000,351196.1,15.50211,16.70988,17.98998,14.95502,30302
2018-04-29T00:00:00.000000,487665.61,16.72281,18.81954,19.50751,16.56203,30870
2018-04-30T00:00:00.000000,491199.93,18.81845,21.43088,23.18665,18.80537,32674
2018-05-01T00:00:00.000000,512853.54,21.44324,17.53998,21.69999,16.65,29610
2018-05-02T00:00:00.000000,494601.78,17.53521,18.75136,18.99601,16.10005,12076
2018-05-03T00:00:00.000000,317705.56,18.81189,19.15998,19.42802,18.20463,7319
2018-05-04T00:00:00.000000,363640.9,19.15997,17.7405,19.2614,16.95,8171
2018-05-05T00:00:00.000000,340640.12,17.7281,17.06918,18.09999,16.35655,5543
2018-05-06T00:00:00.000000,299614.88,17.03611,17.77291,18.65,17.02351,5674
2018-05-07T00:00:00.000000,294799.58,17.78345,17.39077,17.90309,16.67,4939
2018-05-08T00:00:00.000000,428268.86,17.40255,17.82191,18.39199,16.74,8728
2018-05-09T00:00:00.000000,281421.14,17.80294,18.05008,18.83285,17.73498,5252
2018-05-10T00:00:00.000000,244406.72,18.02953,17.78527,18.05112,17.05002,4519
2018-05-11T00:00:00.000000,285883.62,17.75684,17.35,18.69998,17.34,5827
2018-05-12T00:00:00.000000,506614.83,17.35496,14.88283,17.68696,14.13057,9521
2018-05-13T00:00:00.000000,624400.11,14.91772,13.97551,15.27568,12.4,9294
2018-05-14T00:00:00.000000,343649.22,13.98643,14.68488,15.06997,13.48734,6468
2018-05-15T00:00:00.000000,383962.48,14.69086,13.81172,14.78146,13.1624,5741
2018-05-16T00:00:00.000000,284083.32,13.79528,12.84995,14.301,12.5,6063
2018-05-17T00:00:00.000000,305387.2,12.86141,12.6299,13.0687,11.91216,5852
2018-05-18T00:00:00.000000,341344.28,12.60989,12.29041,13.89999,12.10062,6473
2018-05-19T00:00:00.000000,331844.65,12.25033,12.91024,13.12954,11.92169,6648
2018-05-20T00:00:00.000000,339273.24,12.8903,13.09719,13.34622,12.46844,6331
2018-05-21T00:00:00.000000,342743.59,13.05989,13.91181,14.15984,12.91232,6471
2018-05-22T00:00:00.000000,348572.03,13.92014,13.4317,14.1274,13.15155,6574
2018-05-23T00:00:00.000000,510903.55,13.45998,12.15811,13.48625,12.08985,8448
2018-05-24T00:00:00.000000,625729.55,12.16473,10.70205,12.39983,10.62202,12808
2018-05-25T00:00:00.000000,610109.65,10.7086,12.73203,12.89193,10.45075,9974
2018-05-26T00:00:00.000000,560254.88,12.72229,12.24864,12.79827,11.73611,8292
2018-05-27T00:00:00.000000,223968.49,12.27154,12.33673,12.82514,11.95601,2856
2018-05-28T00:00:00.000000,312661.01,12.30679,12.50114,12.57925,12.06905,5257
2018-05-29T00:00:00.000000,625947.22,12.49693,11.58436,12.99633,11.42002,8759
2018-05-30T00:00:00.000000,1426904.31,11.5904,12.14587,12.45418,10.83316,8355
2018-05-31T00:00:00.000000,877062.1,12.17826,11.94648,12.59407,11.76032,5353
2018-06-01T00:00:00.000000,1163939.99,11.9641,12.30909,12.76587,11.89616,7506
2018-06-02T00:00:00.000000,1142161.7,12.29821,12.26841,12.40759,11.96078,6432
2018-06-03T00:00:00.000000,1633514.58,12.2684,14.59755,15.56009,12.15245,16940
2018-06-04T00:00:00.000000,1255647.66,14.61762,14.39844,15.37051,13.91784,14082
2018-06-05T00:00:00.000000,1147295.18,14.34909,13.43071,14.67519,13.26407,6553
2018-06-06T00:00:00.000000,1671561.76,13.43732,14.01917,14.15645,12.87888,8191
2018-06-07T00:00:00.000000,1372109.43,14.03294,13.85238,14.11477,13.37454,4750
2018-06-08T00:00:00.000000,1060777.99,13.85758,14.17999,14.19,13.66282,6298
2018-06-09T00:00:00.000000,1151314.09,14.1406,13.85071,14.26803,13.5217,6769
2018-06-10T00:00:00.000000,1101054.0,13.88256,13.95825,14.48979,13.83411,7426
2018-06-11T00:00:00.000000,2184136.26,13.95786,11.1571,13.95827,10.22621,15602
2018-06-12T00:00:00.000000,1318401.91,11.17576,11.4,11.54168,10.5,9605
2018-06-13T00:00:00.000000,1684471.93,11.39796,10.10223,11.41534,9.76687,7420
2018-06-14T00:00:00.000000,1789958.37,10.15511,10.11155,10.40751,9.25203,7753
2018-06-15T00:00:00.000000,1735568.16,10.11218,11.24991,11.5989,9.56303,8674
