time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-08-01T00:00:00.000000,60382.98473726,6.56468512,6.2636403,6.5952,6.10000002,274
2018-08-02T00:00:00.000000,52281.76401234,6.26249238,6.22962553,6.29999999,5.8502,338
2018-08-03T00:00:00.000000,73957.11043078,6.20466085,6.07025455,6.279,5.9407,379
2018-08-04T00:00:00.000000,153172.52196693,6.0154,6.1921,6.2622,5.93538671,514
2018-08-05T00:00:00.000000,35310.4674125,6.1939,6.0386,6.2681,5.95621694,212
2018-08-06T00:00:00.000000,23800.88974423,6.0124,6.09159633,6.13856068,5.9786,127
2018-08-07T00:00:00.000000,64272.88517016,6.1088,6.1075,6.1804,6.01000001,294
2018-08-08T00:00:00.000000,162192.18949792,6.07,5.6626,6.233,5.605,541
2018-08-09T00:00:00.000000,414676.51573042,5.6367,4.784,5.6367,4.6068,1497
2018-08-10T00:00:00.000000,194877.8481716,4.8055,4.9849,5.1247,4.6731,604
2018-08-11T00:00:00.000000,621130.96020854,5.015,4.57885704,5.060239,4.52549999,1825
2018-08-12T00:00:00.000000,11914.4002908,4.4735,4.44569881,4.63996449,4.39474675,81
