time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-08-01T00:00:00.000000,6495.58227469,5.8821,5.5787,5.8821,5.4199,201
2018-08-02T00:00:00.000000,8625.05463691,5.58318391,5.4966,5.59824606,5.1975,303
2018-08-03T00:00:00.000000,4455.44294003,5.5037,5.4846981,5.58080001,5.30189254,119
2018-08-04T00:00:00.000000,3382.97558898,5.3581,5.53494731,5.5676,5.2599,87
2018-08-05T00:00:00.000000,3465.55215846,5.53371664,5.39150424,5.58955838,5.3211,43
2018-08-06T00:00:00.000000,1075.04707281,5.33811671,5.40500871,5.46879869,5.33811671,7
2018-08-07T00:00:00.000000,914.13493697,5.4846,5.4534848,5.4846,5.3770266,14
2018-08-08T00:00:00.000000,6724.17601799,5.40117301,5.05290211,5.57004144,5.0473135,82
2018-08-09T00:00:00.000000,28975.83790511,5.01802567,4.3377,5.01802567,4.1614,242
2018-08-10T00:00:00.000000,10767.21450737,4.3846,4.4783,4.59325589,4.22928805,75
2018-08-11T00:00:00.000000,33335.81154643,4.3869,4.15069501,4.48433699,4.05647871,263
2018-08-12T00:00:00.000000,6403.99845571,4.00737856,3.99406501,4.15490001,3.929,69
