time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-08-01T00:00:00.000000,21.73,7.37,7.26,7.43,7.2,28
2018-08-02T00:00:00.000000,1.05,7.32,7.0,7.32,7.0,4
2018-08-03T00:00:00.000000,11.52,7.01,7.14,7.14,7.01,2
2018-08-04T00:00:00.000000,2.03,7.11,7.17,7.17,7.11,10
2018-08-05T00:00:00.000000,38.25,7.06,6.99,7.06,6.99,5
2018-08-07T00:00:00.000000,0.29,7.07,6.99,7.07,6.99,3
2018-08-08T00:00:00.000000,1157.13,7.05,6.61,7.06,6.61,20
2018-08-09T00:00:00.000000,65387.21,6.61,5.57,6.61,5.51,1981
2018-08-10T00:00:00.000000,360.94,5.77,5.88,5.88,5.77,9
2018-08-11T00:00:00.000000,19199.5,5.79,5.29,5.83,5.29,105
2018-08-12T00:00:00.000000,14395.99,5.18,5.07,5.18,5.07,74
