time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-08-01T00:00:00.000000,3650412.61531428,7.75,7.303,7.75,7.1,28443
2018-08-02T00:00:00.000000,1638687.57339031,7.3109,7.2696,7.38,6.8898,13448
2018-08-03T00:00:00.000000,631466.79334685,7.22,7.0074,7.3361,6.9143,3166
2018-08-04T00:00:00.000000,325517.44176137,7.0,7.196,7.2372,6.83,2032
2018-08-05T00:00:00.000000,181959.20484823,7.166,6.963,7.2733,6.88,1335
2018-08-06T00:00:00.000000,162564.59142323,6.97,7.0224,7.0768,6.8905,851
2018-08-07T00:00:00.000000,156895.25972613,7.0527,7.07,7.24,6.8996,775
2018-08-08T00:00:00.000000,260044.82814577,7.078,6.5666,7.18,6.5,1551
2018-08-09T00:00:00.000000,2928043.95188307,6.5465,5.55,6.5465,5.3438,15703
2018-08-10T00:00:00.000000,270116.60759752,5.5865,5.8105,5.9416,5.42,1675
2018-08-11T00:00:00.000000,429900.51724394,5.7683,5.2314,5.8203,5.1014,3296
2018-08-12T00:00:00.000000,109734.98896228,5.2415,5.096,5.2699,5.0,1147
