time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-01-09T00:00:00.000000,350020.0,0.0001522,0.0002118,0.0002278,0.0001321,656
2018-01-10T00:00:00.000000,1412220.0,0.0002108,0.0001507,0.0002108,0.0001328,1031
2018-01-11T00:00:00.000000,494060.0,0.0001438,0.0001321,0.0001439,0.0001009,672
2018-01-12T00:00:00.000000,63630.0,0.0001287,0.000117,0.0001288,0.0001124,56
2018-01-13T00:00:00.000000,86780.0,0.0001113,0.0001184,0.0001229,0.0001113,162
2018-01-14T00:00:00.000000,473460.0,0.0001112,9.84e-05,0.0001209,9.02e-05,356
2018-01-15T00:00:00.000000,260370.0,0.0001001,9.61e-05,0.0001012,9.08e-05,342
2018-01-16T00:00:00.000000,392680.0,9.19e-05,9.62e-05,0.000111,9.18e-05,388
2018-01-17T00:00:00.000000,261840.0,9.17e-05,8.99e-05,9.99e-05,6.4e-05,497
2018-01-18T00:00:00.000000,436290.0,8.38e-05,9.71e-05,0.000157,7.92e-05,681
2018-01-19T00:00:00.000000,500150.0,9.33e-05,0.0001157,0.0001166,9.29e-05,714
2018-01-20T00:00:00.000000,275100.0,0.0001099,0.0001186,0.000135,0.0001052,699
2018-01-21T00:00:00.000000,118680.0,0.0001212,0.0001088,0.0001219,0.0001,322
2018-01-22T00:00:00.000000,129010.0,0.0001032,0.0001029,0.0001088,9.31e-05,284
2018-01-23T00:00:00.000000,219870.0,0.0001001,0.0001012,0.000118,9.33e-05,263
2018-01-24T00:00:00.000000,99930.0,0.0001018,9.88e-05,0.00011,9.3e-05,179
2018-01-25T00:00:00.000000,66100.0,0.0001022,9.78e-05,0.0001095,8.51e-05,322
2018-01-26T00:00:00.000000,92880.0,9.65e-05,9.7e-05,0.0001034,9.5e-05,232
2018-01-27T00:00:00.000000,104340.0,9.73e-05,9.43e-05,0.0001047,8.5e-05,256
2018-01-28T00:00:00.000000,47050.0,9.32e-05,9.11e-05,0.0001022,9.08e-05,73
2018-01-29T00:00:00.000000,63590.0,9.25e-05,8.03e-05,9.68e-05,7.56e-05,155
2018-01-30T00:00:00.000000,61740.0,8.22e-05,8.3e-05,8.62e-05,7.77e-05,130
2018-01-31T00:00:00.000000,88510.0,8.48e-05,7.65e-05,8.81e-05,7.22e-05,270
2018-02-01T00:00:00.000000,66190.0,7.7e-05,7.65e-05,8.14e-05,7e-05,98
2018-02-02T00:00:00.000000,57710.0,7.65e-05,6.96e-05,8.14e-05,5.76e-05,103
2018-02-03T00:00:00.000000,93390.0,6.6e-05,6.36e-05,7.31e-05,6.05e-05,99
2018-02-04T00:00:00.000000,272690.0,6.36e-05,6.22e-05,7.16e-05,5.7e-05,202
2018-02-05T00:00:00.000000,130820.0,6.14e-05,6.12e-05,6.45e-05,5.76e-05,108
2018-02-06T00:00:00.000000,108990.0,5.97e-05,5.74e-05,6.31e-05,5.26e-05,120
2018-02-07T00:00:00.000000,136530.0,5.81e-05,6.69e-05,6.69e-05,5.1e-05,236
2018-02-08T00:00:00.000000,262300.0,7e-05,7.45e-05,9e-05,6.47e-05,547
2018-02-09T00:00:00.000000,118520.0,7.96e-05,7.17e-05,8.22e-05,6.92e-05,167
2018-02-10T00:00:00.000000,81610.0,7.17e-05,6.94e-05,7.61e-05,6.85e-05,251
2018-02-11T00:00:00.000000,87530.0,7.03e-05,7.03e-05,7.75e-05,6.83e-05,374
2018-02-12T00:00:00.000000,150580.0,7.12e-05,6.56e-05,7.15e-05,6.01e-05,170
2018-02-13T00:00:00.000000,97000.0,6.54e-05,6.31e-05,6.57e-05,6.03e-05,85
2018-02-14T00:00:00.000000,36170.0,6.37e-05,6.1e-05,6.37e-05,6.04e-05,67
2018-02-15T00:00:00.000000,80430.0,6.2e-05,6.3e-05,6.43e-05,5.92e-05,168
2018-02-16T00:00:00.000000,77430.0,6.17e-05,6.16e-05,6.53e-05,6e-05,212
2018-02-17T00:00:00.000000,146310.0,6.2e-05,6.28e-05,6.42e-05,5.99e-05,238
2018-02-18T00:00:00.000000,155770.0,6.23e-05,6.72e-05,6.96e-05,6.17e-05,305
2018-02-19T00:00:00.000000,75440.0,6.78e-05,6.45e-05,6.78e-05,6.07e-05,159
2018-02-20T00:00:00.000000,40050.0,6.45e-05,6.82e-05,7.7e-05,6.36e-05,170
2018-02-21T00:00:00.000000,179370.0,6.76e-05,6.5e-05,7.72e-05,5.02e-05,361
2018-02-22T00:00:00.000000,74620.0,6.4e-05,6.2e-05,6.53e-05,5.45e-05,104
2018-02-23T00:00:00.000000,28640.0,6.22e-05,6.22e-05,6.3e-05,5.72e-05,38
2018-02-24T00:00:00.000000,36120.0,6.19e-05,5.79e-05,6.52e-05,5.54e-05,90
2018-02-25T00:00:00.000000,38790.0,5.95e-05,5.8e-05,6.56e-05,5.74e-05,106
2018-02-26T00:00:00.000000,97800.0,6.14e-05,6.04e-05,6.93e-05,5.84e-05,215
2018-02-27T00:00:00.000000,112210.0,6.2e-05,5.89e-05,6.4e-05,5.69e-05,137
2018-02-28T00:00:00.000000,65840.0,6.1e-05,6.01e-05,6.21e-05,5.75e-05,70
2018-03-01T00:00:00.000000,51710.0,6.02e-05,6.1e-05,6.2e-05,5.76e-05,89
2018-03-02T00:00:00.000000,182480.0,6.2e-05,6.59e-05,7.21e-05,5.7e-05,216
2018-03-03T00:00:00.000000,372350.0,6.6e-05,7.85e-05,8.8e-05,6.6e-05,401
2018-03-04T00:00:00.000000,76700.0,7.87e-05,7.22e-05,8.61e-05,7.19e-05,188
2018-03-05T00:00:00.000000,30650.0,7.6e-05,7.02e-05,7.72e-05,6.87e-05,63
2018-03-06T00:00:00.000000,50060.0,6.85e-05,7.42e-05,7.62e-05,6.74e-05,119
2018-03-07T00:00:00.000000,55380.0,7.17e-05,6.87e-05,7.44e-05,6.02e-05,114
2018-03-08T00:00:00.000000,113350.0,6.95e-05,6.79e-05,6.95e-05,6.04e-05,116
2018-03-09T00:00:00.000000,89590.0,6.55e-05,5.81e-05,6.6e-05,5.72e-05,91
2018-03-10T00:00:00.000000,193400.0,6.19e-05,6.29e-05,6.87e-05,5.66e-05,184
2018-03-11T00:00:00.000000,140350.0,6.3e-05,6.69e-05,6.87e-05,6.03e-05,166
2018-03-12T00:00:00.000000,174140.0,6.28e-05,6.77e-05,6.78e-05,6.11e-05,131
2018-03-13T00:00:00.000000,263450.0,6.85e-05,6.34e-05,6.86e-05,5.96e-05,181
2018-03-14T00:00:00.000000,72560.0,6.33e-05,6.32e-05,6.79e-05,6.26e-05,69
2018-03-15T00:00:00.000000,115560.0,6.26e-05,6.13e-05,6.64e-05,5.71e-05,142
2018-03-16T00:00:00.000000,81280.0,5.95e-05,6.24e-05,6.48e-05,5.84e-05,141
2018-03-17T00:00:00.000000,27040.0,6.23e-05,6.26e-05,6.55e-05,6.07e-05,62
2018-03-18T00:00:00.000000,71620.0,6.31e-05,6.38e-05,6.6e-05,5.87e-05,71
2018-03-19T00:00:00.000000,200580.0,6.6e-05,6.18e-05,6.73e-05,5.76e-05,225
2018-03-20T00:00:00.000000,66940.0,6.36e-05,6.96e-05,7.25e-05,6.18e-05,112
