time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-04-19T00:00:00.000000,9776.743,8.2e-05,8.4e-05,8.4e-05,8.2e-05,9
2018-04-20T00:00:00.000000,13970.318,8.3e-05,8.3e-05,8.8e-05,7.7e-05,13
2018-04-23T00:00:00.000000,1839.148,7.6e-05,7.3e-05,7.6e-05,7.3e-05,9
2018-04-24T00:00:00.000000,42311.696,7.5e-05,7.4e-05,7.8e-05,7.1e-05,25
2018-04-25T00:00:00.000000,39398.6,7.1e-05,7.3e-05,7.6e-05,6.9e-05,29
2018-04-26T00:00:00.000000,94961.751,7.3e-05,6.6e-05,7.4e-05,6.6e-05,46
2018-04-27T00:00:00.000000,91141.294,6.9e-05,7e-05,7.3e-05,6.8e-05,29
2018-04-28T00:00:00.000000,344321.492,7.3e-05,7e-05,8.5e-05,6.6e-05,145
2018-04-29T00:00:00.000000,466408.185,6.7e-05,6.7e-05,7.5e-05,6.6e-05,166
2018-04-30T00:00:00.000000,144644.269,6.7e-05,6.8e-05,7.4e-05,6.5e-05,119
2018-05-01T00:00:00.000000,269178.708,6.8e-05,7.2e-05,7.5e-05,6.7e-05,97
2018-05-02T00:00:00.000000,120304.025,7.2e-05,7e-05,7.2e-05,7e-05,34
2018-05-03T00:00:00.000000,621726.001,7.2e-05,7.6e-05,8.4e-05,6.9e-05,166
2018-05-04T00:00:00.000000,531502.286,7.4e-05,6.9e-05,7.9e-05,6.9e-05,185
2018-05-05T00:00:00.000000,725386.496,6.8e-05,6.6e-05,7.5e-05,6.1e-05,276
2018-05-06T00:00:00.000000,182261.365,6.3e-05,6.2e-05,6.6e-05,5.6e-05,66
2018-05-07T00:00:00.000000,792524.354,6.2e-05,7.4e-05,8.1e-05,6.1e-05,228
2018-05-08T00:00:00.000000,2900564.894,7e-05,7.9e-05,8.6e-05,6.8e-05,827
2018-05-09T00:00:00.000000,1116194.979,7.6e-05,7.5e-05,8e-05,7.3e-05,326
2018-05-10T00:00:00.000000,670218.228,7.5e-05,7.3e-05,7.7e-05,7.1e-05,160
2018-05-11T00:00:00.000000,998816.503,7.2e-05,7.3e-05,7.7e-05,7.2e-05,292
2018-05-12T00:00:00.000000,1305680.999,7.3e-05,6.6e-05,7.3e-05,6.3e-05,368
2018-05-13T00:00:00.000000,1240576.104,6.7e-05,6.8e-05,7e-05,6e-05,410
2018-05-14T00:00:00.000000,1193374.964,6.6e-05,6.7e-05,7.5e-05,6.3e-05,433
2018-05-15T00:00:00.000000,592971.121359127,6.6e-05,6.4e-05,6.8e-05,6.1e-05,154
2018-05-16T00:00:00.000000,714450.446732648,6.4e-05,6.4e-05,6.7e-05,6.3e-05,85
2018-05-17T00:00:00.000000,450966.355802091,6.3e-05,6.1e-05,6.5e-05,6e-05,91
2018-05-18T00:00:00.000000,410832.65830017,6.4e-05,7.1e-05,7.5e-05,6e-05,133
2018-05-19T00:00:00.000000,570144.635376503,7e-05,6.7e-05,7.6e-05,6.4e-05,174
2018-05-20T00:00:00.000000,363831.261645994,6.8e-05,6.8e-05,7.2e-05,6.6e-05,102
2018-05-21T00:00:00.000000,487694.132960843,6.8e-05,6.6e-05,7e-05,6.5e-05,127
2018-05-22T00:00:00.000000,338459.65758399,6.7e-05,6.6e-05,6.8e-05,6.5e-05,69
2018-05-23T00:00:00.000000,562340.005829919,6.7e-05,6.4e-05,6.7e-05,6.2e-05,110
2018-05-24T00:00:00.000000,140515.842547827,6.4e-05,6.1e-05,6.5e-05,5.8e-05,66
2018-05-25T00:00:00.000000,277551.391188579,6e-05,6e-05,6.3e-05,5.7e-05,83
2018-05-26T00:00:00.000000,99176.340600108,6.1e-05,5.8e-05,6.1e-05,5.7e-05,46
2018-05-27T00:00:00.000000,452636.363696528,5.8e-05,6e-05,6.4e-05,5.8e-05,90
2018-05-28T00:00:00.000000,71066.821270049,6.1e-05,6.1e-05,6.1e-05,5.9e-05,28
2018-05-29T00:00:00.000000,397721.008154603,6.1e-05,6.1e-05,6.6e-05,5.9e-05,69
2018-05-30T00:00:00.000000,382867.504744529,6e-05,6.1e-05,6.3e-05,5.9e-05,113
2018-05-31T00:00:00.000000,266635.01243878,6e-05,6.1e-05,6.2e-05,5.8e-05,98
2018-06-01T00:00:00.000000,69723.03361691,5.9e-05,5.7e-05,6.3e-05,5.5e-05,37
2018-06-02T00:00:00.000000,233646.926874378,6e-05,6.1e-05,6.4e-05,5.6e-05,78
2018-06-03T00:00:00.000000,321144.367135817,6.1e-05,6.1e-05,6.2e-05,6e-05,86
2018-06-04T00:00:00.000000,198260.607484,6e-05,5.8e-05,6e-05,5.7e-05,56
2018-06-05T00:00:00.000000,82902.352079396,5.8e-05,5.8e-05,5.9e-05,5.5e-05,41
2018-06-06T00:00:00.000000,144553.60231478,5.8e-05,5.6e-05,5.8e-05,5.5e-05,32
2018-06-07T00:00:00.000000,161497.691937459,5.6e-05,5.6e-05,5.6e-05,5.5e-05,27
2018-06-08T00:00:00.000000,93632.089812,5.4e-05,5.6e-05,5.6e-05,5.4e-05,25
2018-06-09T00:00:00.000000,195744.713623518,5.5e-05,5.5e-05,5.5e-05,5.3e-05,60
2018-06-10T00:00:00.000000,16993.023872,5.5e-05,5.4e-05,5.5e-05,5.4e-05,9
2018-06-11T00:00:00.000000,185051.51934061,5.5e-05,5.1e-05,5.5e-05,4.2e-05,67
2018-06-12T00:00:00.000000,104581.613513549,5.1e-05,5.4e-05,5.4e-05,5e-05,26
2018-06-13T00:00:00.000000,72203.631087599,5.3e-05,5.1e-05,5.3e-05,5.1e-05,20
2018-06-14T00:00:00.000000,421345.533261997,5e-05,5.1e-05,5.3e-05,4.3e-05,76
2018-06-15T00:00:00.000000,551850.114404323,5.1e-05,5.1e-05,5.5e-05,5.1e-05,147
2018-06-16T00:00:00.000000,110314.06059,5.2e-05,5.1e-05,5.2e-05,5e-05,26
2018-06-17T00:00:00.000000,214390.62096328,5.2e-05,4.9e-05,5.2e-05,4.8e-05,45
2018-06-18T00:00:00.000000,158651.0383,4.8e-05,4.9e-05,5e-05,4.6e-05,68
2018-06-19T00:00:00.000000,615303.188696508,4.8e-05,4.9e-05,5e-05,4.5e-05,64
2018-06-20T00:00:00.000000,224344.656,4.7e-05,4.8e-05,5e-05,4.6e-05,34
2018-06-21T00:00:00.000000,94203.29170986,4.7e-05,4.6e-05,4.8e-05,4.5e-05,38
2018-06-22T00:00:00.000000,606190.127940047,4.4e-05,5.6e-05,5.8e-05,4.4e-05,108
2018-06-23T00:00:00.000000,440615.627224608,5.6e-05,5.1e-05,5.7e-05,5e-05,119
2018-06-24T00:00:00.000000,269891.840979999,5e-05,4.2e-05,5e-05,4.2e-05,18
