time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-07-28T00:00:00.000000,886910.4,0.0253,0.0257,0.0261,0.0244,112
2018-07-29T00:00:00.000000,195413.64,0.0253,0.026,0.0275,0.025,71
2018-07-30T00:00:00.000000,341598.41,0.0258,0.0256,0.0258,0.0249,66
2018-07-31T00:00:00.000000,112659.57,0.0252,0.0248,0.0254,0.0233,50
2018-08-01T00:00:00.000000,197741.6,0.0245,0.0235,0.0245,0.0227,67
2018-08-02T00:00:00.000000,302241.95,0.0231,0.0226,0.0231,0.022,64
2018-08-03T00:00:00.000000,303662.76,0.0224,0.0217,0.0232,0.021,78
2018-08-04T00:00:00.000000,484884.63,0.0216,0.0222,0.0227,0.0206,123
2018-08-05T00:00:00.000000,656739.22,0.0226,0.0212,0.0229,0.0212,80
2018-08-06T00:00:00.000000,390173.99,0.0213,0.0219,0.022,0.021,79
2018-08-07T00:00:00.000000,145023.03,0.022,0.0208,0.0243,0.0205,90
2018-08-08T00:00:00.000000,319244.2,0.0211,0.0203,0.0219,0.0203,74
2018-08-09T00:00:00.000000,732888.81,0.0201,0.0187,0.0201,0.0184,115
2018-08-10T00:00:00.000000,159677.76,0.0183,0.02,0.02,0.0183,43
2018-08-11T00:00:00.000000,540039.94,0.0198,0.0177,0.02,0.0175,109
2018-08-12T00:00:00.000000,760070.68,0.0173,0.0163,0.0174,0.0161,84
