time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-12-29T00:00:00.000000,335.2724,2.26,2.165,2.26,2.1628,6
2017-12-30T00:00:00.000000,31084.1914,2.25,2.384,2.4,2.1532,249
2017-12-31T00:00:00.000000,34529.0946,2.384,2.1689,2.3986,1.946,307
2018-01-01T00:00:00.000000,35991.37,2.1689,2.5553,2.5553,2.041,391
2018-01-02T00:00:00.000000,50335.0709,2.51,3.052,3.0795,2.4024,560
2018-01-03T00:00:00.000000,55190.0847,3.052,3.369,3.6487,2.9014,654
2018-01-04T00:00:00.000000,27614.8909,3.076,3.5456,3.5456,2.958,305
2018-01-05T00:00:00.000000,5526.5883,3.5092,3.29,3.527,3.1,110
2018-01-09T00:00:00.000000,34999.1594,5.074,4.4,5.2003,3.5,452
2018-01-10T00:00:00.000000,24577.2269,4.54,5.6967,5.6967,4.3101,386
2018-01-11T00:00:00.000000,20024.8243,5.1674,4.934,5.4496,4.3138,320
2018-01-12T00:00:00.000000,21666.0014,4.358,4.1224,4.779,3.905,341
2018-01-13T00:00:00.000000,12974.0861,4.3724,4.6105,5.1547,4.188,200
2018-01-14T00:00:00.000000,17829.0588,4.5,4.564,4.7686,4.2,252
2018-01-15T00:00:00.000000,32303.0269,4.4801,4.1055,4.5926,3.3201,430
2018-01-16T00:00:00.000000,39060.5523,4.1,4.7016,5.2,3.714,613
2018-01-17T00:00:00.000000,46195.3118,4.7016,3.136,4.7016,2.8001,668
2018-01-18T00:00:00.000000,53394.9276,3.125,3.144,3.3506,2.3,754
2018-01-19T00:00:00.000000,48539.1869,3.1967,3.1444,3.3926,2.653,769
2018-01-20T00:00:00.000000,31168.5784,3.1183,3.9426,4.2909,2.76,514
2018-01-21T00:00:00.000000,31335.1128,3.9429,4.426,4.7,3.942,521
2018-01-22T00:00:00.000000,30321.9643,4.4264,3.4792,4.4264,3.4313,419
2018-01-23T00:00:00.000000,19624.1743,3.4793,3.4011,4.12,3.1,425
2018-01-24T00:00:00.000000,16424.2075,3.4454,3.3,3.5977,3.0,331
2018-01-25T00:00:00.000000,17788.1033,3.3,3.382,3.6006,3.201,354
2018-01-26T00:00:00.000000,31068.0994,3.4,3.544,3.8,3.32,525
2018-01-27T00:00:00.000000,28482.1572,3.482,3.7,3.763,3.15,417
2018-01-28T00:00:00.000000,20599.5365,3.7396,3.815,4.1,3.6,396
2018-01-29T00:00:00.000000,18870.6874,3.8233,3.911,4.189,3.7287,324
2018-01-30T00:00:00.000000,16390.2696,3.9999,3.8996,4.131,3.6812,326
2018-01-31T00:00:00.000000,30228.9958,3.9957,3.703,4.2538,3.328,516
2018-02-01T00:00:00.000000,29357.2016,3.5901,4.098,4.487,3.4032,534
2018-02-02T00:00:00.000000,38939.1992,4.1771,3.656,4.44,3.4,646
2018-02-03T00:00:00.000000,718.814,3.6074,3.374,3.6074,3.2625,34
2018-02-04T00:00:00.000000,35927.711,3.4469,3.83,3.9077,3.1048,520
2018-02-05T00:00:00.000000,22153.8552,3.843,3.323,4.049,3.23,443
2018-02-06T00:00:00.000000,32467.321,3.342,2.55,3.4175,2.45,656
2018-02-07T00:00:00.000000,35868.205,2.7343,3.0224,3.1888,2.1,546
2018-02-08T00:00:00.000000,26061.5153,3.0168,2.8294,3.3548,2.66,522
2018-02-09T00:00:00.000000,19150.9701,2.8974,3.1694,3.352,2.8974,301
2018-02-10T00:00:00.000000,20480.135,3.057,3.313,3.395,2.932,399
2018-02-11T00:00:00.000000,51878.6901,3.3018,3.1568,3.5877,2.982,749
2018-02-12T00:00:00.000000,33120.608,3.16,2.8158,3.16,2.8099,561
2018-02-13T00:00:00.000000,37700.1903,2.8158,2.9022,3.06,2.7987,577
2018-02-14T00:00:00.000000,49121.0191,2.9022,2.6332,2.915,2.583,648
2018-02-15T00:00:00.000000,42291.1003,2.638,2.6761,2.815,2.632,507
2018-02-16T00:00:00.000000,77570.8649,2.7,2.727,2.7614,2.5012,932
2018-02-17T00:00:00.000000,34476.2729,2.727,2.885,2.981,2.688,437
2018-02-18T00:00:00.000000,28313.3101,2.8865,2.93,2.9309,2.7152,268
2018-02-19T00:00:00.000000,33898.6405,2.93,2.5727,2.9379,2.5727,433
2018-02-20T00:00:00.000000,33893.2639,2.5727,2.6244,2.6795,2.56,465
2018-02-21T00:00:00.000000,90786.7969,2.6319,2.27,2.7007,2.27,1170
2018-02-22T00:00:00.000000,62958.8947,2.3185,2.165,2.5654,2.108,845
2018-02-23T00:00:00.000000,23360.0315,2.194,2.078,2.344,2.045,309
2018-02-24T00:00:00.000000,12308.6819,2.0479,2.171,2.212,2.0,165
2018-02-25T00:00:00.000000,34304.7605,2.1599,1.926,2.2257,1.9259,387
2018-02-26T00:00:00.000000,19289.9868,1.9858,1.9036,2.0045,1.9,171
2018-02-27T00:00:00.000000,21917.2994,1.962,2.0367,2.095,1.8882,217
2018-02-28T00:00:00.000000,25046.0201,2.001,2.029,2.04,1.9012,244
2018-03-01T00:00:00.000000,50653.5351,1.9855,1.76,2.0744,1.75,497
2018-03-02T00:00:00.000000,14027.3031,1.76,1.926,1.994,1.7177,147
2018-03-03T00:00:00.000000,13964.6708,1.9492,1.8499,1.994,1.752,138
2018-03-04T00:00:00.000000,17165.4002,1.7848,1.81,1.8511,1.76,195
2018-03-05T00:00:00.000000,15174.9687,1.81,1.8229,1.8605,1.762,194
2018-03-06T00:00:00.000000,66416.5213,1.8438,2.017,2.1987,1.812,525
2018-03-07T00:00:00.000000,47672.9443,2.017,1.787,2.1373,1.742,405
2018-03-08T00:00:00.000000,49675.2103,1.7422,1.5236,2.0,1.4119,562
2018-03-09T00:00:00.000000,47891.8121,1.4763,1.37,1.71,1.37,426
2018-03-10T00:00:00.000000,34796.7938,1.37,1.2935,1.3779,1.0688,301
2018-03-11T00:00:00.000000,18533.5998,1.32,1.2921,1.3719,1.1,203
2018-03-12T00:00:00.000000,12024.6894,1.1684,1.3339,1.337,1.1008,122
2018-03-13T00:00:00.000000,13952.6252,1.3,1.2403,1.3801,1.2403,142
2018-03-14T00:00:00.000000,15187.606,1.2588,1.2784,1.423,1.2422,163
2018-03-15T00:00:00.000000,11783.3926,1.2888,1.1361,1.3427,1.1361,120
2018-03-16T00:00:00.000000,28762.0858,1.1334,1.1004,1.2818,1.0019,231
2018-03-17T00:00:00.000000,6930.5015,1.0948,1.123,1.1846,1.075,78
2018-03-18T00:00:00.000000,26831.0072,1.112,1.0222,1.127,1.0222,131
2018-03-19T00:00:00.000000,32137.5791,1.0222,0.9204,1.0411,0.7774,254
2018-03-20T00:00:00.000000,34289.2425,0.9741,1.151,1.152,0.9225,246
2018-03-21T00:00:00.000000,32469.4509,1.1509,1.2519,1.358,1.128,279
2018-03-22T00:00:00.000000,55132.598,1.2531,1.331,1.6154,1.253,432
2018-03-23T00:00:00.000000,32496.6118,1.3311,1.2981,1.4384,1.2464,274
2018-03-24T00:00:00.000000,43120.322,1.3004,1.3274,1.3274,1.1558,287
2018-03-25T00:00:00.000000,40036.0596,1.3868,1.4197,1.5388,1.2345,329
2018-03-26T00:00:00.000000,18348.2331,1.3981,1.38,1.4861,1.37,186
2018-03-27T00:00:00.000000,44380.1726,1.4225,1.2383,1.423,1.1612,354
2018-03-28T00:00:00.000000,26757.748,1.246,1.1819,1.3035,1.15,184
2018-03-29T00:00:00.000000,26072.5128,1.1819,1.1984,1.2868,1.158,164
2018-03-30T00:00:00.000000,64722.1972,1.192,0.99,1.2582,0.99,487
2018-03-31T00:00:00.000000,45655.334,0.99,1.0385,1.1645,0.9401,308
2018-04-01T00:00:00.000000,28323.292,1.048,1.04,1.1448,0.9939,183
2018-04-02T00:00:00.000000,46874.47,1.0558,0.9288,1.0558,0.9,271
2018-04-03T00:00:00.000000,22099.471,0.9279,0.9969,0.9997,0.9252,105
2018-04-04T00:00:00.000000,15988.988,0.9997,1.05,1.05,0.9609,106
2018-04-05T00:00:00.000000,23954.308,1.0357,0.9,1.043,0.9,137
2018-04-06T00:00:00.000000,35794.835,0.9006,0.8904,0.9661,0.8593,208
2018-04-07T00:00:00.000000,21494.472,0.9113,0.8609,0.9113,0.8593,116
2018-04-08T00:00:00.000000,44201.608,0.8833,0.9777,1.0,0.8779,263
2018-04-09T00:00:00.000000,36020.09,0.9766,1.02,1.062,0.9614,168
2018-04-10T00:00:00.000000,114154.818,1.0187,0.986,1.141,0.9473,553
