time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-07-15T00:00:00.000000,790695.685,0.8593,0.8778,0.892,0.856,2756
2018-07-16T00:00:00.000000,943406.179,0.8738,0.8974,0.907,0.8558,3640
2018-07-17T00:00:00.000000,1198457.304,0.8988,0.9635,0.9644,0.8847,4092
2018-07-18T00:00:00.000000,1256703.004,0.9632,1.0078,1.0422,0.9359,4429
2018-07-19T00:00:00.000000,1217045.857,1.0079,1.0346,1.0931,1.0032,4779
2018-07-20T00:00:00.000000,1153439.684,1.033,1.0576,1.0977,1.0275,4481
2018-07-21T00:00:00.000000,1281830.744,1.0562,0.9321,1.0609,0.9117,4539
2018-07-22T00:00:00.000000,1104709.74,0.9312,0.9369,0.9643,0.9168,3729
2018-07-23T00:00:00.000000,1203912.698,0.9373,0.9279,0.9641,0.9146,4539
2018-07-24T00:00:00.000000,1197672.689,0.9301,0.9147,0.9846,0.8919,4903
2018-07-25T00:00:00.000000,1130286.658,0.9154,0.9181,0.9341,0.9031,4152
2018-07-26T00:00:00.000000,1186988.709,0.9195,0.9188,1.0213,0.9,4666
2018-07-27T00:00:00.000000,1090633.017,0.9217,0.8985,0.9558,0.8887,3868
2018-07-28T00:00:00.000000,1037563.796,0.8982,0.9077,0.9193,0.8795,3684
2018-07-29T00:00:00.000000,1093765.449,0.9075,0.9109,0.9181,0.8952,3687
2018-07-30T00:00:00.000000,1041239.087,0.9094,0.8977,0.9192,0.8767,3670
2018-07-31T00:00:00.000000,1159698.166,0.8971,0.8589,0.9024,0.838,3838
2018-08-01T00:00:00.000000,1102940.069,0.8583,0.7974,0.868,0.7847,3781
2018-08-02T00:00:00.000000,1042323.784,0.797,0.7473,0.7984,0.7325,3619
2018-08-03T00:00:00.000000,1223632.13,0.7472,0.7082,0.7625,0.7001,3796
2018-08-04T00:00:00.000000,1186684.954,0.7067,0.7066,0.7188,0.6627,3997
2018-08-05T00:00:00.000000,1043374.307,0.7061,0.6739,0.71,0.6713,3660
2018-08-06T00:00:00.000000,1079895.07,0.6764,0.6914,0.6936,0.6696,3652
2018-08-07T00:00:00.000000,1066178.742,0.691,0.6678,0.6999,0.6515,3747
2018-08-08T00:00:00.000000,1138232.085,0.6691,0.6319,0.6833,0.6288,4082
2018-08-09T00:00:00.000000,1180432.32962919,0.6295,0.5487,0.6347,0.5302,4308
2018-08-10T00:00:00.000000,1132246.168,0.5478,0.5671,0.5777,0.5355,4018
2018-08-11T00:00:00.000000,1140388.142,0.566,0.5325,0.5734,0.5237,3725
2018-08-12T00:00:00.000000,357087.956,0.5322,0.4836,0.5329,0.4786,1332
