time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-02-23T00:00:00.000000,257.0,0.018,0.017,0.0181,0.0162,43
2018-02-24T00:00:00.000000,200.6,0.0161,0.0165,0.0174,0.0161,49
2018-02-25T00:00:00.000000,177.3,0.017,0.0161,0.0174,0.0158,71
2018-02-26T00:00:00.000000,830.6,0.0159,0.0162,0.0172,0.0152,197
2018-02-27T00:00:00.000000,126.2,0.0163,0.0166,0.0174,0.0151,54
2018-02-28T00:00:00.000000,171.6,0.0162,0.0162,0.0169,0.0157,118
2018-03-01T00:00:00.000000,661.4,0.0159,0.0182,0.0218,0.0159,275
2018-03-02T00:00:00.000000,1029.0,0.0191,0.0181,0.0217,0.0169,213
2018-03-03T00:00:00.000000,11.0,0.0178,0.0184,0.0184,0.0169,18
2018-03-04T00:00:00.000000,484.4,0.018,0.0199,0.0214,0.0171,133
2018-03-05T00:00:00.000000,87.0,0.0202,0.0189,0.0202,0.0184,37
2018-03-06T00:00:00.000000,304.8,0.0183,0.0187,0.0197,0.0175,105
2018-03-07T00:00:00.000000,582.6,0.0187,0.0184,0.0222,0.0173,153
2018-03-08T00:00:00.000000,619.9,0.0187,0.017,0.024,0.0161,132
2018-03-09T00:00:00.000000,120.8,0.0172,0.0168,0.0184,0.016,68
2018-03-10T00:00:00.000000,345.9,0.0168,0.0163,0.0168,0.014,126
2018-03-11T00:00:00.000000,148.7,0.0163,0.0167,0.0173,0.0159,28
2018-03-12T00:00:00.000000,217.8,0.0167,0.0177,0.018,0.0152,58
2018-03-13T00:00:00.000000,84.1,0.0182,0.017,0.0183,0.0161,41
2018-03-14T00:00:00.000000,22.3,0.0172,0.0176,0.0178,0.0162,24
2018-03-15T00:00:00.000000,32.2,0.0163,0.0162,0.017,0.0161,26
2018-03-16T00:00:00.000000,23.0,0.0157,0.0178,0.0178,0.0152,12
2018-03-17T00:00:00.000000,121.6,0.0165,0.0165,0.0179,0.016,32
2018-03-18T00:00:00.000000,42.3,0.0164,0.0159,0.0165,0.0152,33
2018-03-19T00:00:00.000000,405.0,0.0159,0.0159,0.016,0.0138,99
2018-03-20T00:00:00.000000,452.4,0.0158,0.0158,0.0169,0.0153,79
2018-03-21T00:00:00.000000,121.1,0.0166,0.0171,0.0171,0.0162,26
2018-03-22T00:00:00.000000,119.8,0.017,0.0174,0.0176,0.016,35
2018-03-23T00:00:00.000000,36.1,0.0173,0.0173,0.0182,0.0166,20
2018-03-24T00:00:00.000000,395.4,0.0173,0.0217,0.0229,0.0162,121
2018-03-25T00:00:00.000000,712.6,0.0229,0.0208,0.0249,0.0202,218
2018-03-26T00:00:00.000000,294.9,0.0216,0.0226,0.0249,0.02,94
2018-03-27T00:00:00.000000,186.5,0.0233,0.023,0.0237,0.0211,56
2018-03-28T00:00:00.000000,15.6,0.0228,0.0232,0.0232,0.022,15
2018-03-29T00:00:00.000000,34.1,0.0221,0.0219,0.0221,0.0211,11
2018-03-30T00:00:00.000000,210.9,0.0207,0.0207,0.0211,0.0199,32
2018-03-31T00:00:00.000000,501.4,0.0205,0.0201,0.0233,0.0196,49
2018-04-01T00:00:00.000000,22.2,0.0194,0.0211,0.0211,0.0194,20
2018-04-02T00:00:00.000000,876.0,0.0211,0.0194,0.0249,0.0124,88
2018-04-03T00:00:00.000000,110.3,0.0195,0.0198,0.0198,0.0191,20
2018-04-04T00:00:00.000000,148.5,0.0209,0.02,0.0209,0.0194,22
2018-04-05T00:00:00.000000,118.5,0.0193,0.0191,0.0198,0.0162,35
