time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-09-22T00:00:00.000000,2975.59690279,9.26389257,8.0729789,9.30671987,7.54979411,592
2017-09-23T00:00:00.000000,2533.24775366,7.77884874,8.64036081,8.83245143,7.77884874,551
2017-09-24T00:00:00.000000,2636.65744069,8.64036081,9.03267579,9.34188022,8.41244985,420
2017-09-25T00:00:00.000000,2851.96005174,9.0131675,8.56599648,9.0131675,8.38235163,591
2017-09-26T00:00:00.000000,4554.53256902,8.591709,10.0691441,10.31727586,8.5,1140
2017-09-27T00:00:00.000000,3160.08370981,10.06414406,9.7971936,10.2010477,9.69252419,636
2017-09-28T00:00:00.000000,2720.26941814,9.7971936,10.4230261,10.5349077,9.79421409,555
2017-09-29T00:00:00.000000,3769.95486538,10.42560751,10.4653549,11.58291189,10.19450649,1029
2017-09-30T00:00:00.000000,5386.79302617,10.4653549,9.710138,10.55873786,9.05969322,1533
2017-10-01T00:00:00.000000,2955.47710495,9.74755912,10.09376262,10.27096529,9.7165103,442
2017-10-02T00:00:00.000000,3366.56807369,10.07361539,9.7988899,10.17568359,9.49538973,609
2017-10-03T00:00:00.000000,5309.86506753,9.7988899,9.11800102,9.87134352,8.9,956
2017-10-04T00:00:00.000000,5213.23183956,9.11800102,9.1078785,9.20763058,8.43889218,1015
2017-10-05T00:00:00.000000,2782.67295037,9.06245296,8.6066509,9.14227056,8.52088868,432
2017-10-06T00:00:00.000000,3168.92780749,8.6066509,8.7400415,8.91159047,8.24,433
2017-10-07T00:00:00.000000,4393.35994018,8.7400415,8.6166649,8.78090773,8.52088868,525
2017-10-08T00:00:00.000000,3913.0634892,8.6166649,8.34894881,8.64918131,8.12367776,453
2017-10-09T00:00:00.000000,4795.68707059,8.36732015,7.84364484,8.48053128,7.73213056,800
2017-10-10T00:00:00.000000,5089.72862909,7.8225255,7.55324596,8.12169166,7.01638589,1205
2017-10-11T00:00:00.000000,4350.29031709,7.5706441,8.1687725,8.48110346,7.36113198,691
2017-10-12T00:00:00.000000,4005.31831285,8.1687725,9.2556535,10.0,8.1687725,1016
2017-10-13T00:00:00.000000,4127.38327694,9.2556535,8.21196331,9.44039719,8.21196331,842
2017-10-14T00:00:00.000000,3954.87234645,8.2317011,8.33985146,8.70763292,8.0,919
2017-10-15T00:00:00.000000,2861.51288971,8.34888501,8.0377453,8.4,8.01,377
2017-10-16T00:00:00.000000,3428.16177061,8.0377453,7.9735014,8.28673449,7.66507274,549
2017-10-17T00:00:00.000000,4062.41522552,8.00691978,7.9027396,8.04272474,7.65337291,362
2017-10-18T00:00:00.000000,3261.28830298,7.93428735,8.0370349,8.26596139,7.68248855,500
2017-10-19T00:00:00.000000,4947.10422606,8.0370349,7.95367065,8.34888501,7.65173814,645
2017-10-20T00:00:00.000000,5189.94727388,8.00460906,7.8156492,8.17101706,7.7486007,501
2017-10-21T00:00:00.000000,4189.56321562,7.8156492,7.3514887,7.86879531,7.31994526,424
2017-10-22T00:00:00.000000,4684.42512587,7.3514887,7.27565369,7.42821064,6.97133912,591
2017-10-23T00:00:00.000000,4716.19011231,7.290234,7.74010722,7.92342763,7.290234,866
2017-10-24T00:00:00.000000,4338.55890443,7.7472566,7.65738034,7.7626175,7.0,565
2017-10-25T00:00:00.000000,4364.34017458,7.6391489,8.06376761,8.92964045,7.62387524,1261
2017-10-26T00:00:00.000000,4069.14535594,8.0477733,7.63980734,8.13982966,7.62529881,580
2017-10-27T00:00:00.000000,3982.95547768,7.63980734,7.63302685,7.80590005,7.45627131,411
2017-10-28T00:00:00.000000,3488.21291143,7.6532213,7.40076557,8.07933574,7.35619299,529
2017-10-29T00:00:00.000000,3535.17695557,7.45525134,7.20424365,7.51965147,7.1293736,373
2017-10-30T00:00:00.000000,4302.61723724,7.2338416,7.2861566,7.45608849,7.1293736,400
2017-10-31T00:00:00.000000,4241.41035557,7.2861566,7.18381,7.74779161,7.15086084,326
2017-11-01T00:00:00.000000,4311.44330432,7.18381,6.89675605,7.27970595,6.89675605,487
2017-11-02T00:00:00.000000,5524.31512489,6.89675605,6.1635735,6.97826028,6.1397442,863
2017-11-03T00:00:00.000000,4637.03288577,6.1397442,6.28516085,6.67231951,5.69770198,1426
2017-11-04T00:00:00.000000,5549.91323293,6.2843362,6.7492639,6.8020654,6.23218572,902
