time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-02-01T00:00:00.000000,1493.743,14.51,15.86,16.28,14.44,283
2018-02-02T00:00:00.000000,4016.262,16.05,14.03,16.08,13.02,406
2018-02-03T00:00:00.000000,185.401,13.39,13.17,13.39,12.68,36
2018-02-04T00:00:00.000000,1426.305,13.22,13.74,14.22,11.91,173
2018-02-05T00:00:00.000000,2524.832,13.96,11.59,14.07,11.2,197
2018-02-06T00:00:00.000000,3924.73,11.68,9.41,12.43,8.35,304
2018-02-07T00:00:00.000000,2965.254,9.17,11.07,11.45,7.34,284
2018-02-08T00:00:00.000000,2213.933,11.33,10.64,12.42,10.09,244
2018-02-09T00:00:00.000000,830.411,11.0,12.11,12.29,11.0,95
2018-02-10T00:00:00.000000,1870.187,12.11,13.18,13.19,11.37,179
2018-02-11T00:00:00.000000,1072.169,13.07,12.27,13.59,11.53,181
2018-02-12T00:00:00.000000,1383.398,12.27,11.81,12.6,10.96,172
2018-02-13T00:00:00.000000,553.839,11.8,12.77,12.77,11.79,75
2018-02-14T00:00:00.000000,2286.258,12.5,13.08,13.26,12.0,122
2018-02-15T00:00:00.000000,2686.098,13.08,15.46,15.5,12.94,289
2018-02-16T00:00:00.000000,1812.173,15.44,16.79,16.79,14.42,266
2018-02-17T00:00:00.000000,3486.214,16.8,18.25,18.25,15.53,347
2018-02-18T00:00:00.000000,4136.695,17.98,18.24,18.6,17.53,357
2018-02-19T00:00:00.000000,3817.687,18.01,16.26,18.25,16.06,309
2018-02-20T00:00:00.000000,2817.525,16.26,17.54,18.36,16.02,228
2018-02-21T00:00:00.000000,4419.439,17.78,18.0,19.96,17.4,395
2018-02-22T00:00:00.000000,3967.319,18.0,17.01,19.07,16.56,282
2018-02-23T00:00:00.000000,2214.727,17.5,16.3,18.52,15.53,174
2018-02-24T00:00:00.000000,3401.94,16.13,17.16,18.0,15.32,179
2018-02-25T00:00:00.000000,2778.952,17.63,16.4,18.19,16.05,147
2018-02-26T00:00:00.000000,2514.569,16.41,16.48,17.11,15.96,173
2018-02-27T00:00:00.000000,1201.629,16.81,18.06,18.06,16.0,102
2018-02-28T00:00:00.000000,6220.793,17.8,20.0,20.8,17.35,413
2018-03-01T00:00:00.000000,9313.88,19.89,18.5,20.9,18.5,488
2018-03-02T00:00:00.000000,3749.337,18.43,19.18,20.0,18.4,204
2018-03-03T00:00:00.000000,8451.929,19.18,18.6,19.4,17.39,303
2018-03-04T00:00:00.000000,4290.406,18.98,17.71,18.98,17.63,150
2018-03-05T00:00:00.000000,4096.186,17.66,17.72,18.44,16.61,210
2018-03-06T00:00:00.000000,4078.693,18.17,17.16,18.17,17.16,168
2018-03-07T00:00:00.000000,2214.596,17.08,15.68,17.26,15.5,164
2018-03-08T00:00:00.000000,8269.163,15.69,14.32,16.43,13.69,372
2018-03-09T00:00:00.000000,5896.806,14.32,13.63,15.49,13.16,288
2018-03-10T00:00:00.000000,5028.226,13.47,15.0,15.09,11.66,227
2018-03-11T00:00:00.000000,5256.309,15.23,13.16,15.26,13.16,220
2018-03-12T00:00:00.000000,2509.509,13.37,14.3,15.21,12.8,191
2018-03-13T00:00:00.000000,1768.5,14.73,13.7,14.73,13.32,113
2018-03-14T00:00:00.000000,1988.532,13.64,13.78,14.15,12.99,171
2018-03-15T00:00:00.000000,2845.086,13.57,11.53,13.7,11.35,190
2018-03-16T00:00:00.000000,6906.484,11.79,11.1,12.51,10.29,288
2018-03-17T00:00:00.000000,1861.336,11.36,11.41,11.83,10.8,103
2018-03-18T00:00:00.000000,1464.111,11.3,10.01,11.38,9.43,99
2018-03-19T00:00:00.000000,3881.441,9.54,10.25,10.5,8.38,219
2018-03-20T00:00:00.000000,3706.603,10.5,11.39,11.39,10.0,266
2018-03-21T00:00:00.000000,4643.24,11.49,12.0,12.69,10.46,297
2018-03-22T00:00:00.000000,2340.127,12.37,12.18,12.69,11.52,160
2018-03-23T00:00:00.000000,5435.222,12.36,11.22,12.5,10.72,260
2018-03-24T00:00:00.000000,1290.899,11.55,11.31,11.55,10.52,99
2018-03-25T00:00:00.000000,3265.714,11.56,11.21,12.14,10.72,187
2018-03-26T00:00:00.000000,3130.524,11.1,10.85,11.11,10.62,121
2018-03-27T00:00:00.000000,2617.634,10.81,10.42,10.91,9.5,173
2018-03-28T00:00:00.000000,5221.841,10.07,9.68,10.46,9.25,258
2018-03-29T00:00:00.000000,1149.142,9.66,9.63,10.24,9.55,88
2018-03-30T00:00:00.000000,5251.564,9.63,8.63,9.85,8.36,284
2018-03-31T00:00:00.000000,3865.056,8.43,8.2,8.8,8.01,254
2018-04-01T00:00:00.000000,2455.749,8.4,8.23,8.8,8.19,118
2018-04-02T00:00:00.000000,5087.662,8.25,7.69,8.35,7.48,200
2018-04-03T00:00:00.000000,6115.858,8.13,8.59,9.4,8.0,251
2018-04-04T00:00:00.000000,3733.817,8.72,9.4,9.6,8.66,144
2018-04-05T00:00:00.000000,5000.802,9.4,8.28,9.4,8.17,130
2018-04-06T00:00:00.000000,10040.174,8.25,8.88,9.76,8.07,353
2018-04-07T00:00:00.000000,6581.787,8.93,9.22,9.5,8.54,288
2018-04-08T00:00:00.000000,4832.105,9.2,9.57,9.66,9.09,136
2018-04-09T00:00:00.000000,1489.17,9.4,9.6,9.6,9.18,89
2018-04-10T00:00:00.000000,3957.668,9.59,9.09,9.8,8.91,159
2018-04-11T00:00:00.000000,1030.019,9.05,9.17,9.32,8.9,68
2018-04-12T00:00:00.000000,3147.562,9.19,9.78,9.78,9.13,184
2018-04-13T00:00:00.000000,17346.958,9.78,11.97,12.49,9.22,892
2018-04-14T00:00:00.000000,21724.581,12.11,12.73,16.07,11.75,1470
2018-04-15T00:00:00.000000,7387.85,12.63,13.83,14.18,12.63,428
2018-04-16T00:00:00.000000,3636.19,13.9,14.25,14.47,13.88,263
2018-04-17T00:00:00.000000,10674.389,14.04,15.37,15.73,13.0,681
2018-04-18T00:00:00.000000,10342.604,15.1,14.26,15.79,14.24,675
2018-04-19T00:00:00.000000,17283.156,14.44,15.13,15.3,14.26,883
2018-04-20T00:00:00.000000,19892.203,15.12,15.51,16.0,14.8,1028
2018-04-24T00:00:00.000000,6526.26,15.51,15.75,15.9,15.05,341
2018-04-25T00:00:00.000000,21418.526,15.75,18.0,18.64,15.55,1186
2018-04-26T00:00:00.000000,22390.114,18.01,15.35,18.03,14.77,993
2018-04-27T00:00:00.000000,65989.072,15.35,18.3,21.3,15.08,2588
2018-04-28T00:00:00.000000,22654.67,18.27,17.24,18.85,17.24,1379
2018-04-29T00:00:00.000000,22240.741,17.23,18.18,19.27,17.19,865
2018-04-30T00:00:00.000000,18627.459,18.36,18.23,18.67,17.07,1032
2018-05-01T00:00:00.000000,9847.398,18.23,16.91,18.23,16.83,520
2018-05-02T00:00:00.000000,5889.315,16.89,17.07,17.31,16.02,392
2018-05-03T00:00:00.000000,5511.672,17.08,17.4,17.4,16.39,358
2018-05-04T00:00:00.000000,17655.906,17.12,18.26,19.2,17.01,1242
2018-05-05T00:00:00.000000,7635.092,18.25,17.84,18.47,17.21,484
2018-05-06T00:00:00.000000,13918.076,18.0,17.5,18.12,17.05,587
2018-05-07T00:00:00.000000,15993.611,17.5,16.79,17.79,16.39,584
2018-05-08T00:00:00.000000,5800.736,16.92,16.47,17.0,15.59,423
2018-05-09T00:00:00.000000,4948.401,16.56,16.13,17.0,15.83,304
2018-05-10T00:00:00.000000,3950.135,15.9,16.21,16.55,15.29,298
2018-05-11T00:00:00.000000,5547.295,16.21,15.43,16.62,15.43,358
2018-05-12T00:00:00.000000,10479.084,15.31,13.31,15.31,13.02,784
2018-05-13T00:00:00.000000,7275.708,13.32,13.6,14.0,12.17,536
2018-05-14T00:00:00.000000,4586.603,13.63,14.06,14.63,13.35,271
