time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-06-01T00:00:00.000000,1447.75,6e-05,6.8e-05,6.8e-05,6e-05,124
2017-06-02T00:00:00.000000,1122.982,6.8e-05,7.5e-05,7.5e-05,6.5e-05,65
2017-06-03T00:00:00.000000,5009.036,7.3e-05,8.5e-05,8.5e-05,7e-05,77
2017-06-04T00:00:00.000000,7132.06,8.5e-05,0.00011,0.00011,7.4e-05,56
2017-06-05T00:00:00.000000,8201.692,0.00011,0.00021,0.00021,9.8e-05,113
2017-06-06T00:00:00.000000,7356.769,0.00021,0.000249,0.00025,0.000208,108
2017-06-07T00:00:00.000000,4543.998,0.000249,0.00025,0.00025,0.000211,59
2017-06-08T00:00:00.000000,14883.363,0.00025,0.0003,0.0003,0.00012,92
2017-06-09T00:00:00.000000,13630.764,0.0003,0.00032,0.00032,0.00025,142
2017-06-10T00:00:00.000000,26240.867,0.00032,0.0005,0.0005,0.000319,234
2017-06-11T00:00:00.000000,8957.941,0.0005,0.00055,0.00055,0.000451,167
2017-06-12T00:00:00.000000,4527.261,0.000549,0.000547,0.000549,0.000491,135
2017-06-13T00:00:00.000000,19456.126,0.000548,0.000558,0.000559,0.000452,106
2017-06-14T00:00:00.000000,17414.48,0.000558,0.000454,0.00059,0.000454,192
2017-06-15T00:00:00.000000,198778.376,0.000454,9.1e-05,0.00062,5e-05,1204
2017-06-16T00:00:00.000000,218763.338,8.8e-05,9.7e-05,0.000199,6.4e-05,1371
2017-06-17T00:00:00.000000,146570.141,9.7e-05,7.1e-05,0.00012,5.8e-05,756
2017-06-18T00:00:00.000000,73662.054,7.1e-05,6.1e-05,9.1e-05,6e-05,339
2017-06-19T00:00:00.000000,98359.876,6.2e-05,0.000106,0.00015,2.2e-05,571
2017-06-20T00:00:00.000000,194449.799,0.0001,0.000177,0.00025,8.3e-05,1049
2017-06-21T00:00:00.000000,41746.296,0.000162,0.000137,0.000198,0.000116,774
2017-06-22T00:00:00.000000,26082.212,0.000145,0.000133,0.00016,0.000125,150
2017-06-23T00:00:00.000000,20315.602,0.000142,0.000108,0.000142,0.0001,184
2017-06-24T00:00:00.000000,23653.43,0.000108,0.000125,0.000129,0.000101,173
2017-06-25T00:00:00.000000,4904.47,0.000123,0.000121,0.000125,0.0001,50
2017-06-26T00:00:00.000000,9941.806,0.00011,9.2e-05,0.00012,9.2e-05,154
2017-06-27T00:00:00.000000,18251.418,9.2e-05,7.8e-05,0.000109,7.4e-05,206
2017-06-28T00:00:00.000000,5432.111,9.2e-05,8.2e-05,9.3e-05,7.2e-05,91
2017-06-29T00:00:00.000000,4465.685,8.2e-05,7.6e-05,8.9e-05,7.3e-05,84
2017-06-30T00:00:00.000000,7209.613,7.6e-05,6.1e-05,8.6e-05,6e-05,78
2017-07-01T00:00:00.000000,5330.945,7.3e-05,6.9e-05,7.3e-05,6.1e-05,50
2017-07-02T00:00:00.000000,14088.121,6.9e-05,8.3e-05,8.5e-05,6e-05,116
2017-07-03T00:00:00.000000,21698.42,7.1e-05,0.000101,0.000119,6.2e-05,202
2017-07-04T00:00:00.000000,7888.207,0.00011,0.000101,0.000115,8.7e-05,134
2017-07-05T00:00:00.000000,8762.181,9.8e-05,8.6e-05,0.000102,7e-05,88
2017-07-06T00:00:00.000000,3860.93,8.3e-05,8.3e-05,9.8e-05,7.4e-05,108
2017-07-07T00:00:00.000000,1931.857,8.7e-05,9.3e-05,0.0001,7.6e-05,67
2017-07-08T00:00:00.000000,4461.322,8.6e-05,8.1e-05,9e-05,7.5e-05,39
2017-07-09T00:00:00.000000,3171.085,8.1e-05,7.5e-05,8.1e-05,5.1e-05,62
2017-07-10T00:00:00.000000,356.251,7.5e-05,7.1e-05,7.5e-05,6.2e-05,15
2017-07-11T00:00:00.000000,1526.044,7.1e-05,6.2e-05,7.1e-05,5.1e-05,42
2017-07-12T00:00:00.000000,2200.542,5.3e-05,5.1e-05,6.5e-05,4.8e-05,43
2017-07-13T00:00:00.000000,600.486,5.1e-05,6.6e-05,7e-05,4.5e-05,48
2017-07-14T00:00:00.000000,1095.504,6.6e-05,6.2e-05,6.7e-05,5.8e-05,18
2017-07-15T00:00:00.000000,397.202,5.5e-05,5.4e-05,6.2e-05,4.5e-05,34
2017-07-16T00:00:00.000000,708.409,5.4e-05,5e-05,5.4e-05,4.5e-05,20
2017-07-17T00:00:00.000000,2303.07,5.1e-05,4.7e-05,5.2e-05,4.1e-05,134
2017-07-18T00:00:00.000000,224.128,4.4e-05,4.7e-05,5.2e-05,4.3e-05,34
2017-07-19T00:00:00.000000,1620.852,5e-05,5.8e-05,5.8e-05,4.7e-05,39
2017-07-20T00:00:00.000000,956.407,5e-05,5.2e-05,5.7e-05,5e-05,22
2017-07-21T00:00:00.000000,4405.999,5.1e-05,6.4e-05,6.4e-05,4.9e-05,60
2017-07-22T00:00:00.000000,2172.369,6.4e-05,5.9e-05,7e-05,5.1e-05,54
2017-07-23T00:00:00.000000,4409.794,5.9e-05,5.4e-05,6.4e-05,3.2e-05,73
2017-07-24T00:00:00.000000,5383.099,6.5e-05,6.7e-05,7.4e-05,5.1e-05,74
2017-07-25T00:00:00.000000,4680.128,7e-05,7e-05,7.7e-05,6.3e-05,41
2017-07-26T00:00:00.000000,2576.883,6.8e-05,6.6e-05,7.4e-05,5.7e-05,41
2017-07-27T00:00:00.000000,856.489,5.9e-05,5.8e-05,6.6e-05,5.2e-05,37
2017-07-28T00:00:00.000000,529.422,5.4e-05,5.7e-05,6e-05,5e-05,24
2017-07-29T00:00:00.000000,2577.818,5.2e-05,4.9e-05,5.8e-05,4.3e-05,34
2017-07-30T00:00:00.000000,330.971,4.6e-05,4.9e-05,4.9e-05,4e-05,37
2017-07-31T00:00:00.000000,346.685,4e-05,4.4e-05,6.6e-05,4e-05,29
2017-08-01T00:00:00.000000,2457.685,5.6e-05,3.3e-05,5.6e-05,3.3e-05,23
2017-08-02T00:00:00.000000,405.004,3.5e-05,5.8e-05,6e-05,3.5e-05,48
2017-08-03T00:00:00.000000,1521.377,4.6e-05,5.6e-05,6e-05,4.5e-05,64
2017-08-04T00:00:00.000000,708.497,3.8e-05,4.6e-05,5.8e-05,3.7e-05,36
2017-08-05T00:00:00.000000,15581.603,4.6e-05,7.5e-05,8.1e-05,4.2e-05,159
2017-08-06T00:00:00.000000,11335.754,7.6e-05,7.9e-05,8.1e-05,5.7e-05,89
2017-08-07T00:00:00.000000,1097.593,7e-05,7.5e-05,7.8e-05,5.9e-05,45
2017-08-08T00:00:00.000000,22741.91,7.7e-05,7.8e-05,8.1e-05,6.6e-05,134
2017-08-09T00:00:00.000000,6848.326,7.4e-05,7.5e-05,7.8e-05,6.4e-05,58
2017-08-10T00:00:00.000000,1583.947,7.5e-05,7.1e-05,7.8e-05,6.8e-05,52
2017-08-11T00:00:00.000000,3397.511,7e-05,6.4e-05,7.7e-05,6.4e-05,31
2017-08-12T00:00:00.000000,5214.391,6.6e-05,7.7e-05,8.5e-05,6.6e-05,85
2017-08-13T00:00:00.000000,9786.967,8.5e-05,9.9e-05,9.9e-05,6.6e-05,114
2017-08-14T00:00:00.000000,1499.48,9.9e-05,8e-05,0.0001,5.9e-05,86
2017-08-15T00:00:00.000000,2408.538,7.2e-05,6.8e-05,8.5e-05,5.5e-05,68
2017-08-16T00:00:00.000000,683.781,8.5e-05,7.5e-05,8.5e-05,6.7e-05,42
2017-08-17T00:00:00.000000,950.495,6.7e-05,6.9e-05,8e-05,4.4e-05,96
2017-08-18T00:00:00.000000,467.857,7e-05,8e-05,8e-05,6.4e-05,32
2017-08-19T00:00:00.000000,733.926,7.7e-05,6.7e-05,7.7e-05,6.7e-05,16
2017-08-20T00:00:00.000000,2994.819,7.8e-05,8.5e-05,8.5e-05,6.6e-05,55
2017-08-21T00:00:00.000000,466.498,8.5e-05,8.2e-05,8.9e-05,7e-05,30
2017-08-22T00:00:00.000000,3755.758,8.2e-05,7.5e-05,9.9e-05,7.3e-05,55
2017-08-23T00:00:00.000000,6814.867,7.3e-05,7.2e-05,8.5e-05,7e-05,70
2017-08-24T00:00:00.000000,2875.78,7e-05,7.4e-05,7.5e-05,6.8e-05,32
2017-08-25T00:00:00.000000,13476.55,7e-05,9.5e-05,9.5e-05,6.1e-05,114
