time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-07-30T00:00:00.000000,18343.84,0.011876,0.012466,0.012859,0.011799,831
2018-07-31T00:00:00.000000,16330.56,0.012491,0.011823,0.012662,0.011524,1011
2018-08-01T00:00:00.000000,53098.88,0.01182,0.010942,0.012101,0.010592,2186
2018-08-02T00:00:00.000000,129729.73,0.010943,0.013,0.014429,0.0108,5099
2018-08-03T00:00:00.000000,40974.79,0.012885,0.01215,0.013168,0.012011,3827
2018-08-04T00:00:00.000000,45093.74,0.012145,0.011202,0.012346,0.011089,2749
2018-08-05T00:00:00.000000,11259.55,0.011238,0.011336,0.0119,0.011098,693
2018-08-06T00:00:00.000000,5522.66,0.011439,0.011592,0.011989,0.011334,366
2018-08-07T00:00:00.000000,10348.29,0.011579,0.011316,0.01203,0.011205,568
2018-08-08T00:00:00.000000,6903.33,0.011275,0.011964,0.011984,0.011275,473
2018-08-09T00:00:00.000000,33439.73,0.011855,0.012758,0.014,0.011301,1968
2018-08-10T00:00:00.000000,29310.99,0.012642,0.012391,0.012867,0.011521,2291
2018-08-11T00:00:00.000000,19501.14,0.012495,0.012472,0.0128,0.011802,1471
2018-08-12T00:00:00.000000,5924.14,0.012472,0.013121,0.0135,0.012472,438
