time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-11-08T00:00:00.000000,1321304.09,0.1,0.101,0.155,0.0901,930
2017-11-09T00:00:00.000000,1611154.03,0.0996,0.0872,0.1032,0.0811,846
2017-11-10T00:00:00.000000,1883554.91,0.0887,0.0913,0.1,0.0864,779
2017-11-11T00:00:00.000000,1177733.71,0.0927,0.0998,0.115,0.09,657
2017-11-12T00:00:00.000000,498241.36,0.0924,0.0985,0.10379,0.0909,357
2017-11-13T00:00:00.000000,2886914.08,0.0983,0.0985,0.1066,0.0845,2545
2017-11-14T00:00:00.000000,549724.07,0.0986,0.10396,0.1082,0.0939,380
2017-11-15T00:00:00.000000,1948140.78,0.10267,0.17389,0.18552,0.10267,1223
2017-11-16T00:00:00.000000,231326.66,0.17389,0.16,0.178,0.1505,264
2017-11-17T00:00:00.000000,509109.33,0.16,0.15251,0.176,0.1458,433
2017-11-18T00:00:00.000000,279796.02,0.1554,0.17001,0.18801,0.15108,273
2017-11-19T00:00:00.000000,100965.41,0.17185,0.1828,0.1828,0.16219,205
2017-11-20T00:00:00.000000,663797.45,0.18111,0.25583,0.2648,0.17777,849
2017-11-21T00:00:00.000000,801117.28,0.25583,0.34451,0.442,0.25012,1880
2017-11-22T00:00:00.000000,235192.48,0.34451,0.40491,0.42,0.29108,746
2017-11-23T00:00:00.000000,523231.95,0.397,0.509,0.6,0.396,1591
2017-11-24T00:00:00.000000,163151.54,0.5213,0.471,0.55148,0.45905,1230
2017-11-25T00:00:00.000000,153062.18,0.47293,0.4644,0.51297,0.4509,1082
2017-11-26T00:00:00.000000,84597.59,0.464,0.42,0.46549,0.4,757
2017-11-27T00:00:00.000000,73849.68,0.42163,0.40682,0.42999,0.37999,559
2017-11-28T00:00:00.000000,120328.18,0.40885,0.3446,0.41621,0.34374,675
2017-11-29T00:00:00.000000,115221.01,0.3446,0.32607,0.38796,0.32341,407
2017-11-30T00:00:00.000000,852566.25,0.32036,0.30177,0.33635,0.27429,1102
2017-12-01T00:00:00.000000,5042756.89,0.29784,0.33311,0.37605,0.26348,3829
2017-12-02T00:00:00.000000,4943092.2,0.33309,0.33942,0.37308,0.31691,2591
2017-12-03T00:00:00.000000,4820915.33,0.33699,0.3363,0.3548,0.32485,2515
2017-12-04T00:00:00.000000,8119808.38,0.33614,0.31092,0.37247,0.3,3626
2017-12-05T00:00:00.000000,6736042.02,0.3117,0.28958,0.31449,0.2772,3532
2017-12-06T00:00:00.000000,6054524.56,0.28967,0.26069,0.28967,0.25588,3318
2017-12-07T00:00:00.000000,5021482.32,0.26023,0.23481,0.28166,0.22477,3549
2017-12-08T00:00:00.000000,5168521.33,0.23317,0.17998,0.24592,0.1785,4413
2017-12-09T00:00:00.000000,10948136.71,0.18046,0.19378,0.25428,0.17076,8733
2017-12-10T00:00:00.000000,6404476.09,0.19373,0.21992,0.269,0.1937,7093
2017-12-11T00:00:00.000000,4918828.5,0.21889,0.19808,0.23093,0.1946,4554
2017-12-12T00:00:00.000000,6267687.29,0.19852,0.19995,0.20927,0.18372,4081
2017-12-13T00:00:00.000000,4093992.59,0.19995,0.21523,0.22473,0.18981,3353
2017-12-14T00:00:00.000000,4533021.45,0.2106,0.2233,0.25,0.19778,3538
2017-12-15T00:00:00.000000,4052626.1,0.23,0.22936,0.2643,0.20543,3874
2017-12-16T00:00:00.000000,5867538.61,0.23025,0.16053,0.2355,0.149,4366
2017-12-17T00:00:00.000000,4761296.53,0.16053,0.14571,0.17788,0.14117,3473
2017-12-18T00:00:00.000000,5997212.82,0.1471,0.125,0.14889,0.10699,5780
2017-12-19T00:00:00.000000,2370416.03,0.12579,0.18,0.226,0.125,4449
2017-12-20T00:00:00.000000,438870.48,0.18,0.18521,0.2051,0.1658,2175
2017-12-21T00:00:00.000000,220493.02,0.18311,0.23007,0.239,0.16,1814
2017-12-22T00:00:00.000000,302652.8,0.23866,0.2235,0.246,0.21411,2028
2017-12-23T00:00:00.000000,256277.39,0.22469,0.19629,0.23369,0.17,1349
2017-12-24T00:00:00.000000,158250.26,0.1962,0.199,0.226,0.19199,1281
2017-12-25T00:00:00.000000,136207.59,0.199,0.176,0.21879,0.16,1367
2017-12-26T00:00:00.000000,147758.46,0.17639,0.14601,0.1776,0.05123,1379
2017-12-27T00:00:00.000000,2169894.67,0.146,0.10173,0.14901,0.082,3296
2017-12-28T00:00:00.000000,282304.07,0.10133,0.09017,0.10738,0.07884,1588
2017-12-29T00:00:00.000000,203419.42,0.08892,0.09416,0.10128,0.08643,1283
2017-12-30T00:00:00.000000,182100.79,0.09368,0.11189,0.11799,0.09368,1387
2017-12-31T00:00:00.000000,327690.4,0.1118,0.1069,0.115,0.10014,1691
2018-01-01T00:00:00.000000,261667.01,0.10611,0.11677,0.12401,0.09786,1806
2018-01-02T00:00:00.000000,3729561.65,0.11724,0.1258,0.13735,0.11247,4734
2018-01-03T00:00:00.000000,7512169.35,0.1258,0.14646,0.16123,0.125,8697
2018-01-04T00:00:00.000000,9155876.5,0.14648,0.18275,0.191,0.14001,10144
2018-01-05T00:00:00.000000,7681061.55,0.18275,0.17169,0.21895,0.16562,10581
2018-01-06T00:00:00.000000,496807.64,0.17136,0.09335,0.18478,0.07532,3963
2018-01-07T00:00:00.000000,341136.05,0.09335,0.07067,0.12225,0.06215,2123
2018-01-08T00:00:00.000000,243743.5,0.07263,0.09645,0.09999,0.06101,1670
2018-01-09T00:00:00.000000,225225.66,0.0958,0.0865,0.0988,0.0085,1132
2018-01-10T00:00:00.000000,154927.64,0.08698,0.09351,0.0988,0.0816,1339
2018-01-11T00:00:00.000000,86221.35,0.09256,0.08661,0.09702,0.08555,1050
2018-01-12T00:00:00.000000,179513.68,0.08633,0.06643,0.08679,0.05783,1510
2018-01-13T00:00:00.000000,170252.08,0.0693,0.0699,0.07787,0.05817,1776
2018-01-14T00:00:00.000000,197315.56,0.0704,0.0722,0.07683,0.06659,1862
2018-01-15T00:00:00.000000,142399.38,0.07125,0.06632,0.07126,0.06296,1245
2018-01-16T00:00:00.000000,183639.83,0.06645,0.06423,0.0695,0.0572,1570
2018-01-17T00:00:00.000000,527799.59,0.06591,0.06527,0.092,0.05671,2987
2018-01-18T00:00:00.000000,409035.05,0.06533,0.07497,0.08432,0.06032,2428
2018-01-19T00:00:00.000000,552437.1,0.0735,0.077,0.08347,0.01443,2594
