time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-12-29T00:00:00.000000,921.396,0.8504,0.8519,0.8519,0.8504,3
2017-12-30T00:00:00.000000,21220.1561,0.8695,0.9888,1.039,0.7908,170
2017-12-31T00:00:00.000000,19916.4087,0.9886,0.876,0.9886,0.7884,149
2018-01-01T00:00:00.000000,8698.9096,0.876,0.9899,0.9899,0.7857,109
2018-01-02T00:00:00.000000,35569.5659,0.9316,0.9909,1.07,0.8786,310
2018-01-03T00:00:00.000000,31251.4178,0.9949,1.2737,1.3991,0.9949,337
2018-01-04T00:00:00.000000,11866.7494,1.274,1.3158,1.447,1.2,116
2018-01-06T00:00:00.000000,615.4035,1.5084,1.3812,1.5523,1.3812,24
2018-01-07T00:00:00.000000,80362.4539,1.4209,1.6536,2.5056,1.3642,313
2018-01-08T00:00:00.000000,11988.1669,1.6601,1.751,1.86,1.658,61
2018-01-09T00:00:00.000000,38542.7289,1.7981,1.5343,1.8,1.3428,476
2018-01-10T00:00:00.000000,22578.3502,1.586,1.5211,1.7417,1.3519,201
2018-01-13T00:00:00.000000,9520.7257,1.547,1.579,1.598,1.416,66
2018-01-14T00:00:00.000000,14701.5522,1.5764,1.549,1.6149,1.3196,215
2018-01-15T00:00:00.000000,21234.9094,1.4686,1.3518,1.53,1.253,173
2018-01-16T00:00:00.000000,21381.3082,1.3518,1.265,1.4122,1.2347,203
2018-01-17T00:00:00.000000,29241.5702,1.265,0.883,1.265,0.675,458
2018-01-18T00:00:00.000000,32962.0084,0.8414,1.0696,1.43,0.6193,403
2018-01-19T00:00:00.000000,38996.3319,1.1896,1.0875,1.325,0.9028,475
2018-01-20T00:00:00.000000,14460.8859,1.1239,1.178,1.2488,0.97,262
2018-01-21T00:00:00.000000,15575.4725,1.1241,1.2701,1.3181,1.1241,206
2018-01-22T00:00:00.000000,12443.1139,1.2677,1.0204,1.31,0.976,192
2018-01-23T00:00:00.000000,6316.1731,1.0479,0.9442,1.1333,0.9,127
2018-01-24T00:00:00.000000,6925.8858,0.9922,1.0344,1.1,0.9585,132
2018-01-25T00:00:00.000000,7543.751,1.0343,1.0461,1.11,0.9858,180
2018-01-26T00:00:00.000000,6178.5485,1.06,1.05,1.1124,1.0,98
2018-01-27T00:00:00.000000,10768.1642,1.05,0.9917,1.0872,0.9351,109
2018-01-28T00:00:00.000000,12151.8194,0.984,1.0379,1.0837,0.909,116
2018-01-29T00:00:00.000000,10775.8472,1.0652,1.0718,1.156,1.0001,151
2018-01-30T00:00:00.000000,10740.7541,1.0718,1.0381,1.0963,0.9437,119
2018-01-31T00:00:00.000000,7557.5914,1.0129,0.8611,1.0129,0.85,151
2018-02-01T00:00:00.000000,18383.1675,0.8591,0.8799,0.8954,0.7485,180
2018-02-02T00:00:00.000000,3323.8102,0.8841,0.7833,0.9268,0.7301,71
2018-02-03T00:00:00.000000,2896.3077,0.6786,0.7152,0.7152,0.669,16
2018-02-04T00:00:00.000000,5766.3366,0.7153,0.73,0.7657,0.623,107
2018-02-05T00:00:00.000000,3853.4595,0.7388,0.629,0.7516,0.6027,109
2018-02-06T00:00:00.000000,12533.2598,0.6142,0.5102,0.6335,0.4516,121
2018-02-07T00:00:00.000000,28263.7363,0.4633,0.6318,0.6318,0.3873,172
2018-02-08T00:00:00.000000,22406.1557,0.6068,0.6639,0.7226,0.5404,240
2018-02-09T00:00:00.000000,6039.9102,0.6655,0.6874,0.7049,0.6557,95
2018-02-10T00:00:00.000000,6040.3196,0.68,0.7115,0.7519,0.641,145
2018-02-11T00:00:00.000000,30993.8263,0.7316,0.7506,0.9037,0.6881,262
2018-02-12T00:00:00.000000,7040.3712,0.7396,0.7,0.7549,0.6371,79
2018-02-13T00:00:00.000000,4189.5132,0.7063,0.7473,0.773,0.7063,67
2018-02-14T00:00:00.000000,8427.5692,0.7385,0.7342,0.7767,0.6958,77
2018-02-15T00:00:00.000000,3703.3674,0.7332,0.7935,0.8288,0.7332,62
2018-02-16T00:00:00.000000,3200.1957,0.7993,0.801,0.8477,0.7741,73
2018-02-17T00:00:00.000000,2908.7301,0.801,0.8475,0.8476,0.7772,38
2018-02-18T00:00:00.000000,10736.4552,0.8476,0.8312,0.8476,0.8,57
2018-02-19T00:00:00.000000,9239.9258,0.8241,0.74,0.8241,0.6802,127
2018-02-20T00:00:00.000000,1740.1238,0.7637,0.7669,0.7889,0.7371,43
2018-02-21T00:00:00.000000,2005.8993,0.7788,0.6641,0.8039,0.6641,54
2018-02-22T00:00:00.000000,6283.1851,0.6601,0.6493,0.7565,0.5928,56
2018-02-23T00:00:00.000000,7585.1691,0.6407,0.59,0.6604,0.572,54
2018-02-24T00:00:00.000000,2062.0367,0.5796,0.61,0.629,0.5456,25
2018-02-25T00:00:00.000000,1059.3869,0.6071,0.5784,0.6071,0.5564,15
2018-02-26T00:00:00.000000,5901.5017,0.5815,0.5794,0.5815,0.5592,39
2018-02-27T00:00:00.000000,1380.9052,0.5745,0.5649,0.611,0.5649,18
2018-02-28T00:00:00.000000,2876.371,0.6139,0.61,0.6579,0.5847,58
2018-03-01T00:00:00.000000,6074.3981,0.5792,0.5816,0.61,0.5505,41
2018-03-02T00:00:00.000000,6905.033,0.55,0.5672,0.6521,0.54,36
2018-03-03T00:00:00.000000,9050.1688,0.6319,0.539,0.6319,0.5324,45
2018-03-04T00:00:00.000000,2405.133,0.5737,0.6077,0.6577,0.5637,35
2018-03-05T00:00:00.000000,3911.9473,0.5953,0.59,0.6383,0.5489,52
2018-03-06T00:00:00.000000,7007.097,0.5866,0.57,0.604,0.57,38
2018-03-07T00:00:00.000000,9279.4786,0.57,0.4879,0.57,0.4879,42
2018-03-08T00:00:00.000000,10337.4806,0.53,0.4403,0.533,0.41,74
2018-03-09T00:00:00.000000,1684.299,0.416,0.4126,0.4886,0.4126,13
2018-03-10T00:00:00.000000,11911.4336,0.4126,0.3707,0.4669,0.3665,47
2018-03-11T00:00:00.000000,2091.8726,0.4295,0.4008,0.4346,0.4008,17
2018-03-12T00:00:00.000000,2896.8946,0.4346,0.43,0.4346,0.3962,18
2018-03-13T00:00:00.000000,18784.4356,0.4292,0.4124,0.458,0.4124,60
2018-03-14T00:00:00.000000,5087.8286,0.4239,0.4616,0.4616,0.4147,43
2018-03-15T00:00:00.000000,16591.0395,0.4765,0.3871,0.5399,0.387,127
2018-03-16T00:00:00.000000,10854.3771,0.387,0.3928,0.4454,0.3369,71
2018-03-17T00:00:00.000000,37525.7048,0.3924,0.4174,0.4472,0.3668,111
2018-03-18T00:00:00.000000,22018.9494,0.3725,0.3133,0.4,0.3133,65
2018-03-19T00:00:00.000000,10711.8411,0.3153,0.3259,0.3306,0.2564,41
2018-03-20T00:00:00.000000,1428.1987,0.3384,0.3544,0.3544,0.31,12
2018-03-21T00:00:00.000000,7170.9099,0.3702,0.3907,0.3907,0.3468,32
2018-03-22T00:00:00.000000,12926.2966,0.4,0.3683,0.5357,0.3674,58
2018-03-23T00:00:00.000000,17611.496,0.3949,0.3717,0.401,0.3407,87
2018-03-24T00:00:00.000000,5189.7115,0.3717,0.3499,0.3829,0.3248,41
2018-03-25T00:00:00.000000,37957.9968,0.3583,0.3729,0.4081,0.3454,97
2018-03-26T00:00:00.000000,24903.8598,0.3674,0.3667,0.3808,0.3322,61
