time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-01-24T00:00:00.000000,284916.184302927,9.557e-05,9.842e-05,0.00010048,9.478e-05,203
2018-01-25T00:00:00.000000,2781556.797357031,9.836e-05,9.392e-05,9.852e-05,9.212e-05,1809
2018-01-26T00:00:00.000000,1320160.019056622,9.438e-05,9.344e-05,9.727e-05,9.092e-05,862
2018-01-27T00:00:00.000000,2391879.002462924,9.345e-05,9.123e-05,9.398e-05,8.701e-05,1649
2018-01-28T00:00:00.000000,2389600.437495239,9.09e-05,9.3e-05,9.642e-05,8.8e-05,1649
2018-01-29T00:00:00.000000,2475810.779843737,9.28e-05,8.929e-05,9.315e-05,8.6e-05,1315
2018-01-30T00:00:00.000000,2337147.269459047,8.93e-05,8.961e-05,9.191e-05,8.5e-05,1485
2018-01-31T00:00:00.000000,58219.0,8.945e-05,8.2e-05,8.974e-05,8.2e-05,46
2018-02-01T00:00:00.000000,2560.0,8.1e-05,8e-05,8.1e-05,8e-05,14
2018-02-02T00:00:00.000000,310892.075341858,8e-05,7.81e-05,8.397e-05,7.81e-05,1571
2018-02-03T00:00:00.000000,82572.184968988,8.203e-05,6.628e-05,8.223e-05,6.628e-05,427
2018-02-04T00:00:00.000000,2152272.910527726,7.821e-05,8.093e-05,8.319e-05,7.515e-05,14207
2018-02-05T00:00:00.000000,2558037.563832201,8.084e-05,7.589e-05,8.247e-05,7e-05,15158
2018-02-06T00:00:00.000000,1624557.856780192,7.589e-05,6.943e-05,7.763e-05,6.5e-05,10153
2018-02-07T00:00:00.000000,1544775.199783144,6.944e-05,6.853e-05,7.073e-05,6.183e-05,8912
2018-02-09T00:00:00.000000,2338186.611573451,8.443e-05,8.123e-05,8.492e-05,7.862e-05,14734
2018-02-10T00:00:00.000000,2485676.618419041,8.125e-05,8.473e-05,8.57e-05,6.984e-05,14805
2018-02-11T00:00:00.000000,392943.412838532,8.467e-05,9.389e-05,9.483e-05,8.345e-05,1743
2018-02-13T00:00:00.000000,111327.0,8.326e-05,8.323e-05,8.352e-05,8.3e-05,652
2018-02-14T00:00:00.000000,1446752.614735591,8.324e-05,8.54e-05,8.769e-05,8.3e-05,6026
2018-02-15T00:00:00.000000,1148744.158248881,8.524e-05,8.423e-05,8.554e-05,8.088e-05,6196
2018-02-16T00:00:00.000000,1124753.171307338,8.403e-05,7.884e-05,8.448e-05,7.69e-05,5850
2018-02-17T00:00:00.000000,959439.0,7.884e-05,8.151e-05,8.3e-05,7.857e-05,5605
2018-02-18T00:00:00.000000,969700.01462096,8.166e-05,7.541e-05,8.186e-05,7.522e-05,5631
2018-02-19T00:00:00.000000,1052143.624337184,7.545e-05,7.064e-05,7.548e-05,7.001e-05,5731
2018-02-20T00:00:00.000000,1061344.331934536,7.065e-05,6.872e-05,7.189e-05,6.85e-05,5707
2018-02-21T00:00:00.000000,1025832.688321385,6.871e-05,6.065e-05,6.909e-05,6.026e-05,5724
2018-02-22T00:00:00.000000,59620.0,6.06e-05,6e-05,6.119e-05,6e-05,290
2018-02-26T00:00:00.000000,402882.999999999,5.936e-05,6.007e-05,6.153e-05,5.919e-05,2352
2018-02-27T00:00:00.000000,844560.637298078,6.007e-05,5.863e-05,6.254e-05,5.763e-05,4665
