time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-07-06T00:00:00.000000,1694895.51407402,4.306e-05,4.214e-05,4.5e-05,4.11e-05,4432
2018-07-07T00:00:00.000000,1688167.7597169,4.183e-05,4.291e-05,4.385e-05,3.9e-05,5134
2018-07-08T00:00:00.000000,676428.14469767,4.31e-05,4.035e-05,4.317e-05,3.987e-05,1800
2018-07-09T00:00:00.000000,625414.55050476,4.041e-05,4.154e-05,4.333e-05,3.995e-05,1743
2018-07-10T00:00:00.000000,1626325.6289749,4.153e-05,4.102e-05,4.441e-05,4.018e-05,5081
2018-07-11T00:00:00.000000,915531.14931973,4.097e-05,3.985e-05,4.262e-05,3.933e-05,2214
2018-07-12T00:00:00.000000,5820325.6714911,3.986e-05,4.617e-05,5.4e-05,3.8e-05,9081
2018-07-13T00:00:00.000000,1454305.61815086,4.6e-05,4.269e-05,4.633e-05,4.205e-05,3440
2018-07-14T00:00:00.000000,626300.84985389,4.268e-05,4.3e-05,4.383e-05,4.206e-05,1920
2018-07-15T00:00:00.000000,1341805.08231399,4.308e-05,4.449e-05,4.708e-05,4.253e-05,2357
2018-07-16T00:00:00.000000,557272.10138483,4.449e-05,4.477e-05,4.633e-05,4.39e-05,1060
2018-07-17T00:00:00.000000,3135146.94807546,4.476e-05,4.758e-05,5.039e-05,4.476e-05,5510
2018-07-18T00:00:00.000000,7814399.96316323,4.757e-05,5.25e-05,5.77e-05,4.753e-05,12898
2018-07-19T00:00:00.000000,4359484.62790969,5.265e-05,5.421e-05,6.2e-05,5.1e-05,8839
2018-07-20T00:00:00.000000,2370693.85082948,5.419e-05,5.397e-05,5.919e-05,5.02e-05,7222
2018-07-21T00:00:00.000000,1254267.02172999,5.416e-05,5.02e-05,5.599e-05,4.81e-05,3389
2018-07-22T00:00:00.000000,988468.53740237,5.02e-05,5.114e-05,5.16e-05,4.661e-05,2301
2018-07-23T00:00:00.000000,633605.71038101,5.076e-05,4.886e-05,5.078e-05,4.809e-05,1017
2018-07-24T00:00:00.000000,2338188.91838076,4.886e-05,4.269e-05,4.886e-05,4.188e-05,4993
2018-07-25T00:00:00.000000,3413858.42375847,4.28e-05,4.074e-05,4.816e-05,3.784e-05,7200
2018-07-26T00:00:00.000000,1392364.31308791,4.075e-05,4.007e-05,4.09e-05,3.788e-05,2666
2018-07-27T00:00:00.000000,1346342.84087219,4.007e-05,3.922e-05,4.297e-05,3.844e-05,2627
2018-07-28T00:00:00.000000,1315777.4756314,3.921e-05,3.882e-05,4.228e-05,3.78e-05,3140
2018-07-29T00:00:00.000000,495861.5128892,3.94e-05,3.902e-05,3.94e-05,3.821e-05,928
2018-07-30T00:00:00.000000,651473.51427285,3.931e-05,4.01e-05,4.099e-05,3.843e-05,1249
2018-07-31T00:00:00.000000,478581.05915509,4.014e-05,3.811e-05,4.014e-05,3.792e-05,1306
2018-08-01T00:00:00.000000,722587.83489731,3.81e-05,3.551e-05,3.824e-05,3.491e-05,1790
2018-08-02T00:00:00.000000,862535.96564601,3.551e-05,3.52e-05,3.591e-05,3.34e-05,2350
2018-08-03T00:00:00.000000,767913.52400264,3.511e-05,3.218e-05,3.55e-05,3.201e-05,1811
2018-08-04T00:00:00.000000,2685143.05219494,3.206e-05,3.361e-05,3.6e-05,3.083e-05,3664
2018-08-05T00:00:00.000000,602604.95138406,3.353e-05,3.294e-05,3.379e-05,3.201e-05,1310
2018-08-06T00:00:00.000000,465103.0478356,3.294e-05,3.343e-05,3.41e-05,3.257e-05,874
2018-08-07T00:00:00.000000,347002.76810742,3.388e-05,3.264e-05,3.39e-05,3.23e-05,723
2018-08-08T00:00:00.000000,795497.99905215,3.26e-05,3.168e-05,3.28e-05,3.14e-05,1563
2018-08-09T00:00:00.000000,1255456.07211302,3.2e-05,3.078e-05,3.2e-05,3.078e-05,1926
2018-08-10T00:00:00.000000,831153.62260281,3.113e-05,3.238e-05,3.357e-05,3.085e-05,1527
2018-08-11T00:00:00.000000,717076.42039748,3.224e-05,3.156e-05,3.224e-05,3.114e-05,847
2018-08-12T00:00:00.000000,157427.79809972,3.156e-05,3.071e-05,3.156e-05,3.034e-05,327
