time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-12-29T00:00:00.000000,993.4414,0.287,0.2868,0.2873,0.2868,4
2017-12-30T00:00:00.000000,93526.9261,0.2868,0.347,0.3619,0.2867,166
2017-12-31T00:00:00.000000,106282.4456,0.347,0.3501,0.3872,0.2978,281
2018-01-01T00:00:00.000000,146767.886,0.3796,0.5262,0.62,0.3651,476
2018-01-02T00:00:00.000000,232760.8082,0.5112,0.7599,0.9,0.4866,835
2018-01-03T00:00:00.000000,140767.3053,0.8124,0.73,0.858,0.6207,541
2018-01-04T00:00:00.000000,67732.1582,0.7332,0.742,0.8151,0.6501,301
2018-01-05T00:00:00.000000,78141.3242,0.7054,0.7915,0.84,0.7,279
2018-01-06T00:00:00.000000,49360.2553,0.7833,0.7704,0.7989,0.685,314
2018-01-07T00:00:00.000000,181910.2131,0.739,0.9859,1.2439,0.739,766
2018-01-08T00:00:00.000000,50846.2389,1.0429,0.9692,1.0644,0.92,349
2018-01-09T00:00:00.000000,28973.675,0.995,0.8716,0.9987,0.65,230
2018-01-10T00:00:00.000000,67411.3405,0.9488,0.8851,0.9786,0.8486,209
2018-01-11T00:00:00.000000,49350.6047,0.9002,0.7978,0.9002,0.7115,209
2018-01-12T00:00:00.000000,34067.5049,0.8519,0.7651,0.9456,0.7349,199
2018-01-13T00:00:00.000000,27607.9599,0.77,0.7181,0.78,0.6627,111
2018-01-14T00:00:00.000000,35885.285,0.7181,0.739,0.754,0.66,131
2018-01-15T00:00:00.000000,44062.8538,0.7445,0.7125,0.8743,0.5822,282
2018-01-16T00:00:00.000000,11734.2731,0.7125,0.62,0.728,0.62,106
2018-01-17T00:00:00.000000,74372.7721,0.6304,0.4809,0.6373,0.3697,403
2018-01-18T00:00:00.000000,61113.6938,0.4804,0.5331,0.58,0.3434,329
2018-01-19T00:00:00.000000,36751.416,0.5254,0.5969,0.8631,0.5254,305
2018-01-20T00:00:00.000000,37520.5911,0.5969,0.5701,0.6592,0.53,228
2018-01-21T00:00:00.000000,61931.9111,0.5701,0.6068,0.6491,0.5469,341
2018-01-22T00:00:00.000000,10745.4063,0.59,0.4792,0.59,0.4792,101
2018-01-23T00:00:00.000000,46704.781,0.5008,0.4651,0.51,0.4,229
2018-01-24T00:00:00.000000,24293.2689,0.4602,0.4836,0.51,0.4205,167
2018-01-25T00:00:00.000000,24021.6039,0.4836,0.4695,0.5086,0.4572,108
2018-01-26T00:00:00.000000,24577.3175,0.4801,0.4809,0.5,0.4607,126
2018-01-27T00:00:00.000000,35442.577,0.4808,0.4562,0.498,0.4332,212
2018-01-28T00:00:00.000000,18175.0762,0.4562,0.4936,0.4999,0.4463,104
2018-01-29T00:00:00.000000,26561.6418,0.489,0.4903,0.5343,0.489,136
2018-01-30T00:00:00.000000,21939.7461,0.4903,0.45,0.5037,0.45,102
2018-01-31T00:00:00.000000,25313.7429,0.4519,0.3941,0.4551,0.36,128
2018-02-01T00:00:00.000000,29453.8585,0.4034,0.4302,0.5,0.3718,272
2018-02-02T00:00:00.000000,49250.4961,0.4264,0.3578,0.43,0.3102,224
2018-02-03T00:00:00.000000,4440.3956,0.324,0.3163,0.3578,0.3059,16
2018-02-04T00:00:00.000000,20391.1408,0.3146,0.3402,0.3585,0.2893,192
2018-02-05T00:00:00.000000,40527.505,0.3415,0.2829,0.344,0.2609,165
2018-02-06T00:00:00.000000,14554.0131,0.2829,0.2047,0.2873,0.1413,123
2018-02-07T00:00:00.000000,31700.2622,0.1869,0.2807,0.3142,0.1597,176
2018-02-08T00:00:00.000000,27167.4814,0.2795,0.2672,0.3088,0.2262,213
2018-02-09T00:00:00.000000,33683.9535,0.2558,0.291,0.3267,0.2558,176
2018-02-10T00:00:00.000000,34582.1318,0.286,0.3104,0.3297,0.2509,148
2018-02-11T00:00:00.000000,76778.2224,0.3075,0.27,0.3202,0.2505,197
2018-02-12T00:00:00.000000,27225.451,0.2745,0.2561,0.2814,0.2469,101
2018-02-13T00:00:00.000000,27310.4571,0.2559,0.2948,0.3054,0.2501,143
2018-02-14T00:00:00.000000,28286.8521,0.2968,0.2741,0.2988,0.26,66
2018-02-15T00:00:00.000000,21334.902,0.2807,0.315,0.3525,0.2807,134
2018-02-16T00:00:00.000000,21431.8392,0.3148,0.3466,0.3595,0.2932,132
2018-02-17T00:00:00.000000,5120.6527,0.3512,0.3236,0.3551,0.3227,21
2018-02-18T00:00:00.000000,14896.2666,0.3547,0.3513,0.3567,0.3369,61
2018-02-19T00:00:00.000000,9463.8471,0.3508,0.3179,0.3513,0.3149,107
2018-02-20T00:00:00.000000,7532.4079,0.3139,0.3197,0.34,0.3138,86
2018-02-21T00:00:00.000000,45824.0964,0.3234,0.2873,0.3474,0.2873,157
2018-02-22T00:00:00.000000,19645.1447,0.2873,0.2748,0.2873,0.2626,58
2018-02-23T00:00:00.000000,16206.7076,0.3087,0.2879,0.3507,0.2564,116
2018-02-24T00:00:00.000000,14798.6259,0.2843,0.3068,0.3451,0.2791,52
2018-02-25T00:00:00.000000,4922.506,0.3248,0.2955,0.3248,0.2686,39
2018-02-26T00:00:00.000000,2968.8209,0.2865,0.2982,0.3085,0.2865,31
2018-02-27T00:00:00.000000,19409.1967,0.2984,0.2865,0.3344,0.2865,70
2018-02-28T00:00:00.000000,12576.8671,0.302,0.3,0.3301,0.2945,52
