time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-01-24T00:00:00.000000,746710.08937319,4.478e-05,4.52e-05,4.58e-05,4.424e-05,218
2018-01-25T00:00:00.000000,5428362.715850042,4.533e-05,4.241e-05,4.92e-05,4e-05,1867
2018-01-26T00:00:00.000000,2840049.947503307,4.219e-05,4.165e-05,4.58e-05,4.107e-05,956
2018-01-27T00:00:00.000000,4720553.07521861,4.182e-05,4.059e-05,4.236e-05,3.65e-05,1689
2018-01-28T00:00:00.000000,4950735.562231578,4.07e-05,4.308e-05,4.328e-05,4e-05,1723
2018-01-29T00:00:00.000000,4766050.670116359,4.296e-05,4.199e-05,4.487e-05,4.108e-05,1821
2018-01-30T00:00:00.000000,4565602.177591017,4.19e-05,4.059e-05,4.211e-05,4.002e-05,1404
2018-01-31T00:00:00.000000,102658.0,4.068e-05,3.656e-05,4.074e-05,3.65e-05,47
2018-02-01T00:00:00.000000,155955.166643594,4.113e-05,6.666e-05,6.666e-05,4.113e-05,147
2018-02-02T00:00:00.000000,1150859.508986847,3.895e-05,3.857e-05,4.026e-05,3.702e-05,3876
2018-02-03T00:00:00.000000,459605.511262511,3.857e-05,3.286e-05,3.874e-05,3.286e-05,1695
2018-02-04T00:00:00.000000,3497090.198592562,3.549e-05,3.732e-05,3.885e-05,3.42e-05,14129
2018-02-05T00:00:00.000000,3842574.937522116,3.731e-05,3.414e-05,3.771e-05,3.218e-05,15391
2018-02-06T00:00:00.000000,1941229.4,3.414e-05,2.938e-05,3.444e-05,2.86e-05,7905
2018-02-07T00:00:00.000000,2601408.981233546,2.941e-05,3.397e-05,3.625e-05,2.497e-05,9034
2018-02-09T00:00:00.000000,3642658.281509433,3.328e-05,3.444e-05,3.698e-05,3.301e-05,14464
2018-02-10T00:00:00.000000,3668807.773645296,3.439e-05,3.519e-05,3.698e-05,3.415e-05,14494
2018-02-11T00:00:00.000000,1698535.281041312,3.52e-05,3.305e-05,3.628e-05,3.192e-05,5878
2018-02-12T00:00:00.000000,1571921.7,3.299e-05,3.189e-05,3.314e-05,3.08e-05,5714
2018-02-13T00:00:00.000000,2170961.919135821,3.187e-05,3.319e-05,3.57e-05,3.062e-05,6006
2018-02-14T00:00:00.000000,2063925.3,3.32e-05,3.207e-05,3.41e-05,3.09e-05,6344
2018-02-15T00:00:00.000000,1615021.520644002,3.207e-05,3.319e-05,3.438e-05,3.183e-05,5758
2018-02-16T00:00:00.000000,2284352.08253855,3.315e-05,3.445e-05,3.74e-05,3.236e-05,6432
2018-02-17T00:00:00.000000,2112922.72875,3.45e-05,3.258e-05,3.528e-05,3.199e-05,5833
2018-02-18T00:00:00.000000,1645847.737330572,3.257e-05,3.155e-05,3.347e-05,3.131e-05,5710
2018-02-19T00:00:00.000000,1653282.46429057,3.155e-05,2.99e-05,3.206e-05,2.943e-05,5755
2018-02-20T00:00:00.000000,1638256.815775664,2.997e-05,2.88e-05,3.146e-05,2.834e-05,5739
2018-02-21T00:00:00.000000,1725093.315568862,2.881e-05,2.618e-05,2.897e-05,2.515e-05,5839
2018-02-22T00:00:00.000000,1729162.899999999,2.619e-05,2.603e-05,2.712e-05,2.484e-05,5855
2018-02-23T00:00:00.000000,2543899.928282285,2.597e-05,2.943e-05,3.567e-05,2.545e-05,6395
2018-02-24T00:00:00.000000,2612138.238581219,2.942e-05,2.971e-05,3.445e-05,2.823e-05,6551
2018-02-25T00:00:00.000000,1575340.2,2.971e-05,3.057e-05,3.127e-05,2.94e-05,5727
2018-02-26T00:00:00.000000,1809579.350192834,3.05e-05,3.117e-05,3.535e-05,2.983e-05,5879
2018-02-27T00:00:00.000000,1309636.273310279,3.118e-05,2.929e-05,3.182e-05,2.862e-05,4638
2018-02-28T00:00:00.000000,1535575.091620111,2.932e-05,2.843e-05,3.083e-05,2.806e-05,5597
2018-03-01T00:00:00.000000,1440476.9,2.837e-05,2.652e-05,2.885e-05,2.647e-05,5431
2018-03-02T00:00:00.000000,1711573.9,2.654e-05,2.679e-05,2.85e-05,2.615e-05,5695
2018-03-03T00:00:00.000000,1444729.8,2.683e-05,2.73e-05,2.784e-05,2.652e-05,5471
2018-03-04T00:00:00.000000,1494968.986973478,2.73e-05,2.557e-05,2.737e-05,2.489e-05,5634
2018-03-05T00:00:00.000000,1506242.78829306,2.555e-05,2.6e-05,2.647e-05,2.5e-05,5712
2018-03-06T00:00:00.000000,1551236.7,2.604e-05,2.554e-05,2.643e-05,2.515e-05,5755
2018-03-07T00:00:00.000000,1608433.573092052,2.551e-05,2.501e-05,2.577e-05,2.418e-05,5766
2018-03-08T00:00:00.000000,1578748.799999999,2.513e-05,2.406e-05,2.524e-05,2.223e-05,5137
2018-03-09T00:00:00.000000,1568776.1,2.41e-05,2.27e-05,2.459e-05,2.245e-05,5782
2018-03-10T00:00:00.000000,290859.2,2.271e-05,2.264e-05,2.332e-05,2.205e-05,964
2018-03-11T00:00:00.000000,1599253.251684091,2.26e-05,2.211e-05,2.367e-05,2.175e-05,5796
2018-03-12T00:00:00.000000,1496828.9,2.214e-05,2.303e-05,2.331e-05,2.186e-05,5705
2018-03-13T00:00:00.000000,9389773.2,2.298e-05,2.226e-05,2.38e-05,2.208e-05,3811
2018-03-14T00:00:00.000000,2215310.781818181,2.24e-05,2.26e-05,2.335e-05,2.207e-05,3637
