time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-05-02T00:00:00.000000,50924.6089,0.0004105,0.0004091,0.0004286,0.0004012,275
2018-05-03T00:00:00.000000,36085.7927,0.0004087,0.000419,0.0004285,0.000401,152
2018-05-04T00:00:00.000000,75384.7991,0.0004209,0.0003836,0.0004271,0.000372,381
2018-05-05T00:00:00.000000,45479.0716,0.0003826,0.0003759,0.0003878,0.0003448,246
2018-05-06T00:00:00.000000,18816.8544,0.0003708,0.0003678,0.0003846,0.0003486,109
2018-05-07T00:00:00.000000,21639.6335,0.000364,0.0003452,0.000364,0.0003378,128
2018-05-08T00:00:00.000000,29921.2428,0.0003377,0.0003481,0.00036,0.0003369,129
2018-05-09T00:00:00.000000,33821.7056,0.0003481,0.0003394,0.0003586,0.0003351,178
2018-05-10T00:00:00.000000,36381.1954,0.0003433,0.0003294,0.0003664,0.000325,196
2018-05-11T00:00:00.000000,45060.9929,0.0003251,0.0003062,0.0003487,0.0002895,240
2018-05-12T00:00:00.000000,103358.9071,0.000303,0.0003006,0.0003333,0.0002843,338
2018-05-13T00:00:00.000000,42315.2057,0.000312,0.000293,0.000327,0.000283,198
2018-05-14T00:00:00.000000,30065.6751,0.000298,0.000302,0.0003427,0.000293,133
2018-05-15T00:00:00.000000,23900.5083,0.0003145,0.000301,0.0003145,0.00028,235
2018-05-16T00:00:00.000000,24140.3202,0.0003,0.0002959,0.000306,0.0002831,144
2018-05-17T00:00:00.000000,41309.0872,0.0002944,0.0002735,0.0003012,0.000273,235
2018-05-18T00:00:00.000000,21275.1721,0.0002859,0.0002759,0.0002859,0.0002612,97
2018-05-19T00:00:00.000000,68452.6914,0.0002784,0.0002651,0.0002967,0.0002591,218
2018-05-20T00:00:00.000000,23493.1336,0.0002723,0.0002696,0.0002724,0.000259,56
2018-05-21T00:00:00.000000,28641.9391,0.000273,0.0002655,0.000275,0.000259,101
2018-05-22T00:00:00.000000,18097.9024,0.0002667,0.0002614,0.0002733,0.000257,76
2018-05-23T00:00:00.000000,25669.1016,0.0002676,0.000265,0.0002748,0.00026,200
2018-05-24T00:00:00.000000,39944.7392,0.0002649,0.000259,0.000268,0.000245,234
2018-05-25T00:00:00.000000,26412.6234,0.000261,0.0002717,0.0002717,0.0002541,110
2018-05-26T00:00:00.000000,25366.0183,0.0002662,0.0002568,0.0002835,0.0002542,84
2018-05-27T00:00:00.000000,24474.9732,0.0002563,0.000263,0.000281,0.0002554,86
2018-05-28T00:00:00.000000,24793.3208,0.0002623,0.0002638,0.0002764,0.0002558,146
2018-05-29T00:00:00.000000,30288.7853,0.0002633,0.0002544,0.0002729,0.0002509,173
2018-05-30T00:00:00.000000,46553.9578,0.000259,0.000258,0.0002699,0.0002412,275
2018-05-31T00:00:00.000000,20620.8117,0.0002559,0.0002499,0.000259,0.0002473,109
2018-06-01T00:00:00.000000,19453.1172,0.0002519,0.0002479,0.00026,0.000245,79
2018-06-02T00:00:00.000000,22511.4624,0.0002503,0.0002563,0.000264,0.0002401,56
2018-06-03T00:00:00.000000,22208.7294,0.0002468,0.000246,0.0002525,0.0002431,68
2018-06-04T00:00:00.000000,29790.8507,0.000245,0.000243,0.0002519,0.000235,78
2018-06-05T00:00:00.000000,10801.7334,0.0002428,0.0002377,0.0002446,0.000225,91
2018-06-06T00:00:00.000000,7042.176,0.000237,0.0002386,0.0002494,0.0002253,71
2018-06-07T00:00:00.000000,20460.924,0.000235,0.000223,0.0002494,0.000219,154
2018-06-08T00:00:00.000000,15970.9259,0.0002194,0.000217,0.0002266,0.0002137,70
2018-06-09T00:00:00.000000,13308.1707,0.000217,0.000208,0.0002238,0.000201,131
