time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-05-02T00:00:00.000000,71643.193,2.949e-05,3.09e-05,3.177e-05,2.878e-05,230
2018-05-03T00:00:00.000000,84705.605,3.017e-05,3.139e-05,3.339e-05,2.987e-05,269
2018-05-04T00:00:00.000000,136985.813,3.184e-05,3.005e-05,3.185e-05,2.966e-05,352
2018-05-05T00:00:00.000000,37594.317,2.964e-05,2.967e-05,3.033e-05,2.887e-05,175
2018-05-06T00:00:00.000000,283520.221,3.007e-05,3.032e-05,3.192e-05,2.9e-05,232
2018-05-07T00:00:00.000000,103024.308,2.972e-05,2.819e-05,2.972e-05,2.754e-05,226
2018-05-08T00:00:00.000000,62036.546,2.781e-05,2.811e-05,2.821e-05,2.712e-05,119
2018-05-09T00:00:00.000000,54527.783,2.829e-05,2.774e-05,2.904e-05,2.714e-05,131
2018-05-10T00:00:00.000000,43288.918,2.748e-05,2.674e-05,2.76e-05,2.609e-05,196
2018-05-11T00:00:00.000000,188585.477,2.638e-05,2.5e-05,2.666e-05,2.464e-05,391
2018-05-12T00:00:00.000000,65400.026,2.492e-05,2.45e-05,2.519e-05,2.305e-05,366
2018-05-13T00:00:00.000000,81445.868,2.478e-05,2.375e-05,2.539e-05,2.274e-05,198
2018-05-14T00:00:00.000000,41021.815,2.467e-05,2.579e-05,2.721e-05,2.363e-05,156
2018-05-15T00:00:00.000000,171547.958,2.504e-05,2.467e-05,2.836e-05,2.39e-05,220
2018-05-16T00:00:00.000000,23109.982,2.514e-05,2.443e-05,2.569e-05,2.438e-05,87
2018-05-17T00:00:00.000000,61195.465,2.396e-05,2.441e-05,2.447e-05,2.269e-05,140
2018-05-18T00:00:00.000000,5719.119,2.355e-05,2.313e-05,2.476e-05,2.313e-05,94
2018-05-19T00:00:00.000000,71752.087,2.301e-05,2.222e-05,2.341e-05,2.114e-05,328
2018-05-20T00:00:00.000000,1785.884,2.294e-05,2.255e-05,2.294e-05,2.251e-05,5
2018-05-21T00:00:00.000000,67539.945,2.288e-05,2.265e-05,2.294e-05,2.221e-05,90
