time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-10-31T00:00:00.000000,33290.0,6.3e-06,6.4e-06,6.4e-06,5.3e-06,24
2017-11-01T00:00:00.000000,34810.0,6.4e-06,6e-06,6.8e-06,5.9e-06,29
2017-11-02T00:00:00.000000,86150.0,6.3e-06,6.2e-06,8.7e-06,6e-06,105
2017-11-03T00:00:00.000000,1350.0,7.1e-06,7e-06,7.1e-06,7e-06,2
2017-11-04T00:00:00.000000,29610.0,4.4e-06,4e-06,4.4e-06,4e-06,12
2017-11-05T00:00:00.000000,22880.0,4.1e-06,4e-06,4.7e-06,4e-06,31
2017-11-06T00:00:00.000000,70020.0,4.3e-06,4.2e-06,4.3e-06,4e-06,40
2017-11-07T00:00:00.000000,39890.0,4.2e-06,4.1e-06,4.4e-06,1.9e-06,92
2017-11-08T00:00:00.000000,32070.0,4.5e-06,4.2e-06,4.7e-06,4.1e-06,34
2017-11-09T00:00:00.000000,41920.0,4.2e-06,4.4e-06,4.4e-06,4e-06,32
2017-11-10T00:00:00.000000,68260.0,4.4e-06,4.9e-06,5e-06,9e-07,50
2017-11-13T00:00:00.000000,9550.0,4.5e-06,4.6e-06,4.6e-06,4.5e-06,6
2017-11-14T00:00:00.000000,60510.0,4.5e-06,4.2e-06,4.6e-06,4e-06,41
2017-11-15T00:00:00.000000,17390.0,4.4e-06,4.2e-06,4.4e-06,4.1e-06,14
2017-11-17T00:00:00.000000,69920.0,4e-06,3.8e-06,4e-06,3.7e-06,83
2017-11-18T00:00:00.000000,23070.0,3.6e-06,3.6e-06,3.8e-06,3.2e-06,28
2017-11-19T00:00:00.000000,109810.0,3.7e-06,3.8e-06,4.7e-06,3.2e-06,70
2017-11-20T00:00:00.000000,34270.0,3.8e-06,4.2e-06,4.2e-06,3.1e-06,29
2017-11-21T00:00:00.000000,103750.0,4.1e-06,4.2e-06,4.3e-06,3.2e-06,69
2017-11-22T00:00:00.000000,71820.0,4.2e-06,4.5e-06,4.6e-06,3.7e-06,75
2017-11-23T00:00:00.000000,85150.0,4.4e-06,4.3e-06,5e-06,3.8e-06,129
2017-11-24T00:00:00.000000,44750.0,4.3e-06,4.1e-06,4.3e-06,3.9e-06,56
2017-11-25T00:00:00.000000,234430.0,3.9e-06,4e-06,4.1e-06,3.5e-06,50
2017-11-26T00:00:00.000000,229140.0,4.1e-06,3.9e-06,4.1e-06,3.5e-06,72
2017-11-27T00:00:00.000000,23800.0,3.9e-06,4e-06,4e-06,3.6e-06,23
2017-11-28T00:00:00.000000,117820.0,4e-06,4e-06,4.2e-06,3.7e-06,67
2017-11-29T00:00:00.000000,313530.0,4.2e-06,5.5e-06,5.5e-06,3.7e-06,163
2017-11-30T00:00:00.000000,539210.0,5e-06,4.8e-06,6.4e-06,4.6e-06,337
2017-12-01T00:00:00.000000,240540.0,5.2e-06,5.1e-06,5.5e-06,4.9e-06,176
2017-12-02T00:00:00.000000,228990.0,4.7e-06,5.2e-06,5.7e-06,4.7e-06,149
2017-12-03T00:00:00.000000,163370.0,6.8e-06,6.8e-06,7.7e-06,6.2e-06,161
2017-12-04T00:00:00.000000,112390.0,6.8e-06,6.5e-06,7.2e-06,6e-06,88
2017-12-05T00:00:00.000000,98780.0,6.7e-06,6.8e-06,7.3e-06,5.6e-06,82
2017-12-06T00:00:00.000000,112520.0,6.5e-06,6e-06,6.6e-06,5.4e-06,127
2017-12-07T00:00:00.000000,339760.0,5.7e-06,4.8e-06,6.1e-06,4.8e-06,304
2017-12-08T00:00:00.000000,81510.0,4.5e-06,3.3e-06,4.7e-06,3.3e-06,114
2017-12-09T00:00:00.000000,120350.0,3.2e-06,4e-06,4.1e-06,3e-06,84
2017-12-10T00:00:00.000000,89830.0,4e-06,4.2e-06,4.2e-06,3.8e-06,63
2017-12-11T00:00:00.000000,148390.0,3.5e-06,3.6e-06,3.9e-06,3.5e-06,98
2017-12-12T00:00:00.000000,41300.0,3.6e-06,3.6e-06,3.9e-06,3.4e-06,50
2017-12-13T00:00:00.000000,132850.0,3.6e-06,3.8e-06,3.8e-06,3.1e-06,155
2017-12-14T00:00:00.000000,123660.0,3.8e-06,3.7e-06,4.2e-06,3.5e-06,126
2017-12-15T00:00:00.000000,197780.0,3.9e-06,4.6e-06,5.1e-06,3.5e-06,187
2017-12-16T00:00:00.000000,308250.0,4.5e-06,4.1e-06,5.1e-06,3.4e-06,235
2017-12-17T00:00:00.000000,472420.0,4.1e-06,6.4e-06,6.6e-06,4.1e-06,535
2017-12-18T00:00:00.000000,701740.0,6e-06,8.5e-06,9.6e-06,5.9e-06,686
2017-12-19T00:00:00.000000,285790.0,9.4e-06,9.5e-06,1e-05,8.2e-06,373
2017-12-20T00:00:00.000000,517230.0,9.5e-06,1.17e-05,1.21e-05,9.2e-06,499
2017-12-21T00:00:00.000000,669050.0,1.2e-05,1.13e-05,1.23e-05,8.8e-06,714
2017-12-22T00:00:00.000000,254470.0,1.13e-05,1.14e-05,1.17e-05,9.9e-06,383
2017-12-23T00:00:00.000000,259310.0,1.13e-05,1.05e-05,1.19e-05,8.7e-06,424
2017-12-24T00:00:00.000000,110360.0,1.05e-05,1.01e-05,1.06e-05,9.6e-06,232
2017-12-25T00:00:00.000000,169550.0,1e-05,1.02e-05,1.1e-05,9.2e-06,233
2017-12-26T00:00:00.000000,66640.0,1.01e-05,1.02e-05,1.04e-05,9.1e-06,169
2017-12-27T00:00:00.000000,71700.0,1.01e-05,9e-06,1.04e-05,8.1e-06,209
2017-12-28T00:00:00.000000,257820.0,9.1e-06,1.03e-05,1.2e-05,8.4e-06,529
2017-12-29T00:00:00.000000,205480.0,1.03e-05,1e-05,1.3e-05,9.2e-06,477
2017-12-30T00:00:00.000000,524320.0,1.02e-05,1.17e-05,1.26e-05,1.02e-05,667
2017-12-31T00:00:00.000000,412890.0,1.16e-05,1.25e-05,1.37e-05,1.13e-05,736
2018-01-01T00:00:00.000000,300490.0,1.25e-05,1.61e-05,1.7e-05,1.2e-05,536
2018-01-02T00:00:00.000000,690290.0,1.61e-05,1.91e-05,2.41e-05,1.6e-05,1745
2018-01-03T00:00:00.000000,1098920.0,1.9e-05,2.14e-05,2.39e-05,1.7e-05,1529
2018-01-04T00:00:00.000000,4151960.0,2.14e-05,4.21e-05,4.3e-05,2.12e-05,8425
2018-01-05T00:00:00.000000,1567190.0,4.27e-05,3.51e-05,4.47e-05,2.93e-05,3671
2018-01-06T00:00:00.000000,845560.0,3.45e-05,2.92e-05,3.99e-05,2.5e-05,2229
2018-01-07T00:00:00.000000,456300.0,2.9e-05,3.06e-05,3.47e-05,2.62e-05,1113
2018-01-08T00:00:00.000000,322360.0,3.08e-05,3.25e-05,3.39e-05,2.85e-05,1254
2018-01-09T00:00:00.000000,267720.0,3.21e-05,3.07e-05,3.33e-05,2.7e-05,787
2018-01-10T00:00:00.000000,229360.0,3.11e-05,2.93e-05,3.22e-05,2.7e-05,774
2018-01-11T00:00:00.000000,126930.0,2.96e-05,2.7e-05,3.03e-05,2.55e-05,304
2018-01-12T00:00:00.000000,136100.0,2.67e-05,2.9e-05,3e-05,2.15e-05,364
2018-01-13T00:00:00.000000,124350.0,2.83e-05,3.2e-05,3.34e-05,2.77e-05,383
2018-01-14T00:00:00.000000,323860.0,3.26e-05,3.34e-05,3.71e-05,2.99e-05,869
2018-01-15T00:00:00.000000,89160.0,3.29e-05,3.14e-05,3.47e-05,2.73e-05,354
2018-01-16T00:00:00.000000,147720.0,3.13e-05,3.06e-05,3.35e-05,2.76e-05,267
2018-01-17T00:00:00.000000,259180.0,3.02e-05,2.71e-05,3.02e-05,2.42e-05,433
2018-01-18T00:00:00.000000,112160.0,2.79e-05,2.85e-05,3.04e-05,2.14e-05,459
2018-01-19T00:00:00.000000,117980.0,2.8e-05,2.99e-05,3.01e-05,2.54e-05,517
2018-01-20T00:00:00.000000,109900.0,2.93e-05,2.9e-05,3.04e-05,2.69e-05,575
