time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-01-07T00:00:00.000000,22180060.0,2.921e-05,3.061e-05,3.25e-05,2.622e-05,19615
2018-01-08T00:00:00.000000,27470684.0,3.062e-05,3.248e-05,3.55e-05,2.954e-05,25442
2018-01-09T00:00:00.000000,21391124.0,3.239e-05,3.103e-05,3.281e-05,2.821e-05,19976
2018-01-10T00:00:00.000000,12201339.0,3.095e-05,3.009e-05,3.3e-05,2.935e-05,12253
2018-01-11T00:00:00.000000,15429595.0,2.991e-05,2.7e-05,3.004e-05,2.451e-05,13210
2018-01-12T00:00:00.000000,22514453.0,2.686e-05,2.904e-05,3.252e-05,2.201e-05,18449
2018-01-13T00:00:00.000000,17627384.0,2.898e-05,3.271e-05,3.39e-05,2.8e-05,14393
2018-01-14T00:00:00.000000,24543937.0,3.271e-05,3.347e-05,3.7e-05,3.124e-05,22520
2018-01-15T00:00:00.000000,11401484.0,3.334e-05,3.164e-05,3.37e-05,3.007e-05,9573
2018-01-16T00:00:00.000000,11512045.0,3.164e-05,3.058e-05,3.4e-05,2.965e-05,10464
2018-01-17T00:00:00.000000,18772871.0,3.067e-05,2.75e-05,3.075e-05,2.379e-05,12146
2018-01-18T00:00:00.000000,15906236.0,2.75e-05,2.883e-05,3.1e-05,2.38e-05,12605
2018-01-19T00:00:00.000000,15330394.0,2.865e-05,2.902e-05,3.1e-05,2.56e-05,12961
2018-01-20T00:00:00.000000,8939523.0,2.902e-05,2.914e-05,2.981e-05,2.754e-05,9230
2018-01-21T00:00:00.000000,11469690.0,2.92e-05,2.695e-05,2.92e-05,2.6e-05,8875
2018-01-22T00:00:00.000000,8152477.0,2.692e-05,2.547e-05,2.692e-05,2.499e-05,6707
2018-01-23T00:00:00.000000,14950606.0,2.538e-05,2.559e-05,2.687e-05,2.39e-05,10332
2018-01-24T00:00:00.000000,7929778.0,2.559e-05,2.554e-05,2.672e-05,2.503e-05,6647
2018-01-25T00:00:00.000000,16382961.0,2.551e-05,2.543e-05,2.722e-05,2.503e-05,12384
2018-01-26T00:00:00.000000,13321862.0,2.543e-05,2.676e-05,2.8e-05,2.52e-05,11174
2018-01-27T00:00:00.000000,8948846.0,2.675e-05,2.603e-05,2.72e-05,2.5e-05,6355
2018-01-28T00:00:00.000000,6029047.0,2.6e-05,2.507e-05,2.609e-05,2.5e-05,4388
2018-01-29T00:00:00.000000,7216105.0,2.505e-05,2.528e-05,2.549e-05,2.402e-05,6050
2018-01-30T00:00:00.000000,19345046.0,2.52e-05,2.489e-05,2.74e-05,2.39e-05,13400
2018-01-31T00:00:00.000000,8116350.0,2.489e-05,2.307e-05,2.525e-05,2.292e-05,6587
2018-02-01T00:00:00.000000,6919036.0,2.307e-05,2.284e-05,2.374e-05,2.124e-05,5919
2018-02-02T00:00:00.000000,6900606.0,2.282e-05,2.137e-05,2.354e-05,2.01e-05,6059
2018-02-03T00:00:00.000000,7484012.0,2.132e-05,2.016e-05,2.137e-05,1.778e-05,6178
2018-02-04T00:00:00.000000,13072203.0,2.016e-05,2.308e-05,2.536e-05,1.887e-05,12707
2018-02-05T00:00:00.000000,36253874.0,2.309e-05,2.54e-05,2.888e-05,2.269e-05,36622
2018-02-06T00:00:00.000000,19306059.0,2.539e-05,2.658e-05,2.845e-05,2.396e-05,18369
2018-02-07T00:00:00.000000,32835214.0,2.667e-05,2.749e-05,3.2e-05,2.501e-05,30535
2018-02-08T00:00:00.000000,12779955.0,2.747e-05,2.671e-05,2.897e-05,2.602e-05,14754
2018-02-09T00:00:00.000000,72501.0,2.673e-05,2.685e-05,2.702e-05,2.669e-05,99
2018-02-10T00:00:00.000000,7050859.0,2.684e-05,2.586e-05,2.684e-05,2.5e-05,7771
2018-02-11T00:00:00.000000,11596216.0,2.581e-05,2.613e-05,2.835e-05,2.562e-05,13033
2018-02-12T00:00:00.000000,4666378.0,2.621e-05,2.521e-05,2.639e-05,2.5e-05,5602
2018-02-13T00:00:00.000000,3205455.0,2.521e-05,2.408e-05,2.527e-05,2.402e-05,3883
2018-02-14T00:00:00.000000,3313877.0,2.408e-05,2.402e-05,2.424e-05,2.237e-05,4098
2018-02-15T00:00:00.000000,2855709.0,2.401e-05,2.338e-05,2.409e-05,2.302e-05,4460
2018-02-16T00:00:00.000000,4025621.0,2.338e-05,2.2e-05,2.353e-05,2.152e-05,4992
2018-02-17T00:00:00.000000,4048891.0,2.2e-05,2.155e-05,2.233e-05,2.132e-05,5094
2018-02-18T00:00:00.000000,10340479.0,2.163e-05,2.049e-05,2.343e-05,2.026e-05,9882
2018-02-19T00:00:00.000000,5977349.0,2.043e-05,1.953e-05,2.061e-05,1.924e-05,6603
2018-02-20T00:00:00.000000,9668667.0,1.956e-05,1.89e-05,2.08e-05,1.876e-05,8300
2018-02-21T00:00:00.000000,6442358.0,1.888e-05,1.696e-05,1.888e-05,1.662e-05,5624
2018-02-22T00:00:00.000000,6630545.0,1.69e-05,1.736e-05,1.819e-05,1.626e-05,6196
2018-02-23T00:00:00.000000,4421077.0,1.749e-05,1.699e-05,1.75e-05,1.657e-05,3535
2018-02-24T00:00:00.000000,4006046.0,1.698e-05,1.71e-05,1.799e-05,1.675e-05,3134
2018-02-25T00:00:00.000000,2814659.0,1.709e-05,1.691e-05,1.721e-05,1.666e-05,2338
2018-02-26T00:00:00.000000,6124958.0,1.692e-05,1.763e-05,1.847e-05,1.66e-05,4902
2018-02-27T00:00:00.000000,3552812.0,1.762e-05,1.652e-05,1.789e-05,1.65e-05,3070
2018-02-28T00:00:00.000000,2743939.0,1.658e-05,1.589e-05,1.66e-05,1.563e-05,2542
2018-03-01T00:00:00.000000,3087615.0,1.586e-05,1.522e-05,1.598e-05,1.471e-05,2645
2018-03-02T00:00:00.000000,4566536.0,1.522e-05,1.459e-05,1.535e-05,1.432e-05,4144
2018-03-03T00:00:00.000000,6386813.0,1.445e-05,1.376e-05,1.453e-05,1.356e-05,4836
2018-03-04T00:00:00.000000,5830572.0,1.375e-05,1.368e-05,1.455e-05,1.325e-05,4557
2018-03-05T00:00:00.000000,6574072.0,1.365e-05,1.391e-05,1.441e-05,1.342e-05,4851
2018-03-06T00:00:00.000000,40712277.0,1.391e-05,1.47e-05,1.685e-05,1.359e-05,28835
2018-03-07T00:00:00.000000,26799088.0,1.479e-05,1.579e-05,1.644e-05,1.452e-05,18387
2018-03-08T00:00:00.000000,14867440.0,1.579e-05,1.56e-05,1.634e-05,1.488e-05,10786
2018-03-09T00:00:00.000000,7645220.0,1.562e-05,1.576e-05,1.609e-05,1.528e-05,4993
2018-03-10T00:00:00.000000,6965440.0,1.576e-05,1.515e-05,1.589e-05,1.491e-05,4222
2018-03-11T00:00:00.000000,7540220.0,1.515e-05,1.497e-05,1.55e-05,1.444e-05,5060
