time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-01-20T00:00:00.000000,4122816.0,0.3183,0.3254,0.3577,0.2869,6659
2018-01-21T00:00:00.000000,1196491.0,0.3359,0.343,0.3795,0.3192,3058
2018-01-22T00:00:00.000000,1303590.0,0.3424,0.2849,0.3435,0.2754,3115
2018-01-23T00:00:00.000000,1903205.0,0.2877,0.266,0.3054,0.255,2975
2018-01-24T00:00:00.000000,453066.0,0.2736,0.2776,0.2903,0.2555,937
2018-01-25T00:00:00.000000,53148.0,0.2779,0.2745,0.3151,0.27,427
2018-01-26T00:00:00.000000,23439.0,0.2745,0.2985,0.3129,0.2745,245
2018-01-27T00:00:00.000000,27327.0,0.3026,0.2882,0.312,0.2634,115
2018-01-28T00:00:00.000000,17306.0,0.2898,0.2869,0.2969,0.2738,105
2018-01-29T00:00:00.000000,21499.0,0.29,0.298,0.3016,0.2852,99
2018-01-30T00:00:00.000000,25378.0,0.2948,0.2759,0.2974,0.275,119
2018-01-31T00:00:00.000000,61385.0,0.2826,0.2303,0.2845,0.2303,349
2018-02-01T00:00:00.000000,52053.0,0.2309,0.2291,0.2397,0.2094,104
2018-02-02T00:00:00.000000,52079.0,0.2372,0.1983,0.2377,0.188,102
2018-02-03T00:00:00.000000,2830.0,0.1902,0.1784,0.1902,0.172,11
2018-02-04T00:00:00.000000,69150.0,0.1767,0.2109,0.2405,0.1642,161
2018-02-05T00:00:00.000000,100340.0,0.2171,0.2153,0.2713,0.1906,263
2018-02-06T00:00:00.000000,71872.0,0.2184,0.1821,0.236,0.1692,189
2018-02-07T00:00:00.000000,77385.0,0.1901,0.2102,0.2295,0.151,395
2018-02-08T00:00:00.000000,41581.0,0.2029,0.2041,0.2362,0.1771,178
2018-02-09T00:00:00.000000,48456.0,0.2063,0.2053,0.23,0.2025,131
2018-02-10T00:00:00.000000,58458.0,0.2058,0.2306,0.2306,0.1983,175
2018-02-11T00:00:00.000000,66905.0,0.2262,0.2222,0.25,0.2132,145
2018-02-12T00:00:00.000000,24978.0,0.2107,0.2067,0.2134,0.2003,53
2018-02-13T00:00:00.000000,5662.0,0.211,0.2168,0.2168,0.2077,41
2018-02-14T00:00:00.000000,58255.0,0.2141,0.1989,0.2141,0.197,84
2018-02-15T00:00:00.000000,50896.0,0.2051,0.2218,0.2219,0.1987,202
2018-02-16T00:00:00.000000,75974.0,0.2212,0.2227,0.228,0.2117,220
2018-02-17T00:00:00.000000,55126.0,0.2213,0.2192,0.224,0.2115,123
2018-02-18T00:00:00.000000,45488.0,0.2176,0.226,0.227,0.2162,163
2018-02-19T00:00:00.000000,43131.0,0.2226,0.2053,0.2226,0.2034,125
2018-02-20T00:00:00.000000,45269.0,0.2081,0.2139,0.2196,0.2058,121
2018-02-21T00:00:00.000000,57208.0,0.2136,0.1924,0.2136,0.192,193
2018-02-22T00:00:00.000000,79345.0,0.1899,0.1902,0.2022,0.1781,164
2018-02-23T00:00:00.000000,18294.0,0.1916,0.1709,0.1917,0.1654,46
2018-02-24T00:00:00.000000,15438.0,0.1621,0.1756,0.1844,0.1621,91
2018-02-25T00:00:00.000000,16633.0,0.1783,0.1671,0.1834,0.1625,50
2018-02-26T00:00:00.000000,43512.0,0.1671,0.1679,0.1743,0.1556,65
2018-02-27T00:00:00.000000,6791.0,0.1686,0.1709,0.1757,0.162,48
2018-02-28T00:00:00.000000,5035.0,0.1703,0.1693,0.1725,0.1655,41
2018-03-01T00:00:00.000000,11948.0,0.1725,0.1603,0.1762,0.1594,32
2018-03-02T00:00:00.000000,34529.0,0.1597,0.1612,0.1635,0.1528,48
2018-03-03T00:00:00.000000,12115.0,0.1593,0.1526,0.1597,0.15,41
2018-03-04T00:00:00.000000,34113.0,0.1517,0.161,0.1674,0.1517,68
2018-03-05T00:00:00.000000,21382.0,0.1595,0.1655,0.166,0.1547,70
2018-03-06T00:00:00.000000,13580.0,0.1619,0.1779,0.1899,0.1589,108
2018-03-07T00:00:00.000000,44492.0,0.1686,0.172,0.1885,0.1674,135
2018-03-08T00:00:00.000000,6897.0,0.1735,0.162,0.1735,0.1575,70
2018-03-09T00:00:00.000000,646.0,0.157,0.1527,0.1668,0.1526,65
2018-03-10T00:00:00.000000,69835.0,0.1535,0.146,0.1535,0.1337,232
2018-03-11T00:00:00.000000,30317.0,0.147,0.1343,0.1494,0.1327,74
2018-03-12T00:00:00.000000,50992.0,0.1341,0.1376,0.1409,0.1305,121
2018-03-13T00:00:00.000000,11096.0,0.1407,0.1339,0.1424,0.132,38
2018-03-14T00:00:00.000000,1569.0,0.1355,0.1351,0.1355,0.1278,34
2018-03-15T00:00:00.000000,50844.0,0.136,0.1234,0.136,0.123,86
2018-03-16T00:00:00.000000,12442.0,0.1222,0.1095,0.1222,0.1053,52
2018-03-17T00:00:00.000000,15805.0,0.107,0.1079,0.1104,0.106,38
2018-03-18T00:00:00.000000,3885.0,0.1055,0.0942,0.1075,0.0942,18
2018-03-19T00:00:00.000000,18833.0,0.0907,0.1042,0.1042,0.079,39
2018-03-20T00:00:00.000000,53113.0,0.1058,0.1169,0.1186,0.1058,123
2018-03-21T00:00:00.000000,3524.0,0.1158,0.1227,0.1227,0.1096,27
2018-03-22T00:00:00.000000,2836.0,0.1204,0.1133,0.1216,0.1113,39
2018-03-23T00:00:00.000000,4080.0,0.1148,0.1106,0.1175,0.1091,30
2018-03-24T00:00:00.000000,3608.0,0.109,0.1017,0.109,0.1017,17
2018-03-25T00:00:00.000000,20833.0,0.1016,0.1034,0.1059,0.101,68
2018-03-26T00:00:00.000000,33328.0,0.0996,0.1009,0.1041,0.0978,59
2018-03-27T00:00:00.000000,2475.0,0.1018,0.092,0.1018,0.0912,20
2018-03-28T00:00:00.000000,6528.0,0.091,0.0905,0.0961,0.0864,34
2018-03-29T00:00:00.000000,8933.0,0.0909,0.0929,0.0954,0.0909,41
2018-03-30T00:00:00.000000,10521.0,0.0922,0.09,0.094,0.0868,35
2018-03-31T00:00:00.000000,16963.0,0.0881,0.089,0.0947,0.0859,45
2018-04-01T00:00:00.000000,3340.0,0.0909,0.0887,0.0913,0.0886,17
2018-04-02T00:00:00.000000,47034.0,0.092,0.0848,0.0923,0.0823,73
2018-04-03T00:00:00.000000,96012.0,0.0862,0.0917,0.099,0.0856,98
2018-04-04T00:00:00.000000,71823.0,0.0944,0.1082,0.1217,0.0944,156
2018-04-05T00:00:00.000000,22929.0,0.1015,0.095,0.1033,0.0949,53
2018-04-06T00:00:00.000000,24038.0,0.0946,0.0897,0.0949,0.0879,251
2018-04-07T00:00:00.000000,35060.0,0.0906,0.0906,0.095,0.0883,98
2018-04-08T00:00:00.000000,6161.0,0.092,0.0921,0.0931,0.0901,18
2018-04-09T00:00:00.000000,8893.0,0.0918,0.0926,0.094,0.0903,30
2018-04-10T00:00:00.000000,3503.0,0.0946,0.09,0.0958,0.0891,15
2018-04-11T00:00:00.000000,4454.0,0.09,0.0931,0.0931,0.0892,13
2018-04-12T00:00:00.000000,3594.0,0.0939,0.0948,0.095,0.093,14
2018-04-13T00:00:00.000000,16098.0,0.0954,0.1125,0.1125,0.0954,74
2018-04-14T00:00:00.000000,28666.0,0.1152,0.1169,0.1299,0.109,85
2018-04-15T00:00:00.000000,26380.0,0.1166,0.116,0.1213,0.1135,34
2018-04-16T00:00:00.000000,34570.0,0.1174,0.127,0.1286,0.117,48
2018-04-17T00:00:00.000000,33185.0,0.127,0.1193,0.127,0.1156,65
2018-04-18T00:00:00.000000,8632.0,0.1213,0.1251,0.1291,0.1206,73
2018-04-19T00:00:00.000000,8249.0,0.1225,0.1336,0.1336,0.1224,82
2018-04-20T00:00:00.000000,38248.0,0.1353,0.1415,0.1415,0.1346,80
2018-04-21T00:00:00.000000,43810.0,0.1419,0.1519,0.1536,0.1402,94
2018-04-22T00:00:00.000000,58405.0,0.1542,0.1547,0.1677,0.1435,104
2018-04-23T00:00:00.000000,20441.0,0.1523,0.154,0.1616,0.1492,55
2018-04-24T00:00:00.000000,833.0,0.154,0.154,0.1548,0.1512,15
2018-04-25T00:00:00.000000,35967.0,0.158,0.1625,0.1654,0.155,83
