time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-07-26T00:00:00.000000,4547712.149373333,8.65e-06,8.72e-06,9.02e-06,8.45e-06,11559
2018-07-27T00:00:00.000000,3094290.255307624,8.75e-06,8.63e-06,9.33e-06,8.52e-06,6227
2018-07-28T00:00:00.000000,4718568.815668202,8.63e-06,8.52e-06,8.8e-06,8.48e-06,6302
2018-07-29T00:00:00.000000,1322494.581707796,8.5e-06,8.46e-06,8.62e-06,8.34e-06,4917
2018-07-30T00:00:00.000000,1863409.724940404,8.48e-06,8.41e-06,8.54e-06,8.27e-06,5332
2018-07-31T00:00:00.000000,1590182.693435638,8.44e-06,8.02e-06,8.46e-06,8e-06,4234
2018-08-01T00:00:00.000000,2203175.716150126,8.02e-06,7.78e-06,8.07e-06,7.59e-06,4988
2018-08-02T00:00:00.000000,3211998.303415142,7.78e-06,7.84e-06,8.18e-06,7.64e-06,5994
2018-08-03T00:00:00.000000,3047165.07915774,7.84e-06,7.49e-06,8.21e-06,7.42e-06,5247
2018-08-04T00:00:00.000000,3770337.618350598,7.49e-06,7.51e-06,7.59e-06,7.11e-06,4243
2018-08-05T00:00:00.000000,1529319.705405127,7.46e-06,7.72e-06,7.73e-06,7.32e-06,2741
2018-08-06T00:00:00.000000,1302795.524484536,7.71e-06,7.79e-06,7.81e-06,7.62e-06,2594
2018-08-07T00:00:00.000000,1864274.0,7.8e-06,7.64e-06,7.9e-06,7.62e-06,3906
2018-08-08T00:00:00.000000,3807980.247401025,7.65e-06,7.57e-06,7.74e-06,7.5e-06,5612
2018-08-09T00:00:00.000000,5447436.757556128,7.57e-06,7.31e-06,7.57e-06,7.2e-06,8130
2018-08-10T00:00:00.000000,5715107.320652173,7.3e-06,7.27e-06,7.4e-06,7.05e-06,6025
2018-08-11T00:00:00.000000,5310112.88202584,7.27e-06,7.11e-06,7.32e-06,7e-06,6301
2018-08-12T00:00:00.000000,2479047.0,7.13e-06,6.64e-06,7.15e-06,6.59e-06,2620
