time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-10-07T00:00:00.000000,89911.486,7e-06,8e-06,8e-06,6e-06,166
2017-10-08T00:00:00.000000,80061.489,7e-06,7e-06,8e-06,6e-06,132
2017-10-09T00:00:00.000000,616592.98,7e-06,7e-06,8e-06,5e-06,325
2017-10-10T00:00:00.000000,178853.718,7e-06,5e-06,7e-06,5e-06,156
2017-10-11T00:00:00.000000,36077.97,6e-06,6e-06,6e-06,5e-06,186
2017-10-12T00:00:00.000000,183593.673,6e-06,7e-06,7e-06,5e-06,172
2017-10-13T00:00:00.000000,279351.558,6e-06,6e-06,8e-06,5e-06,364
2017-10-14T00:00:00.000000,165060.87,5e-06,6e-06,7e-06,5e-06,190
2017-10-15T00:00:00.000000,102041.799,6e-06,5e-06,7e-06,5e-06,215
2017-10-16T00:00:00.000000,185161.331,6e-06,5e-06,6e-06,4e-06,196
2017-10-17T00:00:00.000000,79045.111,5e-06,5e-06,6e-06,4e-06,255
2017-10-18T00:00:00.000000,147533.277,4e-06,5e-06,5e-06,4e-06,166
2017-10-19T00:00:00.000000,96385.613,5e-06,4e-06,6e-06,4e-06,136
2017-10-20T00:00:00.000000,6745.539,5e-06,4e-06,5e-06,4e-06,84
2017-10-21T00:00:00.000000,219126.385,5e-06,4e-06,5e-06,3e-06,228
2017-10-22T00:00:00.000000,50149.557,4e-06,4e-06,4e-06,3e-06,86
2017-10-23T00:00:00.000000,9260.339,4e-06,4e-06,4e-06,3e-06,61
2017-10-24T00:00:00.000000,68444.754,3e-06,3e-06,4e-06,3e-06,196
2017-10-25T00:00:00.000000,371806.421,3e-06,4e-06,6e-06,3e-06,472
2017-10-26T00:00:00.000000,430138.493,4e-06,5e-06,8e-06,4e-06,491
2017-10-27T00:00:00.000000,150251.154,6e-06,6e-06,7e-06,5e-06,274
2017-10-28T00:00:00.000000,220864.249,6e-06,7e-06,8e-06,5e-06,232
2017-10-29T00:00:00.000000,137114.251,6e-06,7e-06,8e-06,6e-06,168
2017-10-30T00:00:00.000000,135328.016,7e-06,6e-06,7e-06,5e-06,245
2017-10-31T00:00:00.000000,32604.007,6e-06,5e-06,6e-06,5e-06,130
2017-11-01T00:00:00.000000,99933.472,6e-06,4e-06,6e-06,4e-06,217
2017-11-02T00:00:00.000000,154239.712,5e-06,5e-06,6e-06,4e-06,288
2017-11-03T00:00:00.000000,172047.937,4e-06,3e-06,5e-06,3e-06,572
2017-11-04T00:00:00.000000,98939.292,4e-06,5e-06,5e-06,3e-06,109
2017-11-05T00:00:00.000000,64018.819,4e-06,4e-06,5e-06,3e-06,122
2017-11-06T00:00:00.000000,26583.9,4e-06,4e-06,5e-06,3e-06,80
2017-11-07T00:00:00.000000,17256.169,4e-06,5e-06,5e-06,3e-06,67
2017-11-08T00:00:00.000000,46706.921,5e-06,5e-06,5e-06,3e-06,189
2017-11-09T00:00:00.000000,183471.285,4e-06,4e-06,5e-06,4e-06,297
2017-11-10T00:00:00.000000,54904.417,4e-06,4e-06,5e-06,4e-06,150
2017-11-11T00:00:00.000000,77501.94,5e-06,5e-06,6e-06,4e-06,185
2017-11-12T00:00:00.000000,238924.845,4e-06,5e-06,6e-06,4e-06,241
2017-11-13T00:00:00.000000,95747.565,6e-06,6e-06,6e-06,4e-06,153
2017-11-14T00:00:00.000000,60104.768,4e-06,5e-06,6e-06,4e-06,524
2017-11-15T00:00:00.000000,43473.006,4e-06,6e-06,6e-06,4e-06,192
2017-11-16T00:00:00.000000,195381.94,6e-06,6e-06,6e-06,4e-06,294
2017-11-17T00:00:00.000000,350008.107,5e-06,4e-06,6e-06,4e-06,207
2017-11-18T00:00:00.000000,162067.616,5e-06,5e-06,6e-06,4e-06,240
2017-11-19T00:00:00.000000,512550.027,5e-06,6e-06,7e-06,5e-06,458
2017-11-20T00:00:00.000000,194589.52,5e-06,6e-06,7e-06,5e-06,244
2017-11-21T00:00:00.000000,352646.975,6e-06,7e-06,7e-06,5e-06,317
2017-11-22T00:00:00.000000,196543.267,6e-06,7e-06,7e-06,5e-06,269
2017-11-23T00:00:00.000000,134446.304,7e-06,6e-06,7e-06,6e-06,481
2017-11-24T00:00:00.000000,1219184.867,6e-06,9e-06,1e-05,6e-06,1042
2017-11-25T00:00:00.000000,2138232.942,9e-06,1.4e-05,1.7e-05,9e-06,1945
2017-11-26T00:00:00.000000,2206510.175,1.4e-05,1.3e-05,1.7e-05,1.1e-05,2372
2017-11-27T00:00:00.000000,1288395.011,1.4e-05,1.3e-05,1.5e-05,1e-05,1288
2017-11-28T00:00:00.000000,617416.493,1.2e-05,1e-05,1.3e-05,1e-05,973
2017-11-29T00:00:00.000000,758215.072,1e-05,1e-05,1.2e-05,7e-06,905
2017-11-30T00:00:00.000000,683989.977,9e-06,9e-06,1e-05,7e-06,666
2017-12-01T00:00:00.000000,1157477.284,8e-06,1.2e-05,1.4e-05,8e-06,1765
2017-12-02T00:00:00.000000,889982.667,1.1e-05,1.2e-05,1.3e-05,1e-05,1095
2017-12-03T00:00:00.000000,1524244.911,1.1e-05,1.4e-05,1.6e-05,1e-05,1439
2017-12-04T00:00:00.000000,1006956.171,1.5e-05,1.7e-05,1.7e-05,1.3e-05,1744
2017-12-05T00:00:00.000000,915882.982,1.6e-05,1.6e-05,1.8e-05,1.5e-05,1686
2017-12-06T00:00:00.000000,1141697.29,1.6e-05,1.5e-05,1.8e-05,1.3e-05,1552
2017-12-07T00:00:00.000000,1062287.717,1.5e-05,1.1e-05,1.5e-05,1.1e-05,1565
2017-12-08T00:00:00.000000,1192797.151,1.1e-05,1e-05,1.2e-05,8e-06,1363
2017-12-09T00:00:00.000000,577046.709,9e-06,1.2e-05,1.2e-05,8e-06,1029
2017-12-10T00:00:00.000000,555191.812,1.1e-05,1.2e-05,1.4e-05,1.1e-05,908
2017-12-11T00:00:00.000000,343110.229,1.1e-05,1e-05,1.3e-05,1e-05,653
2017-12-12T00:00:00.000000,275661.337,1e-05,1e-05,1.2e-05,1e-05,405
2017-12-13T00:00:00.000000,510089.898,1.1e-05,1.1e-05,1.1e-05,9e-06,527
2017-12-14T00:00:00.000000,364644.711,1.1e-05,1e-05,1.1e-05,9e-06,710
2017-12-15T00:00:00.000000,381907.704,1e-05,1e-05,1.1e-05,9e-06,538
2017-12-16T00:00:00.000000,260729.981,1e-05,1.1e-05,1.1e-05,9e-06,434
2017-12-17T00:00:00.000000,240115.735,1e-05,1e-05,1.1e-05,9e-06,433
2017-12-18T00:00:00.000000,353416.17,9e-06,1e-05,1.1e-05,9e-06,481
2017-12-19T00:00:00.000000,385560.471,1e-05,1.1e-05,1.1e-05,9e-06,558
2017-12-20T00:00:00.000000,355137.181,1.1e-05,1.4e-05,1.5e-05,1e-05,741
2017-12-21T00:00:00.000000,445723.265,1.4e-05,1.7e-05,1.8e-05,1.1e-05,1095
2017-12-22T00:00:00.000000,725271.664,1.6e-05,1.6e-05,1.8e-05,1.3e-05,926
2017-12-23T00:00:00.000000,290904.661,1.6e-05,1.4e-05,1.6e-05,1.3e-05,607
2017-12-24T00:00:00.000000,303811.418,1.3e-05,1.5e-05,1.5e-05,1.3e-05,513
2017-12-25T00:00:00.000000,370402.444,1.4e-05,1.8e-05,1.8e-05,1.4e-05,508
2017-12-26T00:00:00.000000,288554.22,1.8e-05,1.7e-05,1.8e-05,1.6e-05,345
2017-12-27T00:00:00.000000,362094.101,1.7e-05,1.5e-05,1.7e-05,1.4e-05,315
2017-12-28T00:00:00.000000,516132.006,1.4e-05,1.5e-05,1.7e-05,1.4e-05,424
2017-12-29T00:00:00.000000,396080.895,1.5e-05,1.7e-05,1.8e-05,1.4e-05,683
2017-12-30T00:00:00.000000,510058.071,1.6e-05,1.8e-05,1.9e-05,1.6e-05,600
2017-12-31T00:00:00.000000,487520.516,1.8e-05,1.9e-05,2e-05,1.7e-05,657
2018-01-01T00:00:00.000000,460042.275,1.9e-05,1.8e-05,1.9e-05,1.6e-05,786
2018-01-02T00:00:00.000000,195536.053,1.8e-05,1.8e-05,1.9e-05,1.7e-05,440
2018-01-03T00:00:00.000000,921751.192,1.8e-05,1.6e-05,1.8e-05,1.6e-05,833
2018-01-04T00:00:00.000000,1013707.386,1.6e-05,1.6e-05,1.7e-05,1.4e-05,839
2018-01-05T00:00:00.000000,776086.579,1.5e-05,1.4e-05,1.6e-05,1.3e-05,674
2018-01-06T00:00:00.000000,650395.14,1.4e-05,1.5e-05,1.9e-05,1.4e-05,910
2018-01-07T00:00:00.000000,528634.527,1.5e-05,1.4e-05,1.6e-05,1.3e-05,669
2018-01-08T00:00:00.000000,844632.237,1.5e-05,2.7e-05,2.7e-05,1.4e-05,1312
