time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-04-25T00:00:00.000000,9729.87,0.2265,0.2395,0.2448,0.217,133
2018-04-26T00:00:00.000000,29109.11,0.2337,0.2058,0.237,0.19,226
2018-04-27T00:00:00.000000,17339.1,0.2007,0.2193,0.2193,0.19,145
2018-04-28T00:00:00.000000,8990.34,0.2192,0.2016,0.2192,0.2016,135
2018-04-29T00:00:00.000000,10192.31,0.2032,0.2057,0.217,0.1994,158
2018-04-30T00:00:00.000000,19274.14,0.2061,0.2122,0.2231,0.2028,698
2018-05-01T00:00:00.000000,21739.96,0.2105,0.2037,0.2168,0.2034,109
2018-05-02T00:00:00.000000,57231.15,0.2038,0.2141,0.2167,0.1945,146
2018-05-03T00:00:00.000000,17967.78,0.213,0.2166,0.2206,0.208,104
2018-05-04T00:00:00.000000,13086.98,0.2164,0.2428,0.2428,0.2164,189
2018-05-05T00:00:00.000000,10604.86,0.2419,0.2324,0.2424,0.218,123
2018-05-06T00:00:00.000000,68467.42,0.2369,0.212,0.2423,0.1876,518
2018-05-07T00:00:00.000000,30824.26,0.212,0.2236,0.2307,0.2014,405
2018-05-08T00:00:00.000000,74508.2,0.2277,0.2472,0.2769,0.2043,1005
2018-05-09T00:00:00.000000,9793.1,0.2515,0.2615,0.2673,0.2324,214
2018-05-10T00:00:00.000000,36519.95,0.2625,0.2703,0.2996,0.231,285
2018-05-11T00:00:00.000000,29674.81,0.2712,0.2793,0.2999,0.2604,334
2018-05-12T00:00:00.000000,21499.07,0.2761,0.239,0.2852,0.2344,173
2018-05-13T00:00:00.000000,42664.08,0.238,0.2284,0.2461,0.22,186
2018-05-14T00:00:00.000000,11609.31,0.2249,0.225,0.2342,0.22,134
2018-05-15T00:00:00.000000,36157.57,0.2227,0.2277,0.2332,0.2057,683
2018-05-16T00:00:00.000000,14452.36,0.2289,0.2174,0.2307,0.1994,256
2018-05-17T00:00:00.000000,13591.49,0.214,0.2161,0.2176,0.2012,177
2018-05-18T00:00:00.000000,15786.4,0.2153,0.2052,0.2375,0.2052,197
2018-05-19T00:00:00.000000,15383.63,0.2051,0.2209,0.2331,0.1963,414
2018-05-20T00:00:00.000000,3932.15,0.2207,0.2161,0.2309,0.2125,67
