time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-04-25T00:00:00.000000,32772.077,0.229,0.2352,0.2423,0.2195,132
2018-04-26T00:00:00.000000,23384.342,0.2409,0.1842,0.2409,0.18,90
2018-04-27T00:00:00.000000,63496.084,0.2134,0.2149,0.2409,0.1907,115
2018-04-28T00:00:00.000000,39101.37,0.2203,0.2045,0.2271,0.2,88
2018-04-29T00:00:00.000000,24019.905,0.2045,0.2165,0.227,0.2042,99
2018-04-30T00:00:00.000000,62282.782,0.2164,0.2124,0.2266,0.2016,123
2018-05-01T00:00:00.000000,12339.316,0.2117,0.2019,0.23,0.2001,80
2018-05-02T00:00:00.000000,14330.743,0.2091,0.2123,0.246,0.2002,78
2018-05-03T00:00:00.000000,107077.807,0.2197,0.2289,0.2398,0.214,140
2018-05-04T00:00:00.000000,149434.722,0.2244,0.2429,0.2599,0.2,232
2018-05-05T00:00:00.000000,30191.538,0.2443,0.23,0.2445,0.2296,93
2018-05-06T00:00:00.000000,145153.971,0.2342,0.2298,0.245,0.22,257
2018-05-07T00:00:00.000000,115278.144,0.2298,0.2365,0.2486,0.2079,240
2018-05-08T00:00:00.000000,845746.272,0.2366,0.25,0.306,0.2085,1158
2018-05-09T00:00:00.000000,448758.816,0.2478,0.2623,0.2809,0.241,553
2018-05-10T00:00:00.000000,460144.522,0.2753,0.271,0.34,0.245,505
2018-05-11T00:00:00.000000,327443.227,0.2725,0.29,0.34,0.269,403
2018-05-12T00:00:00.000000,285308.296,0.29,0.2247,0.3,0.2247,365
2018-05-13T00:00:00.000000,201651.209,0.2292,0.2196,0.2455,0.2067,324
2018-05-14T00:00:00.000000,103249.323,0.2239,0.22,0.234,0.2123,151
2018-05-15T00:00:00.000000,87676.549,0.22,0.2218,0.23,0.2039,496
2018-05-16T00:00:00.000000,63799.637,0.2217,0.21,0.2306,0.2021,216
2018-05-17T00:00:00.000000,194480.71,0.2051,0.211,0.2188,0.1904,125
2018-05-18T00:00:00.000000,40869.238,0.2086,0.1982,0.2156,0.1982,87
2018-05-19T00:00:00.000000,113168.85,0.1939,0.2161,0.2254,0.1842,514
2018-05-20T00:00:00.000000,94152.722,0.2161,0.2137,0.2246,0.21,168
2018-05-21T00:00:00.000000,476238.8,0.2127,0.2355,0.2499,0.2127,559
2018-05-22T00:00:00.000000,181464.292,0.2393,0.226,0.2393,0.223,228
2018-05-23T00:00:00.000000,44886.272,0.223,0.2184,0.226,0.2169,61
2018-05-24T00:00:00.000000,99902.311,0.2175,0.175,0.2175,0.175,118
2018-05-25T00:00:00.000000,54777.44,0.1933,0.183,0.1933,0.168,48
2018-05-26T00:00:00.000000,151187.881,0.184,0.1719,0.1999,0.1701,137
2018-05-27T00:00:00.000000,7412.021,0.1725,0.168,0.1791,0.168,37
2018-05-28T00:00:00.000000,42735.885,0.167,0.163,0.1684,0.163,81
2018-05-29T00:00:00.000000,15081.417,0.1673,0.1597,0.1694,0.1521,48
2018-06-06T00:00:00.000000,71939.472,0.1484,0.1515,0.1558,0.1443,64
2018-06-07T00:00:00.000000,1721.875,0.1515,0.1475,0.1515,0.1475,7
2018-06-08T00:00:00.000000,98326.608,0.148,0.145,0.1487,0.1202,65
2018-06-09T00:00:00.000000,35382.717,0.1433,0.1365,0.1441,0.1364,52
2018-06-10T00:00:00.000000,28878.703,0.1352,0.1256,0.1357,0.1209,57
2018-06-11T00:00:00.000000,122263.893,0.1314,0.0979,0.1314,0.0901,165
2018-06-12T00:00:00.000000,31620.693,0.098,0.11,0.11,0.095,48
2018-06-13T00:00:00.000000,61749.144,0.1117,0.1028,0.1196,0.0992,159
2018-06-14T00:00:00.000000,47146.569,0.0998,0.093,0.1,0.09,65
2018-06-15T00:00:00.000000,29948.152,0.093,0.1019,0.1027,0.093,50
2018-06-16T00:00:00.000000,28933.842,0.1016,0.0968,0.1023,0.0968,45
2018-06-17T00:00:00.000000,545.488,0.0961,0.0972,0.101,0.0961,3
2018-06-18T00:00:00.000000,20.0,0.0944,0.0944,0.0944,0.0944,1
2018-06-19T00:00:00.000000,23684.378,0.0944,0.0995,0.0995,0.0921,31
2018-06-20T00:00:00.000000,58844.677,0.0979,0.0951,0.1015,0.0951,48
2018-06-21T00:00:00.000000,2623.715,0.0931,0.0944,0.0985,0.0926,28
2018-06-22T00:00:00.000000,52643.652,0.0933,0.094,0.107,0.0921,45
2018-06-23T00:00:00.000000,54802.136,0.0989,0.08,0.107,0.08,95
2018-06-24T00:00:00.000000,101852.59,0.08,0.0851,0.0855,0.0747,59
2018-06-25T00:00:00.000000,10152.297,0.0835,0.0816,0.084,0.0772,22
2018-06-27T00:00:00.000000,11023.028,0.0849,0.0856,0.0896,0.079,53
2018-06-28T00:00:00.000000,22721.91,0.0832,0.0801,0.0832,0.0791,50
2018-06-29T00:00:00.000000,71576.698,0.082,0.0769,0.082,0.0769,66
2018-06-30T00:00:00.000000,277.282,0.0709,0.0799,0.0799,0.0709,5
2018-07-01T00:00:00.000000,1522.614,0.078,0.0855,0.0855,0.078,9
2018-07-02T00:00:00.000000,13527.99,0.0855,0.083,0.0897,0.0701,27
2018-07-03T00:00:00.000000,156405.934,0.083,0.0908,0.0986,0.0822,167
2018-07-04T00:00:00.000000,20917.704,0.0925,0.0883,0.0968,0.0883,52
2018-07-05T00:00:00.000000,11108.665,0.0876,0.0856,0.0914,0.0819,45
2018-07-06T00:00:00.000000,7198.656,0.0874,0.0859,0.088,0.0859,29
2018-07-07T00:00:00.000000,71134.443,0.0865,0.097,0.1085,0.0754,89
2018-07-08T00:00:00.000000,83763.126,0.0966,0.09,0.1087,0.09,27
2018-07-09T00:00:00.000000,62.741,0.0915,0.0916,0.0916,0.0915,2
2018-07-10T00:00:00.000000,19218.808,0.0903,0.0893,0.0913,0.0884,47
2018-07-11T00:00:00.000000,35003.365,0.091,0.0809,0.091,0.075,57
2018-07-12T00:00:00.000000,7960.443,0.0825,0.0786,0.0825,0.075,30
2018-07-13T00:00:00.000000,21000.336,0.0767,0.0697,0.0791,0.0684,38
2018-07-14T00:00:00.000000,62618.436,0.0742,0.0664,0.0839,0.0664,116
2018-07-15T00:00:00.000000,8897.805,0.0685,0.0686,0.0798,0.0684,28
2018-07-16T00:00:00.000000,20255.686,0.0651,0.0717,0.0717,0.0651,36
2018-07-17T00:00:00.000000,316781.323,0.0717,0.116,0.116,0.0695,321
2018-07-18T00:00:00.000000,541822.821,0.1135,0.0935,0.1322,0.0901,580
2018-07-19T00:00:00.000000,254741.671,0.0929,0.0922,0.1102,0.0911,249
2018-07-20T00:00:00.000000,27663.244,0.0903,0.0832,0.0903,0.0828,130
2018-07-21T00:00:00.000000,61517.494,0.0812,0.0805,0.0812,0.0708,103
2018-07-22T00:00:00.000000,52063.896,0.076,0.0908,0.1,0.0759,88
2018-07-23T00:00:00.000000,90871.389,0.0908,0.0899,0.0927,0.0831,119
2018-07-24T00:00:00.000000,12818.74,0.0944,0.0845,0.0944,0.0732,73
2018-07-25T00:00:00.000000,89727.275,0.0845,0.0843,0.0845,0.0792,111
2018-07-26T00:00:00.000000,51089.138,0.0817,0.089,0.0938,0.0766,50
2018-07-27T00:00:00.000000,8292.649,0.0765,0.0765,0.0844,0.0765,52
2018-07-28T00:00:00.000000,7531.291,0.0767,0.0725,0.0767,0.0718,19
2018-07-29T00:00:00.000000,31485.439,0.0735,0.0778,0.091,0.0735,28
2018-07-30T00:00:00.000000,5458.17,0.0755,0.0748,0.0755,0.0748,6
2018-07-31T00:00:00.000000,4629.227,0.0736,0.0799,0.0799,0.069,14
2018-08-01T00:00:00.000000,37417.774,0.0789,0.0631,0.0789,0.0631,41
2018-08-02T00:00:00.000000,6584.794,0.0631,0.057,0.0631,0.057,37
2018-08-03T00:00:00.000000,62.912,0.0566,0.0566,0.0566,0.0566,1
2018-08-04T00:00:00.000000,20352.407,0.0561,0.07,0.07,0.0561,29
2018-08-05T00:00:00.000000,124820.267,0.0697,0.0699,0.07,0.0551,72
2018-08-06T00:00:00.000000,128663.965,0.0698,0.0518,0.0698,0.0515,34
2018-08-07T00:00:00.000000,1530.2,0.0586,0.0539,0.0586,0.0535,7
2018-08-08T00:00:00.000000,6283.179,0.0539,0.0653,0.0666,0.0502,10
2018-08-09T00:00:00.000000,86790.972,0.0507,0.0454,0.06,0.0453,58
2018-08-10T00:00:00.000000,64097.492,0.0454,0.0478,0.0576,0.0425,56
