time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-09-22T00:00:00.000000,11873.7083507,1.861,1.5892926,1.86765485,1.5431813,608
2017-09-23T00:00:00.000000,16505.24665148,1.59595366,2.06630255,2.5,1.58095461,1586
2017-09-24T00:00:00.000000,11255.07710387,2.0607396,2.0943735,2.19375205,1.97514126,669
2017-09-25T00:00:00.000000,9642.51774488,2.1043475,2.0652873,2.16162028,2.0,417
2017-09-26T00:00:00.000000,12417.0833323,2.0652873,2.3565831,2.40238424,2.0652873,806
2017-09-27T00:00:00.000000,10121.66057001,2.3565831,2.5664145,2.68324769,2.29705895,628
2017-09-28T00:00:00.000000,10022.75478514,2.5664145,3.0461446,3.0492729,2.5664145,676
2017-09-29T00:00:00.000000,9885.74849282,3.0461446,2.7620005,3.06899068,2.56515879,650
2017-09-30T00:00:00.000000,13565.02938033,2.7620005,2.5110818,2.7620005,2.34505959,739
2017-10-01T00:00:00.000000,10535.98582608,2.5110818,2.6663373,2.69734598,2.48164678,402
2017-10-02T00:00:00.000000,11279.63604741,2.67963562,2.74359339,2.74714122,2.57579186,557
2017-10-03T00:00:00.000000,14004.71412487,2.74714122,2.4132141,2.75510618,2.40167493,711
2017-10-04T00:00:00.000000,14867.07095446,2.42356861,2.2767122,2.4606479,2.20908872,547
2017-10-05T00:00:00.000000,10834.72858286,2.28806733,2.1674899,2.31038038,2.11174111,480
2017-10-06T00:00:00.000000,14440.7088322,2.1674899,2.118806,2.17485922,1.96208934,639
2017-10-07T00:00:00.000000,13090.04213582,2.118806,2.1409692,2.27611069,2.11650562,436
2017-10-08T00:00:00.000000,12592.88366672,2.1409692,2.0753814,2.15595771,2.01689822,446
2017-10-09T00:00:00.000000,19386.82239007,2.0753814,1.9082897,2.09656491,1.86027392,1018
2017-10-10T00:00:00.000000,14870.19166567,1.90244479,1.8726094,2.03036174,1.81494676,785
2017-10-11T00:00:00.000000,12493.75991379,1.8771083,2.0263555,2.06541661,1.86027392,553
2017-10-12T00:00:00.000000,12413.26149941,2.03307788,2.2293843,2.25746476,2.00366699,576
2017-10-13T00:00:00.000000,13854.17008994,2.21981859,2.06181344,2.24065981,1.95152598,700
2017-10-14T00:00:00.000000,14420.36865212,2.06181344,1.9805442,2.0687711,1.95508002,708
2017-10-15T00:00:00.000000,12107.38454826,1.9805442,1.91320801,1.99268976,1.86679609,489
2017-10-16T00:00:00.000000,11200.76939632,1.9052229,1.9492102,1.98272078,1.80234688,482
2017-10-17T00:00:00.000000,13914.45199652,1.9492102,1.9182011,1.95868654,1.84,437
2017-10-18T00:00:00.000000,14390.81068374,1.9182011,1.86716935,1.92604958,1.82696777,341
2017-10-19T00:00:00.000000,15568.63489747,1.8677523,1.9860502,1.98817701,1.81303325,605
2017-10-20T00:00:00.000000,15511.27420975,1.9860502,1.9826913,2.04849669,1.90862135,468
2017-10-21T00:00:00.000000,18077.88173072,1.99139599,1.7800515,1.99139599,1.773,644
2017-10-22T00:00:00.000000,20715.76328861,1.7800515,1.77551817,1.81766728,1.68456366,883
2017-10-23T00:00:00.000000,19024.36604018,1.7689565,1.78892991,1.88685994,1.7492753,594
2017-10-24T00:00:00.000000,18520.93366813,1.78363475,1.7069992,1.79255293,1.56308767,698
2017-10-25T00:00:00.000000,21847.03618839,1.7069992,1.88685994,1.96197412,1.6998449,1153
2017-10-26T00:00:00.000000,13988.33958725,1.88685994,1.8049066,1.91526897,1.77,406
2017-10-27T00:00:00.000000,17494.26999034,1.8049066,1.7793313,1.92963349,1.76322037,453
2017-10-28T00:00:00.000000,15131.64280709,1.7793313,1.7984334,1.82209666,1.74927529,342
2017-10-29T00:00:00.000000,15050.41695683,1.7984334,1.7420189,1.81766728,1.73625339,287
2017-10-30T00:00:00.000000,13198.74835959,1.7420189,1.71172298,1.79593119,1.71049968,345
2017-10-31T00:00:00.000000,13943.31885737,1.7187554,1.79020532,1.80332505,1.69776643,413
2017-11-01T00:00:00.000000,11645.74637214,1.77384838,1.7936048,1.82904343,1.75955038,256
2017-11-02T00:00:00.000000,18473.17606994,1.78892991,1.56000011,1.7936048,1.54378681,1040
2017-11-03T00:00:00.000000,21601.84230051,1.56000011,1.55047543,1.5649507,1.43898588,1095
2017-11-04T00:00:00.000000,20634.66818765,1.55357706,1.732347,1.81576799,1.55064569,1087
2017-11-05T00:00:00.000000,20206.58775671,1.732347,1.6560384,1.7406726,1.64175129,413
