time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-06-12T00:00:00.000000,100123.45574165,787.0,843.0,847.0,757.0,387
2018-06-13T00:00:00.000000,433561.1841225,842.0,730.0,850.0,711.0,1117
2018-06-14T00:00:00.000000,252719.28090573,730.0,677.0,749.0,657.0,726
2018-06-15T00:00:00.000000,420849.70857762,677.0,695.0,701.0,659.0,949
2018-06-16T00:00:00.000000,228957.04420932,687.0,689.0,705.0,681.0,518
2018-06-17T00:00:00.000000,83059.57924736,691.0,675.0,697.0,662.0,312
2018-06-18T00:00:00.000000,181228.27414378,679.0,691.0,703.0,666.0,595
2018-06-19T00:00:00.000000,106468.21672924,689.0,690.0,691.0,662.0,522
2018-06-20T00:00:00.000000,305693.86699449,691.0,689.0,709.0,673.0,555
2018-06-21T00:00:00.000000,180473.73647817,687.0,671.0,689.0,621.0,461
2018-06-22T00:00:00.000000,231906.07568962,672.0,657.0,683.0,650.0,373
2018-06-23T00:00:00.000000,151766.18042792,658.0,608.0,668.0,595.0,684
2018-06-24T00:00:00.000000,90894.22458636,597.0,603.0,619.0,587.0,339
2018-06-25T00:00:00.000000,88246.69992927,594.0,586.0,601.0,523.0,417
2018-06-26T00:00:00.000000,54952.49791867,585.0,581.0,614.0,558.0,420
2018-06-27T00:00:00.000000,104275.29907068,581.0,545.0,605.0,534.0,301
2018-06-28T00:00:00.000000,277481.77747421,554.0,561.0,580.0,520.0,779
2018-06-29T00:00:00.000000,7189724.48332763,561.0,806.0,1200.0,542.0,7303
2018-06-30T00:00:00.000000,21021161.74383272,821.0,3219.0,4998.0,725.0,24993
2018-07-01T00:00:00.000000,17265249.430580962,3210.0,2702.0,3500.0,2088.0,34878
2018-07-02T00:00:00.000000,10168068.77698943,2768.0,2678.0,2975.0,1811.0,20211
2018-07-03T00:00:00.000000,10523275.49814856,2678.0,2617.0,3300.0,2450.0,19783
2018-07-04T00:00:00.000000,11438702.528203012,2600.0,2792.0,4059.0,2600.0,23281
2018-07-05T00:00:00.000000,3792307.91046196,2792.0,2720.0,3118.0,2345.0,10996
2018-07-06T00:00:00.000000,3658255.0285488,2720.0,2461.0,2939.0,1701.0,10376
2018-07-07T00:00:00.000000,4091759.07483712,2432.0,2070.0,2817.0,2058.0,11299
2018-07-08T00:00:00.000000,1777727.08401229,2069.0,2210.0,2400.0,1830.0,5426
2018-07-09T00:00:00.000000,5443298.95109846,2216.0,2321.0,2841.0,2091.0,11135
2018-07-10T00:00:00.000000,5408569.7774971,2321.0,2432.0,2720.0,2271.0,11942
2018-07-11T00:00:00.000000,6937485.91457611,2431.0,2583.0,2999.0,2288.0,15131
2018-07-12T00:00:00.000000,12203100.66043924,2560.0,2959.0,3840.0,2411.0,22531
2018-07-13T00:00:00.000000,18715775.89592084,2959.0,3261.0,3720.0,2630.0,41005
2018-07-14T00:00:00.000000,24676330.58663325,3262.0,4111.0,4414.0,3166.0,59260
2018-07-15T00:00:00.000000,18992430.47615532,4109.0,4535.0,4990.0,3955.0,55973
2018-07-16T00:00:00.000000,8177365.5773641,4534.0,4832.0,4979.0,4335.0,32206
2018-07-17T00:00:00.000000,54535128.15249933,4832.0,9209.0,11300.0,4755.0,188328
2018-07-18T00:00:00.000000,13323543.33648608,9238.0,8335.0,10129.0,7622.0,64583
2018-07-19T00:00:00.000000,3617893.62209353,8335.0,7876.0,9000.0,7306.0,25444
2018-07-20T00:00:00.000000,2196164.96121104,7875.0,7060.0,7876.0,6500.0,14604
2018-07-21T00:00:00.000000,7324532.39015891,7060.0,8286.0,9479.0,6900.0,43290
2018-07-22T00:00:00.000000,2196272.39582813,8287.0,8147.0,8509.0,8009.0,14734
2018-07-23T00:00:00.000000,3844486.20220586,8141.0,7639.0,8880.0,7101.0,23268
2018-07-24T00:00:00.000000,2004438.39312344,7639.0,7572.0,8400.0,7342.0,14057
2018-07-25T00:00:00.000000,2820518.13581977,7563.0,6065.0,7640.0,4550.0,15064
2018-07-26T00:00:00.000000,2793429.177384639,6570.0,7094.0,8100.0,6300.0,17033
2018-07-27T00:00:00.000000,801792.628890039,7170.0,6790.0,7310.0,6270.0,6740
2018-07-28T00:00:00.000000,2607399.194775713,6780.0,7759.0,8169.0,6600.0,15159
2018-07-29T00:00:00.000000,3861542.368624729,7759.0,7407.0,8362.0,7080.0,23546
2018-07-30T00:00:00.000000,928144.600864933,7414.0,7349.0,7672.0,7133.0,6986
2018-07-31T00:00:00.000000,861390.578199289,7311.0,7102.0,7577.0,6587.0,6518
2018-08-01T00:00:00.000000,1084823.218531326,7090.0,6845.0,7450.0,5600.0,8167
2018-08-02T00:00:00.000000,489469.939416974,6754.0,6500.0,6970.0,6400.0,4023
2018-08-03T00:00:00.000000,1928636.64093287,6500.0,5696.0,7098.0,4680.0,11893
