time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-04-21T00:00:00.000000,69821.398,1.6062,1.572,1.6526,1.53,411
2018-04-22T00:00:00.000000,49472.626,1.5714,1.54,1.63,1.5002,311
2018-04-23T00:00:00.000000,61379.35,1.53,1.5164,1.6685,1.5002,339
2018-04-24T00:00:00.000000,41591.3181,1.5571,1.6099,1.9,1.5571,238
2018-04-25T00:00:00.000000,82324.765,1.6098,1.685,1.7999,1.6098,405
2018-04-26T00:00:00.000000,55978.42,1.6701,1.3594,1.6726,1.35,283
2018-04-27T00:00:00.000000,34592.949,1.3981,1.5325,1.71,1.3662,137
2018-04-28T00:00:00.000000,23079.237,1.5336,1.473,1.617,1.473,169
2018-04-29T00:00:00.000000,28824.222,1.4727,1.4908,1.5554,1.419,140
2018-04-30T00:00:00.000000,66068.79,1.5505,1.5065,1.688,1.2,278
2018-05-01T00:00:00.000000,32639.257,1.5072,1.566,1.6485,1.4994,267
2018-05-02T00:00:00.000000,45489.271,1.5205,1.6173,1.65,1.292,307
2018-05-03T00:00:00.000000,47111.784,1.6262,1.6455,1.6455,1.5753,209
2018-05-04T00:00:00.000000,35364.256,1.6455,1.6207,1.6646,1.5916,282
2018-05-05T00:00:00.000000,20992.163,1.6187,1.6582,1.68,1.5926,183
2018-05-06T00:00:00.000000,73164.298,1.6581,1.566,1.7283,1.5258,433
2018-05-07T00:00:00.000000,71615.989,1.5599,1.4291,1.57,1.3987,373
2018-05-08T00:00:00.000000,783827.412,1.4423,1.4173,1.4424,1.3,2099
2018-05-09T00:00:00.000000,1644755.502,1.4136,1.3732,1.5333,1.3561,4134
2018-05-10T00:00:00.000000,1722154.133,1.3561,1.3471,1.4134,1.2856,4085
2018-05-11T00:00:00.000000,1640684.995,1.3467,1.2636,1.3863,1.2626,3985
2018-05-12T00:00:00.000000,1669674.78,1.2678,1.1429,1.36,1.1183,4232
2018-05-13T00:00:00.000000,1633683.658,1.139,1.1549,1.1921,1.0576,4078
2018-05-14T00:00:00.000000,1537813.323,1.1565,1.2492,1.2541,1.1402,3740
2018-05-15T00:00:00.000000,1637317.903,1.2472,1.3035,1.44,1.1205,4090
2018-05-16T00:00:00.000000,1986945.064,1.3036,1.3024,1.3611,1.2,4625
2018-05-17T00:00:00.000000,2700390.29,1.3006,1.4342,1.777,1.1894,6019
2018-05-18T00:00:00.000000,1970776.427,1.4284,1.2619,1.4398,1.2581,4343
2018-05-19T00:00:00.000000,1733809.133,1.2643,1.3165,1.3563,1.2006,4060
2018-05-20T00:00:00.000000,1744172.85,1.3161,1.2635,1.3342,1.2357,3901
2018-05-21T00:00:00.000000,1542317.393,1.2687,1.2639,1.2824,1.2415,3565
2018-05-22T00:00:00.000000,1732415.179,1.276,1.1835,1.2811,1.1645,3969
2018-05-23T00:00:00.000000,1621566.64,1.1761,1.0898,1.1942,1.0834,3746
2018-05-24T00:00:00.000000,1765784.615,1.0923,0.9477,1.0946,0.9355,3889
2018-05-25T00:00:00.000000,1846134.478,0.9524,1.0023,1.008,0.9142,3945
2018-05-26T00:00:00.000000,1668956.883,1.0048,0.9803,1.011,0.9544,3793
2018-05-27T00:00:00.000000,1638467.744,0.9858,0.9957,1.0304,0.9742,3679
2018-05-28T00:00:00.000000,1789425.525,0.998,0.9622,1.0019,0.9542,3697
2018-05-29T00:00:00.000000,1162969.312,0.9635,0.9065,0.9738,0.901,2601
2018-06-06T00:00:00.000000,234767.967,0.905,0.91,0.9104,0.8996,533
2018-06-07T00:00:00.000000,1605458.523,0.9103,0.8985,0.9324,0.8784,3806
2018-06-08T00:00:00.000000,1743885.141,0.8948,0.898,0.9266,0.89,3890
2018-06-09T00:00:00.000000,1608529.69,0.8986,0.8889,0.9524,0.8603,3826
2018-06-10T00:00:00.000000,1571355.238,0.8888,0.8401,0.8941,0.8379,3655
2018-06-11T00:00:00.000000,1871423.161,0.8398,0.7228,0.8464,0.6946,4458
2018-06-12T00:00:00.000000,1788438.426,0.7223,0.7614,0.7615,0.6872,4197
2018-06-13T00:00:00.000000,1827706.701,0.7614,0.6518,0.7649,0.6492,4194
2018-06-14T00:00:00.000000,1822947.873,0.6516,0.5993,0.6546,0.5801,4091
2018-06-15T00:00:00.000000,1749005.169,0.5973,0.6367,0.6418,0.5917,4002
2018-06-16T00:00:00.000000,1712483.783,0.6362,0.6133,0.637,0.6077,3874
2018-06-17T00:00:00.000000,1649944.048,0.6144,0.6077,0.6257,0.5951,3713
2018-06-18T00:00:00.000000,1717268.43,0.6064,0.6163,0.622,0.5968,3747
2018-06-19T00:00:00.000000,1615570.328,0.6163,0.6293,0.6316,0.6007,3646
2018-06-20T00:00:00.000000,1723933.571,0.6294,0.6328,0.6352,0.6117,3712
2018-06-21T00:00:00.000000,1645137.145,0.6321,0.6152,0.6353,0.6039,3752
2018-06-22T00:00:00.000000,1577854.087,0.6159,0.6005,0.6203,0.593,3777
2018-06-23T00:00:00.000000,1733318.763,0.6016,0.5255,0.602,0.5125,3990
2018-06-24T00:00:00.000000,1598481.963,0.5263,0.5234,0.55,0.5138,3650
2018-06-25T00:00:00.000000,1573581.221,0.5235,0.5208,0.5323,0.4631,3834
2018-06-26T00:00:00.000000,1667646.65,0.5196,0.5189,0.5518,0.5083,3734
2018-06-27T00:00:00.000000,1576926.63,0.5187,0.4893,0.5214,0.4869,3632
2018-06-28T00:00:00.000000,1528674.239,0.4873,0.5029,0.5029,0.4616,3576
2018-06-29T00:00:00.000000,1835330.293,0.5003,0.5234,0.6039,0.4508,4638
2018-06-30T00:00:00.000000,2200197.407,0.5246,0.7425,0.771,0.5162,6107
2018-07-01T00:00:00.000000,2650185.463,0.7425,0.7708,0.9499,0.7154,8443
2018-07-02T00:00:00.000000,2133388.72,0.7708,0.7421,0.7791,0.6996,5979
2018-07-03T00:00:00.000000,2064185.695,0.7412,0.786,0.8069,0.7,5093
2018-07-04T00:00:00.000000,1751572.703,0.7861,0.7308,0.8124,0.73,4448
2018-07-05T00:00:00.000000,1776298.895,0.7303,0.7003,0.7335,0.68,4431
2018-07-06T00:00:00.000000,1736482.023,0.7009,0.6771,0.7054,0.6647,4133
2018-07-07T00:00:00.000000,1704292.712,0.6779,0.6321,0.6806,0.6,4042
2018-07-08T00:00:00.000000,1702290.72,0.63,0.6446,0.65,0.62,3785
2018-07-09T00:00:00.000000,1614148.637,0.6445,0.6397,0.6601,0.6372,3594
2018-07-10T00:00:00.000000,1674687.774,0.6399,0.6265,0.6664,0.5589,3885
2018-07-11T00:00:00.000000,1918346.032,0.6252,0.5883,0.6796,0.5849,4544
2018-07-12T00:00:00.000000,1838740.825,0.5897,0.5939,0.6606,0.55,4685
2018-07-13T00:00:00.000000,1819681.492,0.5963,0.5985,0.6297,0.5637,4312
2018-07-14T00:00:00.000000,2301648.783,0.6,0.6926,0.8782,0.5999,6312
2018-07-15T00:00:00.000000,1669517.412,0.6916,0.7438,0.82,0.6873,4600
2018-07-16T00:00:00.000000,1476896.309,0.7444,0.7328,0.749,0.7146,3452
2018-07-17T00:00:00.000000,3343644.503,0.7321,1.0897,1.2397,0.7285,10588
2018-07-18T00:00:00.000000,3679444.678,1.0901,1.3198,1.48,1.0901,12424
2018-07-19T00:00:00.000000,2151449.021,1.3198,1.1183,1.3335,1.1,6610
2018-07-20T00:00:00.000000,2099961.664,1.1148,1.1275,1.26,1.04,5971
2018-07-21T00:00:00.000000,1969724.734,1.1235,0.9562,1.1283,0.9284,5365
2018-07-22T00:00:00.000000,1881604.283,0.9562,1.0032,1.0354,0.9483,4772
2018-07-23T00:00:00.000000,2141330.156,1.0053,1.0202,1.2,0.9843,5499
2018-07-24T00:00:00.000000,2196677.227,1.0192,0.9501,1.1127,0.9412,5616
2018-07-25T00:00:00.000000,1966519.721,0.9492,0.9286,0.9582,0.89,5135
2018-07-26T00:00:00.000000,2156412.46,0.9274,0.912,0.9424,0.8556,5693
2018-07-27T00:00:00.000000,1891687.012,0.9127,0.9015,0.94,0.8946,4468
2018-07-28T00:00:00.000000,1912249.175,0.9037,0.8955,0.9898,0.8455,4868
2018-07-29T00:00:00.000000,2071911.977,0.8963,1.0078,1.1,0.8922,4903
2018-07-30T00:00:00.000000,2311695.767,1.0056,1.0166,1.1616,0.9814,7318
2018-07-31T00:00:00.000000,1947451.107,1.0155,0.9579,1.0167,0.9181,4749
2018-08-01T00:00:00.000000,1973494.204,0.9595,0.8323,0.9601,0.83,4510
2018-08-02T00:00:00.000000,1747380.818,0.8326,0.795,0.86,0.7635,4075
2018-08-03T00:00:00.000000,1864522.758,0.7944,0.8293,0.9599,0.7939,4989
2018-08-04T00:00:00.000000,1895274.02,0.8301,0.7408,0.8312,0.7001,4674
2018-08-05T00:00:00.000000,1827663.782,0.7412,0.7105,0.7661,0.673,4300
