time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-08-28T00:00:00.000000,70394.264,5.6e-05,7.6e-05,7.6e-05,5.4e-05,491
2017-08-29T00:00:00.000000,104609.074,6.8e-05,6.9e-05,8.2e-05,5.6e-05,1139
2017-08-30T00:00:00.000000,129954.56,6.8e-05,7.1e-05,8.2e-05,5.9e-05,664
2017-08-31T00:00:00.000000,285936.835,6.5e-05,5e-05,7.5e-05,4e-05,1513
2017-09-01T00:00:00.000000,381498.115,4.9e-05,4.8e-05,5.6e-05,4.4e-05,1366
2017-09-02T00:00:00.000000,399360.817,4.6e-05,4.1e-05,5.1e-05,3.8e-05,1720
2017-09-03T00:00:00.000000,435449.82,3.8e-05,3.6e-05,4.2e-05,3.3e-05,1613
2017-09-04T00:00:00.000000,394710.363,3.4e-05,3.7e-05,4.3e-05,3.3e-05,1413
2017-09-05T00:00:00.000000,829352.383,3.5e-05,3e-05,4e-05,2.7e-05,1966
2017-09-06T00:00:00.000000,488177.544,2.9e-05,3.1e-05,3.3e-05,2.7e-05,1590
2017-09-07T00:00:00.000000,427455.423,2.9e-05,2.8e-05,3.2e-05,2.4e-05,1151
2017-09-08T00:00:00.000000,524471.845,2.7e-05,3.4e-05,3.5e-05,2.6e-05,2032
2017-09-09T00:00:00.000000,394742.898,3.4e-05,2.9e-05,3.4e-05,2.7e-05,1552
2017-09-10T00:00:00.000000,301354.018,2.9e-05,3e-05,3e-05,2.7e-05,1245
2017-09-11T00:00:00.000000,413117.633,3.2e-05,2.8e-05,3.2e-05,2.6e-05,1124
2017-09-12T00:00:00.000000,339978.595,2.7e-05,2.8e-05,3e-05,2.7e-05,677
2017-09-13T00:00:00.000000,859240.635,2.8e-05,3.8e-05,3.9e-05,2.8e-05,2582
2017-09-14T00:00:00.000000,780942.039,3.7e-05,3.8e-05,4.7e-05,3.5e-05,1981
2017-09-15T00:00:00.000000,785255.519,3.8e-05,3.6e-05,4.1e-05,3e-05,1116
2017-09-16T00:00:00.000000,541261.833,3.5e-05,3.4e-05,3.7e-05,2e-05,1032
2017-09-17T00:00:00.000000,682150.086,3.5e-05,3.3e-05,4e-05,2.9e-05,1471
2017-09-18T00:00:00.000000,482412.331,3.3e-05,2.8e-05,3.4e-05,2.6e-05,879
2017-09-19T00:00:00.000000,488012.296,2.9e-05,2.6e-05,3e-05,2.5e-05,1274
2017-09-20T00:00:00.000000,370059.286,2.6e-05,2.5e-05,2.9e-05,2.3e-05,861
2017-09-21T00:00:00.000000,452611.596,2.3e-05,2.5e-05,2.6e-05,2.2e-05,1021
2017-09-22T00:00:00.000000,358959.466,2.5e-05,2.4e-05,2.6e-05,2.3e-05,907
2017-09-23T00:00:00.000000,361463.433,2.3e-05,2.5e-05,2.7e-05,2.3e-05,790
2017-09-24T00:00:00.000000,166112.89,2.5e-05,2.3e-05,2.6e-05,2.3e-05,352
2017-09-25T00:00:00.000000,257369.469,2.4e-05,2.1e-05,2.4e-05,2e-05,326
2017-09-26T00:00:00.000000,1046410.301,2e-05,2e-05,2.2e-05,1.1e-05,1209
2017-09-27T00:00:00.000000,868675.532,2e-05,2.2e-05,2.3e-05,1.8e-05,1280
2017-09-28T00:00:00.000000,1331324.337,2.2e-05,2.3e-05,2.6e-05,2e-05,1768
2017-09-29T00:00:00.000000,935369.815,2.3e-05,2.1e-05,2.4e-05,2e-05,1376
2017-09-30T00:00:00.000000,523593.165,2.2e-05,1.9e-05,2.2e-05,1.8e-05,852
2017-10-01T00:00:00.000000,117561.462,1.9e-05,1.9e-05,2.1e-05,1.9e-05,408
2017-10-02T00:00:00.000000,202538.645,2e-05,1.8e-05,2e-05,1.8e-05,247
2017-10-03T00:00:00.000000,201406.36,1.9e-05,1.7e-05,1.9e-05,1.7e-05,295
2017-10-04T00:00:00.000000,213455.373,1.8e-05,2e-05,2e-05,1.6e-05,458
2017-10-05T00:00:00.000000,293782.304,2e-05,1.8e-05,2e-05,1.7e-05,331
2017-10-06T00:00:00.000000,136150.857,1.8e-05,1.8e-05,1.8e-05,1.6e-05,224
2017-10-07T00:00:00.000000,67017.649,1.6e-05,1.8e-05,1.8e-05,1.6e-05,200
2017-10-08T00:00:00.000000,82117.572,1.6e-05,1.6e-05,1.8e-05,1.6e-05,251
2017-10-09T00:00:00.000000,326588.95,1.6e-05,1.4e-05,1.6e-05,1.4e-05,287
2017-10-10T00:00:00.000000,274834.972,1.4e-05,1.1e-05,1.5e-05,1e-05,250
2017-10-11T00:00:00.000000,211481.585,1.1e-05,1.1e-05,1.3e-05,1e-05,266
2017-10-12T00:00:00.000000,78834.505,1.2e-05,1.2e-05,1.3e-05,1.1e-05,113
2017-10-13T00:00:00.000000,99504.172,1.1e-05,1e-05,1.4e-05,1e-05,93
2017-10-14T00:00:00.000000,286606.069,1.1e-05,1e-05,1.1e-05,9e-06,227
2017-10-15T00:00:00.000000,51578.865,9e-06,1e-05,1.1e-05,8e-06,186
2017-10-16T00:00:00.000000,30896.381,9e-06,9e-06,1e-05,9e-06,40
2017-10-17T00:00:00.000000,41519.303,9e-06,9e-06,1e-05,9e-06,40
2017-10-18T00:00:00.000000,47305.885,9e-06,9e-06,1e-05,9e-06,82
2017-10-19T00:00:00.000000,55212.141,1e-05,9e-06,1.1e-05,9e-06,133
2017-10-20T00:00:00.000000,118682.507,1e-05,9e-06,1e-05,9e-06,58
2017-10-21T00:00:00.000000,42432.91,9e-06,9e-06,1e-05,8e-06,52
2017-10-22T00:00:00.000000,67575.386,8e-06,7e-06,9e-06,7e-06,72
2017-10-23T00:00:00.000000,96233.684,8e-06,7e-06,9e-06,7e-06,85
2017-10-24T00:00:00.000000,34631.52,9e-06,7e-06,9e-06,7e-06,37
2017-10-25T00:00:00.000000,97230.603,8e-06,9e-06,1e-05,8e-06,101
2017-10-26T00:00:00.000000,129227.832,8e-06,9e-06,1e-05,8e-06,165
2017-10-27T00:00:00.000000,87089.238,9e-06,9e-06,1e-05,8e-06,109
2017-10-28T00:00:00.000000,82689.112,9e-06,9e-06,1e-05,8e-06,80
2017-10-29T00:00:00.000000,163570.36,1e-05,1e-05,1.1e-05,9e-06,86
2017-10-30T00:00:00.000000,123783.184,1e-05,9e-06,1.1e-05,9e-06,116
2017-10-31T00:00:00.000000,70124.768,9e-06,9e-06,1e-05,8e-06,83
2017-11-01T00:00:00.000000,71709.098,9e-06,8e-06,9e-06,8e-06,40
