time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-01-25T00:00:00.000000,2747402.099483347,2.658e-05,2.359e-05,2.9e-05,2.353e-05,2844
2018-01-26T00:00:00.000000,2818073.332451504,2.362e-05,2.415e-05,2.725e-05,2.362e-05,2477
2018-01-27T00:00:00.000000,3654861.724498354,2.413e-05,2.334e-05,2.492e-05,2.223e-05,3401
2018-01-28T00:00:00.000000,6645711.818488893,2.335e-05,2.394e-05,2.925e-05,2.221e-05,6596
2018-01-29T00:00:00.000000,5050615.427868585,2.406e-05,2.31e-05,2.701e-05,2.202e-05,5010
2018-01-30T00:00:00.000000,3287627.98559905,2.311e-05,2.162e-05,2.351e-05,2.142e-05,2772
2018-01-31T00:00:00.000000,166716.999999999,2.16e-05,1.911e-05,2.178e-05,1.911e-05,103
2018-02-01T00:00:00.000000,11153.0,1.901e-05,1.89e-05,1.901e-05,1.89e-05,7
2018-02-02T00:00:00.000000,1183111.191134471,1.888e-05,1.71e-05,1.888e-05,1.71e-05,939
2018-02-03T00:00:00.000000,170618.0,1.737e-05,1.552e-05,1.739e-05,1.552e-05,239
2018-02-04T00:00:00.000000,10202457.619618544,1.759e-05,1.849e-05,1.977e-05,1.667e-05,15318
2018-02-05T00:00:00.000000,11349759.645788742,1.849e-05,1.731e-05,1.975e-05,1.72e-05,16894
2018-02-06T00:00:00.000000,7225831.408613488,1.726e-05,1.539e-05,1.742e-05,1.455e-05,10311
2018-02-07T00:00:00.000000,2319019.207215841,1.541e-05,1.401e-05,1.598e-05,1.401e-05,3429
2018-02-09T00:00:00.000000,9593828.41087918,1.579e-05,1.59e-05,1.594e-05,1.524e-05,14568
2018-02-10T00:00:00.000000,10305910.974309513,1.589e-05,1.684e-05,1.756e-05,1.57e-05,15116
2018-02-11T00:00:00.000000,8742914.669276495,1.686e-05,1.724e-05,1.84e-05,1.607e-05,7507
2018-02-12T00:00:00.000000,5675341.02022366,1.721e-05,1.67e-05,1.76e-05,1.565e-05,6392
2018-02-13T00:00:00.000000,5437571.664369964,1.67e-05,1.68e-05,1.8e-05,1.617e-05,6312
2018-02-14T00:00:00.000000,6709149.666550555,1.679e-05,1.711e-05,1.825e-05,1.669e-05,7038
2018-02-15T00:00:00.000000,5595967.692763017,1.716e-05,1.581e-05,1.726e-05,1.554e-05,6121
2018-02-16T00:00:00.000000,5229822.057972505,1.58e-05,1.606e-05,1.69e-05,1.558e-05,6294
2018-02-17T00:00:00.000000,4529333.801582023,1.606e-05,1.616e-05,1.665e-05,1.532e-05,5767
2018-02-18T00:00:00.000000,4601992.989566623,1.615e-05,1.587e-05,1.645e-05,1.573e-05,5850
2018-02-19T00:00:00.000000,4675616.999999999,1.589e-05,1.471e-05,1.6e-05,1.466e-05,5851
2018-02-20T00:00:00.000000,4131210.986604152,1.472e-05,1.421e-05,1.521e-05,1.417e-05,5692
2018-02-21T00:00:00.000000,165044.0,1.419e-05,1.274e-05,1.421e-05,1.274e-05,224
2018-02-26T00:00:00.000000,1754334.0,1.313e-05,1.336e-05,1.356e-05,1.303e-05,2371
2018-02-27T00:00:00.000000,3570153.798925556,1.336e-05,1.256e-05,1.348e-05,1.2e-05,4689
2018-02-28T00:00:00.000000,4772710.670235515,1.257e-05,1.189e-05,1.257e-05,1.143e-05,5873
2018-03-01T00:00:00.000000,4423991.405394224,1.19e-05,1.052e-05,1.195e-05,1.052e-05,5652
2018-03-02T00:00:00.000000,248.0,1.03e-05,1.03e-05,1.03e-05,1.03e-05,1
2018-03-04T00:00:00.000000,1635.0,1.03e-05,1.03e-05,1.03e-05,1.03e-05,2
2018-03-08T00:00:00.000000,256.0,9e-06,7.96e-06,9e-06,7.96e-06,2
2018-03-09T00:00:00.000000,1261408.0,8.26e-06,8.32e-06,8.49e-06,8.13e-06,1625
2018-03-10T00:00:00.000000,4955627.022325437,8.29e-06,8.22e-06,8.33e-06,7.43e-06,5857
2018-03-11T00:00:00.000000,4165396.97513858,8.22e-06,8.15e-06,8.45e-06,8.1e-06,5779
2018-03-12T00:00:00.000000,4141846.661249999,8.17e-06,8.04e-06,8.23e-06,7.82e-06,5680
2018-03-13T00:00:00.000000,10543276.838797318,8.03e-06,7.98e-06,8.24e-06,7.76e-06,3927
2018-03-14T00:00:00.000000,10831323.154292144,8.02e-06,9.983e-06,1.101e-05,7.92e-06,5983
2018-03-15T00:00:00.000000,9683284.663064813,9.983e-06,8.771e-06,1.0398e-05,8.5e-06,6601
2018-03-16T00:00:00.000000,10162238.089494955,8.771e-06,8.499e-06,9.05e-06,8.207e-06,5996
2018-03-17T00:00:00.000000,9241550.605506567,8.498e-06,8.358e-06,8.665e-06,8.098e-06,5911
2018-03-18T00:00:00.000000,8181974.045673573,8.316e-06,8.031e-06,8.475e-06,8e-06,5353
2018-03-19T00:00:00.000000,11184858.460233293,8.025e-06,7.338e-06,8.066e-06,6.709e-06,6150
2018-03-20T00:00:00.000000,8194674.726030175,7.316e-06,7.619e-06,7.751e-06,7.165e-06,5158
2018-03-21T00:00:00.000000,7823603.453693306,7.608e-06,7.997e-06,8.74e-06,7.464e-06,5879
2018-03-22T00:00:00.000000,7974055.686339559,8.004e-06,8.357e-06,9.51e-06,7.698e-06,6030
2018-03-23T00:00:00.000000,7809703.574550656,8.382e-06,8.198e-06,8.51e-06,7.854e-06,5412
2018-03-24T00:00:00.000000,15310415.763805652,8.205e-06,8.393e-06,8.776e-06,7.882e-06,5692
2018-03-25T00:00:00.000000,16439278.415747963,8.392e-06,8.912e-06,9.519e-06,8.32e-06,6654
2018-03-26T00:00:00.000000,26517809.750432685,8.911e-06,1.2607e-05,1.394e-05,8.777e-06,10353
2018-03-27T00:00:00.000000,15294517.857499482,1.253e-05,1.0652e-05,1.304e-05,9.599e-06,7622
2018-03-28T00:00:00.000000,13061245.045598565,1.0641e-05,1.065e-05,1.0865e-05,9.75e-06,4891
