time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-06-24T00:00:00.000000,656588.38,0.000101,0.00011,0.000133,9.8e-05,1399
2018-06-25T00:00:00.000000,585330.22,0.00011,0.000102,0.00011,9.5e-05,1141
2018-06-26T00:00:00.000000,502183.73,0.000102,9.8e-05,0.000102,9.3e-05,515
2018-06-27T00:00:00.000000,57405.24,0.000101,9.8e-05,0.000104,9.6e-05,98
2018-06-28T00:00:00.000000,28171.27,9.6e-05,9.7e-05,0.000103,9.2e-05,94
2018-06-29T00:00:00.000000,274864.4,9.5e-05,9e-05,9.6e-05,9e-05,418
2018-06-30T00:00:00.000000,39013.37,9.1e-05,9e-05,9.2e-05,8.7e-05,96
2018-07-01T00:00:00.000000,230338.86,9e-05,9e-05,9.5e-05,8.8e-05,282
2018-07-02T00:00:00.000000,148349.71,9.2e-05,9.8e-05,0.000102,9.1e-05,209
2018-07-03T00:00:00.000000,213828.32,9.6e-05,9.9e-05,0.000104,9.5e-05,299
2018-07-04T00:00:00.000000,624123.87,0.000103,0.000103,0.000117,0.0001,844
2018-07-05T00:00:00.000000,163173.53,0.000104,0.000114,0.000119,9.9e-05,435
2018-07-06T00:00:00.000000,67957.4,0.000111,0.000104,0.000114,0.000104,283
2018-07-07T00:00:00.000000,489733.71,0.000106,0.000101,0.000106,9.7e-05,1445
2018-07-08T00:00:00.000000,496601.12,0.000103,0.0001,0.000109,9.8e-05,1303
2018-07-09T00:00:00.000000,1126664.19,0.0001,0.0001,0.000104,9.3e-05,2252
2018-07-10T00:00:00.000000,417325.15,9.9e-05,9.9e-05,0.0001,9.2e-05,1544
2018-07-11T00:00:00.000000,12177.87,9.8e-05,9.7e-05,9.9e-05,9.3e-05,231
2018-07-12T00:00:00.000000,1133815.3,9.4e-05,9.3e-05,0.000104,8.1e-05,2138
2018-07-13T00:00:00.000000,152740.98,9.3e-05,8.9e-05,0.000101,8.6e-05,467
2018-07-14T00:00:00.000000,930622.35,9.1e-05,9.6e-05,9.7e-05,8.6e-05,1268
2018-07-15T00:00:00.000000,9631.53,9.4e-05,9.2e-05,9.4e-05,9e-05,70
2018-07-16T00:00:00.000000,8968.96,9.1e-05,9.3e-05,9.4e-05,8.9e-05,57
2018-07-17T00:00:00.000000,371762.1,9.4e-05,9.3e-05,9.4e-05,8.8e-05,1297
2018-07-18T00:00:00.000000,8255.02,9.3e-05,9.4e-05,9.4e-05,9e-05,103
2018-07-19T00:00:00.000000,200395.55,9.4e-05,9.8e-05,0.000117,9.3e-05,523
2018-07-20T00:00:00.000000,46507.55,9.9e-05,9.8e-05,9.9e-05,9.4e-05,265
2018-07-21T00:00:00.000000,213443.43,9.9e-05,9.2e-05,0.000101,9e-05,662
2018-07-22T00:00:00.000000,120690.31,9.1e-05,9.2e-05,9.2e-05,8.8e-05,822
2018-07-23T00:00:00.000000,575731.59,9.2e-05,9e-05,9.5e-05,8.8e-05,1286
2018-07-24T00:00:00.000000,116990.52,9.1e-05,8.8e-05,9.2e-05,8.5e-05,292
2018-07-25T00:00:00.000000,11555.56,8.7e-05,8.3e-05,8.8e-05,8.1e-05,107
2018-07-26T00:00:00.000000,8140.71,8.4e-05,8.3e-05,8.6e-05,8.3e-05,70
2018-07-27T00:00:00.000000,30504.98,8.3e-05,8.4e-05,8.6e-05,8.3e-05,90
2018-07-28T00:00:00.000000,334551.39,8.4e-05,8.2e-05,8.4e-05,8e-05,373
2018-07-29T00:00:00.000000,10803.1,8.3e-05,8.4e-05,8.5e-05,8e-05,91
2018-07-30T00:00:00.000000,1383981.51,8.6e-05,8.6e-05,9e-05,8.2e-05,1466
2018-07-31T00:00:00.000000,29828.03,8.6e-05,8e-05,8.6e-05,8e-05,174
2018-08-01T00:00:00.000000,15686.92,8.2e-05,7.7e-05,8.2e-05,7.7e-05,146
2018-08-02T00:00:00.000000,152438.73,7.7e-05,7.8e-05,7.9e-05,7.4e-05,225
2018-08-03T00:00:00.000000,432197.13,7.8e-05,7.2e-05,7.8e-05,6.8e-05,455
2018-08-04T00:00:00.000000,29073.83,7.2e-05,7e-05,7.3e-05,6.9e-05,50
2018-08-05T00:00:00.000000,98178.68,7.2e-05,6.7e-05,7.7e-05,6.5e-05,250
2018-08-06T00:00:00.000000,8655.23,6.7e-05,6.7e-05,6.9e-05,6.5e-05,63
2018-08-07T00:00:00.000000,42683.87,6.6e-05,6.7e-05,7e-05,6.5e-05,125
2018-08-08T00:00:00.000000,799483.56,6.8e-05,7.2e-05,8.1e-05,6.4e-05,1132
2018-08-09T00:00:00.000000,382519.58,7.2e-05,6.4e-05,7.5e-05,6.3e-05,489
2018-08-10T00:00:00.000000,249858.19,6.4e-05,7e-05,7.2e-05,6.3e-05,361
2018-08-11T00:00:00.000000,678964.2,6.9e-05,7.1e-05,7.2e-05,6.7e-05,924
2018-08-12T00:00:00.000000,55882.51,7e-05,7.1e-05,7.6e-05,6.6e-05,182
