time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-03-23T00:00:00.000000,10611.254,0.1805,0.1765,0.197,0.1752,61
2018-03-24T00:00:00.000000,3463.738,0.1765,0.1672,0.1765,0.1663,33
2018-03-25T00:00:00.000000,12772.004,0.1672,0.172,0.1785,0.1672,22
2018-03-26T00:00:00.000000,6400.587,0.1722,0.2012,0.2012,0.171,39
2018-03-27T00:00:00.000000,50014.716,0.1793,0.1625,0.1839,0.1625,54
2018-03-28T00:00:00.000000,15122.225,0.17,0.162,0.17,0.1593,20
2018-03-29T00:00:00.000000,2219.512,0.162,0.166,0.177,0.162,31
2018-03-30T00:00:00.000000,7145.062,0.165,0.16,0.165,0.16,35
2018-03-31T00:00:00.000000,48292.126,0.16,0.1423,0.16,0.1423,50
2018-04-01T00:00:00.000000,3723.456,0.1439,0.1699,0.1699,0.1438,34
2018-04-02T00:00:00.000000,3148.332,0.17,0.1552,0.17,0.1407,34
2018-04-03T00:00:00.000000,908.753,0.1523,0.153,0.1622,0.1523,18
2018-04-04T00:00:00.000000,5775.006,0.1667,0.1694,0.19,0.1667,32
2018-04-05T00:00:00.000000,2348.669,0.1717,0.1686,0.1824,0.1686,16
2018-04-06T00:00:00.000000,12313.901,0.1686,0.1394,0.175,0.1394,55
2018-04-07T00:00:00.000000,1200.496,0.1401,0.1341,0.1422,0.1341,14
2018-04-08T00:00:00.000000,715.205,0.134,0.1458,0.1589,0.134,38
2018-04-09T00:00:00.000000,449.876,0.1458,0.142,0.1546,0.142,8
2018-04-10T00:00:00.000000,17940.902,0.1353,0.1578,0.1729,0.134,64
2018-04-11T00:00:00.000000,5633.326,0.1474,0.1604,0.1615,0.1457,23
2018-04-12T00:00:00.000000,11935.417,0.1583,0.1612,0.1634,0.1564,50
2018-04-13T00:00:00.000000,11723.715,0.1642,0.18,0.18,0.1529,71
2018-04-14T00:00:00.000000,24297.612,0.1892,0.1894,0.199,0.1798,107
2018-04-15T00:00:00.000000,23278.172,0.1849,0.192,0.1932,0.18,49
2018-04-16T00:00:00.000000,7771.764,0.1974,0.2012,0.22,0.18,66
2018-04-17T00:00:00.000000,7152.108,0.193,0.2005,0.2005,0.193,19
2018-04-18T00:00:00.000000,10963.758,0.2003,0.2002,0.2021,0.1964,28
2018-04-19T00:00:00.000000,750.203,0.204,0.2314,0.2314,0.2031,24
2018-04-20T00:00:00.000000,10164.588,0.2314,0.2563,0.2609,0.21,81
2018-04-21T00:00:00.000000,4465.761,0.2713,0.2636,0.2713,0.2399,47
2018-04-22T00:00:00.000000,15432.336,0.2601,0.2369,0.2657,0.2369,52
2018-04-23T00:00:00.000000,672.569,0.2468,0.2635,0.2657,0.246,14
2018-04-24T00:00:00.000000,38632.954,0.2636,0.265,0.2835,0.2547,70
2018-04-25T00:00:00.000000,21278.632,0.275,0.2831,0.3,0.239,99
2018-04-26T00:00:00.000000,12784.317,0.2886,0.23,0.2886,0.2172,41
2018-04-27T00:00:00.000000,2210.64,0.2522,0.25,0.2563,0.227,16
2018-04-28T00:00:00.000000,15765.411,0.2488,0.248,0.2604,0.178,40
2018-04-29T00:00:00.000000,22137.669,0.241,0.2642,0.2714,0.24,72
2018-04-30T00:00:00.000000,61724.539,0.2716,0.2473,0.35,0.2362,173
2018-05-01T00:00:00.000000,6098.582,0.242,0.2479,0.2652,0.24,30
2018-05-02T00:00:00.000000,53682.994,0.2479,0.2371,0.2479,0.2362,46
2018-05-03T00:00:00.000000,17910.491,0.2405,0.2669,0.2801,0.2405,55
2018-05-04T00:00:00.000000,17681.96,0.2614,0.2618,0.2888,0.25,139
2018-05-05T00:00:00.000000,38485.208,0.2617,0.2642,0.2713,0.2551,118
2018-05-06T00:00:00.000000,235194.587,0.2564,0.2607,0.3699,0.2564,370
2018-05-07T00:00:00.000000,196772.142,0.2686,0.2482,0.3,0.2481,216
2018-05-08T00:00:00.000000,76384.219,0.2599,0.2417,0.26,0.235,162
2018-05-09T00:00:00.000000,26316.47,0.2418,0.2297,0.2916,0.2297,75
2018-05-10T00:00:00.000000,10103.553,0.2253,0.2315,0.2798,0.2143,58
2018-05-11T00:00:00.000000,79228.921,0.2226,0.2256,0.28,0.21,115
2018-05-12T00:00:00.000000,48938.329,0.2102,0.18,0.2221,0.1686,103
2018-05-13T00:00:00.000000,119456.887,0.2072,0.1752,0.21,0.1614,90
2018-05-14T00:00:00.000000,17125.942,0.1823,0.1916,0.2439,0.1768,52
2018-05-15T00:00:00.000000,51854.322,0.1915,0.221,0.23,0.1701,108
2018-05-16T00:00:00.000000,29090.017,0.237,0.2122,0.2388,0.2016,62
2018-05-17T00:00:00.000000,11646.021,0.2018,0.2,0.209,0.2,25
2018-05-18T00:00:00.000000,51.135,0.1919,0.1925,0.2149,0.1919,11
2018-05-19T00:00:00.000000,10519.553,0.1913,0.18,0.2049,0.1748,37
2018-05-20T00:00:00.000000,19.0,0.1807,0.1874,0.1874,0.1807,5
2018-05-21T00:00:00.000000,641.671,0.1874,0.1831,0.1874,0.1831,4
2018-05-22T00:00:00.000000,23084.598,0.2119,0.191,0.22,0.1862,64
2018-05-23T00:00:00.000000,32614.021,0.1914,0.1728,0.2282,0.1728,76
2018-05-24T00:00:00.000000,5335.252,0.1736,0.1615,0.2139,0.1614,39
2018-05-25T00:00:00.000000,2878.088,0.1614,0.1547,0.1699,0.1523,10
2018-05-26T00:00:00.000000,39553.99,0.1549,0.1586,0.178,0.1525,68
2018-05-27T00:00:00.000000,68518.112,0.1526,0.1441,0.1576,0.118,141
2018-05-28T00:00:00.000000,48504.871,0.1489,0.14,0.1512,0.14,70
2018-05-29T00:00:00.000000,42863.236,0.14,0.1303,0.1741,0.1288,53
2018-06-05T00:00:00.000000,10011.419,0.1608,0.1745,0.177,0.1608,15
2018-06-06T00:00:00.000000,37586.423,0.149,0.1473,0.1503,0.1259,56
2018-06-07T00:00:00.000000,1035.281,0.1454,0.145,0.1455,0.136,9
2018-06-08T00:00:00.000000,7109.081,0.136,0.137,0.1614,0.136,18
2018-06-09T00:00:00.000000,3965.76,0.1371,0.1384,0.1384,0.135,16
2018-06-10T00:00:00.000000,607.07,0.1289,0.14,0.14,0.1289,11
2018-06-11T00:00:00.000000,79560.317,0.1289,0.1023,0.168,0.1001,87
2018-06-12T00:00:00.000000,11345.146,0.1006,0.1009,0.1125,0.1005,13
2018-06-13T00:00:00.000000,37312.752,0.1021,0.0931,0.1117,0.0931,66
2018-06-14T00:00:00.000000,79014.767,0.0905,0.0842,0.0909,0.0709,55
2018-06-15T00:00:00.000000,59317.297,0.0841,0.0715,0.1444,0.0715,88
2018-06-16T00:00:00.000000,59690.056,0.0944,0.0831,0.111,0.0752,56
2018-06-17T00:00:00.000000,23106.386,0.0825,0.0801,0.0982,0.0764,52
2018-06-18T00:00:00.000000,7729.667,0.0808,0.0853,0.089,0.0808,23
2018-06-19T00:00:00.000000,155.041,0.0867,0.0867,0.0867,0.0867,2
2018-06-20T00:00:00.000000,33623.504,0.0812,0.08,0.0896,0.0779,50
2018-06-21T00:00:00.000000,2808.9,0.0802,0.0791,0.0968,0.0777,28
2018-06-22T00:00:00.000000,59.211,0.079,0.079,0.079,0.079,3
2018-06-23T00:00:00.000000,64848.38,0.079,0.073,0.0791,0.073,28
2018-06-24T00:00:00.000000,120131.148,0.0731,0.0722,0.0731,0.0718,49
2018-06-25T00:00:00.000000,21609.278,0.0738,0.065,0.0738,0.0612,27
2018-06-26T00:00:00.000000,157.077,0.0659,0.0659,0.0659,0.0659,1
2018-06-29T00:00:00.000000,149.715,0.0473,0.0521,0.0521,0.0473,2
2018-06-30T00:00:00.000000,3925.019,0.0623,0.0626,0.0626,0.0623,6
2018-07-01T00:00:00.000000,9.476,0.0902,0.082,0.0902,0.0706,4
2018-07-02T00:00:00.000000,13956.259,0.0651,0.0818,0.0818,0.0605,11
2018-07-03T00:00:00.000000,40343.717,0.0795,0.08,0.0821,0.069,32
2018-07-04T00:00:00.000000,18999.875,0.085,0.0803,0.085,0.0557,17
2018-07-05T00:00:00.000000,14.692,0.0749,0.0749,0.0749,0.0749,3
2018-07-06T00:00:00.000000,231.885,0.075,0.075,0.075,0.075,2
2018-07-07T00:00:00.000000,184032.869,0.075,0.0834,0.1077,0.0679,114
2018-07-08T00:00:00.000000,336461.294,0.0982,0.1006,0.111,0.0937,115
