time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2018-07-01T00:00:00.000000,5106.295,9.91e-06,1.286e-05,1.303e-05,9.91e-06,15
2018-07-02T00:00:00.000000,36032.859,1.034e-05,1.264e-05,1.389e-05,1.034e-05,41
2018-07-03T00:00:00.000000,75779.946,1.268e-05,1.247e-05,1.268e-05,8.47e-06,69
2018-07-04T00:00:00.000000,10875.249,1.273e-05,1.222e-05,1.316e-05,1.222e-05,9
2018-07-06T00:00:00.000000,231.232,1.089e-05,1.089e-05,1.089e-05,1.089e-05,1
2018-07-07T00:00:00.000000,103020593.01,1.081e-05,1.47e-05,2.084e-05,1.043e-05,6083
2018-07-08T00:00:00.000000,38549731.875,1.47e-05,1.469e-05,2.425e-05,1.058e-05,1956
2018-07-09T00:00:00.000000,441380.14,1.51e-05,1.493e-05,1.583e-05,1.171e-05,290
2018-07-10T00:00:00.000000,239213.281,1.483e-05,1.343e-05,1.483e-05,1.21e-05,124
2018-07-11T00:00:00.000000,39027.782,1.405e-05,1.472e-05,1.565e-05,1.374e-05,80
2018-07-12T00:00:00.000000,24139.31,1.455e-05,1.417e-05,1.455e-05,1.318e-05,23
2018-07-13T00:00:00.000000,28429.645,1.321e-05,1.251e-05,1.351e-05,1.222e-05,44
2018-07-14T00:00:00.000000,6822.788,1.254e-05,1.256e-05,1.316e-05,1.185e-05,26
2018-07-15T00:00:00.000000,6494.365,1.221e-05,1.251e-05,1.275e-05,1.221e-05,15
2018-07-16T00:00:00.000000,498.713,1.236e-05,1.56e-05,1.56e-05,1.236e-05,3
2018-07-17T00:00:00.000000,20.0,1.28e-05,1.186e-05,1.28e-05,1.186e-05,2
2018-07-18T00:00:00.000000,10.0,1.246e-05,1.246e-05,1.246e-05,1.246e-05,1
2018-07-19T00:00:00.000000,7598.256,1.223e-05,1.251e-05,1.311e-05,1.223e-05,7
2018-07-21T00:00:00.000000,15101.0,1.383e-05,1.546e-05,1.546e-05,1.383e-05,3
2018-07-22T00:00:00.000000,3170.466,1.221e-05,1.186e-05,1.223e-05,1.185e-05,12
2018-07-23T00:00:00.000000,1713.185,1.197e-05,1.196e-05,1.197e-05,1.196e-05,6
2018-07-24T00:00:00.000000,331.395,1.061e-05,1.063e-05,1.063e-05,1.061e-05,2
2018-07-25T00:00:00.000000,6539.417,1.067e-05,1.14e-05,1.428e-05,1.067e-05,17
2018-07-26T00:00:00.000000,96.978,1.076e-05,1.082e-05,1.082e-05,1.076e-05,7
2018-07-27T00:00:00.000000,237.925,1.335e-05,1.105e-05,1.335e-05,1.105e-05,2
2018-07-28T00:00:00.000000,95843.237,1.1e-05,1.121e-05,1.202e-05,1.081e-05,44
2018-07-29T00:00:00.000000,20822.629,1.136e-05,1.09e-05,1.136e-05,1.09e-05,11
2018-07-31T00:00:00.000000,3.0,1.295e-05,1.091e-05,1.295e-05,1.091e-05,3
2018-08-01T00:00:00.000000,5659.672,1.09e-05,1.063e-05,1.09e-05,1.063e-05,7
2018-08-02T00:00:00.000000,2339.0,1.063e-05,1.063e-05,1.063e-05,1.063e-05,6
2018-08-03T00:00:00.000000,275.773,1.063e-05,1.063e-05,1.063e-05,1.063e-05,3
2018-08-04T00:00:00.000000,29980.518,9.99e-06,1.101e-05,1.101e-05,9.99e-06,10
2018-08-05T00:00:00.000000,4387.775,1.062e-05,9.74e-06,1.062e-05,9.74e-06,4
2018-08-07T00:00:00.000000,1144.219,1.177e-05,1.04e-05,1.177e-05,1.04e-05,2
2018-08-08T00:00:00.000000,49.262,1.049e-05,1.049e-05,1.049e-05,1.049e-05,2
2018-08-09T00:00:00.000000,1243.649,9.91e-06,9.84e-06,9.91e-06,9.81e-06,3
2018-08-10T00:00:00.000000,806.495,9.9e-06,9.81e-06,1.05e-05,9.73e-06,11
2018-08-11T00:00:00.000000,259.171,9.97e-06,9.97e-06,9.97e-06,9.97e-06,4
2018-08-12T00:00:00.000000,2117.415,9.97e-06,8.85e-06,9.97e-06,8.85e-06,13
