time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-08-16T00:00:00.000000,3477.04,0.32,1.0,1.8,0.32,162
2017-08-17T00:00:00.000000,44283.08,0.75002,0.69,1.0,0.16,350
2017-08-18T00:00:00.000000,17263.36,0.6,0.51,0.98,0.41006,373
2017-08-19T00:00:00.000000,14587.35,0.46,0.31899,0.74,0.26156,240
2017-08-20T00:00:00.000000,20437.63,0.31898,0.68,0.78,0.27101,286
2017-08-21T00:00:00.000000,61683.9,0.68,0.54002,0.72,0.425,375
2017-08-22T00:00:00.000000,33381.35,0.58999,0.4,0.58999,0.3612,378
2017-08-23T00:00:00.000000,22075.78,0.39,0.40354,0.4451,0.31,515
2017-08-24T00:00:00.000000,26322.75,0.37962,0.41639,0.54,0.345,2241
2017-08-25T00:00:00.000000,52234.96,0.39414,0.39475,0.449,0.3142,2730
2017-08-26T00:00:00.000000,35988.76,0.40293,0.35549,0.4316,0.25,2431
2017-08-27T00:00:00.000000,25897.26,0.34862,0.35122,0.39996,0.31003,1614
2017-08-28T00:00:00.000000,44229.83,0.35,0.35917,0.3673,0.32569,1970
2017-08-29T00:00:00.000000,22302.99,0.34965,0.35498,0.36759,0.28006,1944
2017-08-30T00:00:00.000000,22262.19,0.33779,0.37796,0.38778,0.29001,2086
2017-08-31T00:00:00.000000,17661.53,0.38158,0.3368,0.39095,0.32602,2269
2017-09-01T00:00:00.000000,36114.03,0.33254,0.36,0.39,0.29511,2400
2017-09-02T00:00:00.000000,21970.2,0.35158,0.36322,0.47018,0.333,2568
2017-09-03T00:00:00.000000,31864.16,0.36339,0.30486,0.4,0.3,1512
2017-09-04T00:00:00.000000,23936.26,0.31489,0.27361,0.36656,0.2,1462
2017-09-05T00:00:00.000000,33738.95,0.26882,0.25288,0.29812,0.2,1375
2017-09-06T00:00:00.000000,22424.17,0.24268,0.24425,0.26989,0.20006,1067
2017-09-07T00:00:00.000000,25656.24,0.22156,0.26208,0.28399,0.21555,1211
2017-09-08T00:00:00.000000,42295.69,0.25999,0.30409,0.33622,0.24061,1403
2017-09-09T00:00:00.000000,37965.38,0.33727,0.25981,0.3479,0.2121,1251
2017-09-10T00:00:00.000000,24499.04,0.24932,0.24828,0.27497,0.22802,1613
2017-09-11T00:00:00.000000,25136.07,0.2507,0.23004,0.27,0.11,1258
2017-09-12T00:00:00.000000,27398.73,0.25198,0.26717,0.32,0.22,1072
2017-09-13T00:00:00.000000,28873.19,0.26741,0.25335,0.30399,0.25101,1276
2017-09-14T00:00:00.000000,28239.36,0.26911,0.2321,0.28319,0.20101,1896
2017-09-15T00:00:00.000000,40823.25,0.21825,0.1699,0.23737,0.13596,2221
2017-09-16T00:00:00.000000,83047.54,0.19871,0.1924,0.22365,0.13102,2326
2017-09-17T00:00:00.000000,54351.78,0.18865,0.19694,0.24912,0.131,2190
2017-09-18T00:00:00.000000,36609.76,0.1945,0.20127,0.21214,0.18208,2282
2017-09-19T00:00:00.000000,42172.57,0.20748,0.24233,0.25099,0.20066,2437
2017-09-20T00:00:00.000000,45965.39,0.24057,0.20412,0.24871,0.20187,2477
2017-09-21T00:00:00.000000,38833.13,0.22036,0.21113,0.22367,0.19392,2495
2017-09-22T00:00:00.000000,82016.41,0.21339,0.17929,0.21894,0.15802,2687
2017-09-23T00:00:00.000000,48282.21,0.18192,0.17981,0.18998,0.15875,2691
2017-09-24T00:00:00.000000,51868.78,0.1713,0.18768,0.2,0.1593,1356
2017-09-25T00:00:00.000000,53478.65,0.18922,0.16448,0.19909,0.15208,1705
2017-09-26T00:00:00.000000,48625.65,0.17221,0.20498,0.21,0.15668,1795
2017-09-27T00:00:00.000000,52037.28,0.19246,0.19369,0.215,0.17,1867
2017-09-28T00:00:00.000000,51536.22,0.20576,0.23537,0.26,0.18671,2175
2017-09-29T00:00:00.000000,37658.96,0.23661,0.21132,0.24667,0.19719,1898
2017-09-30T00:00:00.000000,41217.27,0.20823,0.21219,0.2232,0.17784,2268
2017-10-01T00:00:00.000000,35650.91,0.21811,0.21518,0.23387,0.20488,2358
2017-10-02T00:00:00.000000,34950.03,0.2124,0.20599,0.22571,0.19994,1483
2017-10-03T00:00:00.000000,35786.88,0.20512,0.20223,0.22491,0.19537,1631
2017-10-04T00:00:00.000000,47237.62,0.20186,0.1926,0.20534,0.16302,1588
2017-10-05T00:00:00.000000,45554.52,0.18902,0.17752,0.20385,0.16655,1034
2017-10-06T00:00:00.000000,39346.11,0.1871,0.19712,0.19999,0.17274,959
2017-10-07T00:00:00.000000,76467.16,0.1922,0.20422,0.21508,0.17227,1388
2017-10-08T00:00:00.000000,45053.97,0.20052,0.18814,0.21155,0.18092,1793
2017-10-09T00:00:00.000000,53235.41,0.19179,0.19237,0.20996,0.17002,1565
2017-10-10T00:00:00.000000,54550.79,0.19984,0.18421,0.19988,0.17451,1467
2017-10-11T00:00:00.000000,50970.29,0.18377,0.20432,0.21155,0.17181,2287
2017-10-12T00:00:00.000000,47094.76,0.19753,0.20296,0.22,0.18775,1950
2017-10-13T00:00:00.000000,42343.41,0.20848,0.18637,0.21146,0.18502,1939
2017-10-14T00:00:00.000000,59794.11,0.18732,0.19111,0.20924,0.17658,2399
2017-10-15T00:00:00.000000,46063.72,0.19169,0.18829,0.20817,0.17304,2156
2017-10-16T00:00:00.000000,57396.35,0.19084,0.19492,0.20924,0.18624,1783
2017-10-17T00:00:00.000000,43089.37,0.19064,0.18962,0.20801,0.17303,1860
2017-10-18T00:00:00.000000,44608.08,0.19335,0.21137,0.221,0.18099,2118
2017-10-19T00:00:00.000000,41287.33,0.20698,0.22572,0.2288,0.18002,2625
