time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-11-24T00:00:00.000000,4031078.0,2.811e-05,2.718e-05,2.889e-05,2.61e-05,6345
2017-11-25T00:00:00.000000,3935304.0,2.697e-05,2.861e-05,2.921e-05,2.431e-05,6440
2017-11-26T00:00:00.000000,3503462.0,2.886e-05,2.63e-05,2.957e-05,2.55e-05,6621
2017-11-27T00:00:00.000000,3436540.0,2.631e-05,2.401e-05,2.65e-05,2.35e-05,6389
2017-11-28T00:00:00.000000,3883171.0,2.403e-05,2.378e-05,2.527e-05,2.16e-05,7042
2017-11-29T00:00:00.000000,3720372.0,2.388e-05,2.264e-05,2.489e-05,2.201e-05,5878
2017-11-30T00:00:00.000000,5853785.0,2.268e-05,1.953e-05,2.325e-05,1.793e-05,7445
2017-12-01T00:00:00.000000,4354570.0,1.955e-05,1.884e-05,2.058e-05,1.801e-05,5660
2017-12-02T00:00:00.000000,3415589.0,1.884e-05,1.843e-05,1.985e-05,1.838e-05,5823
2017-12-03T00:00:00.000000,4788917.0,1.844e-05,1.964e-05,2.117e-05,1.697e-05,6301
2017-12-04T00:00:00.000000,3877295.0,1.96e-05,1.901e-05,2.006e-05,1.752e-05,5216
2017-12-05T00:00:00.000000,3385961.0,1.891e-05,1.958e-05,1.999e-05,1.854e-05,3142
2017-12-06T00:00:00.000000,4364707.0,1.94e-05,1.896e-05,1.98e-05,1.72e-05,2045
2017-12-07T00:00:00.000000,15494410.0,1.897e-05,1.881e-05,2.799e-05,1.733e-05,10171
2017-12-08T00:00:00.000000,11875054.0,1.887e-05,1.503e-05,2.174e-05,1.5e-05,10885
2017-12-09T00:00:00.000000,6857166.0,1.503e-05,1.584e-05,1.75e-05,1.17e-05,9447
2017-12-10T00:00:00.000000,5163311.0,1.593e-05,1.578e-05,1.72e-05,1.523e-05,8863
2017-12-11T00:00:00.000000,5005700.0,1.58e-05,1.476e-05,1.642e-05,1.413e-05,8043
