time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-11-24T00:00:00.000000,122642.254,2.8e-05,2.7e-05,3e-05,2.5e-05,327
2017-11-25T00:00:00.000000,84726.098,2.7e-05,2.8e-05,2.9e-05,2.5e-05,200
2017-11-26T00:00:00.000000,41516.574,2.9e-05,2.6e-05,2.9e-05,2.6e-05,126
2017-11-27T00:00:00.000000,55197.615,2.7e-05,2.4e-05,2.7e-05,2.3e-05,250
2017-11-28T00:00:00.000000,45899.148,2.4e-05,2.4e-05,2.5e-05,2e-05,147
2017-11-29T00:00:00.000000,32334.053,2.4e-05,2.4e-05,2.5e-05,2.2e-05,98
2017-11-30T00:00:00.000000,55900.126,2.3e-05,2e-05,2.3e-05,1.9e-05,137
2017-12-01T00:00:00.000000,40960.688,2e-05,1.9e-05,2e-05,1.9e-05,86
2017-12-02T00:00:00.000000,23033.122,1.9e-05,1.8e-05,2e-05,1.8e-05,90
2017-12-03T00:00:00.000000,34741.363,1.9e-05,2e-05,2.1e-05,1.7e-05,183
2017-12-04T00:00:00.000000,58000.244,1.9e-05,1.9e-05,2e-05,1.8e-05,135
2017-12-05T00:00:00.000000,81923.326,1.9e-05,2e-05,2e-05,1.8e-05,114
2017-12-06T00:00:00.000000,63589.985,1.9e-05,1.8e-05,2e-05,1.7e-05,170
2017-12-07T00:00:00.000000,283111.129,1.9e-05,1.8e-05,2.6e-05,1.7e-05,633
2017-12-08T00:00:00.000000,231914.534,1.8e-05,1.5e-05,2.1e-05,1.5e-05,375
2017-12-09T00:00:00.000000,134312.008,1.5e-05,1.6e-05,1.8e-05,1.1e-05,333
2017-12-10T00:00:00.000000,43973.543,1.6e-05,1.7e-05,1.7e-05,1.5e-05,153
2017-12-11T00:00:00.000000,51379.77,1.7e-05,1.5e-05,1.8e-05,1.4e-05,178
2017-12-12T00:00:00.000000,107169.895,1.5e-05,1.4e-05,1.5e-05,1.3e-05,227
2017-12-13T00:00:00.000000,160898.555,1.5e-05,1.5e-05,1.6e-05,1.3e-05,264
2017-12-14T00:00:00.000000,140813.15,1.4e-05,2.1e-05,2.2e-05,1.4e-05,540
2017-12-15T00:00:00.000000,127035.483,2.1e-05,2.3e-05,2.5e-05,2e-05,551
2017-12-16T00:00:00.000000,130159.473,2.2e-05,2e-05,2.3e-05,1.8e-05,354
2017-12-17T00:00:00.000000,46181.593,2.1e-05,1.9e-05,2.2e-05,1.9e-05,220
2017-12-18T00:00:00.000000,156609.389,2e-05,2.3e-05,2.6e-05,1.9e-05,463
2017-12-19T00:00:00.000000,234093.727,2.5e-05,2.9e-05,2.9e-05,2.2e-05,539
2017-12-20T00:00:00.000000,252692.401,2.8e-05,3.2e-05,3.4e-05,2.7e-05,658
2017-12-21T00:00:00.000000,250349.273,3.2e-05,3.5e-05,3.6e-05,2.8e-05,794
2017-12-22T00:00:00.000000,228415.631,3.5e-05,3.8e-05,4e-05,3.2e-05,882
2017-12-23T00:00:00.000000,126101.237,3.8e-05,3.7e-05,3.8e-05,3.1e-05,719
2017-12-24T00:00:00.000000,147232.837,3.6e-05,4.8e-05,5e-05,3.5e-05,508
2017-12-25T00:00:00.000000,147275.8,4.3e-05,4.6e-05,4.8e-05,4.1e-05,544
2017-12-26T00:00:00.000000,61617.66,4.6e-05,5.1e-05,5.3e-05,4.5e-05,412
2017-12-27T00:00:00.000000,90252.952,5e-05,4.1e-05,5.2e-05,3.5e-05,425
2017-12-28T00:00:00.000000,106309.564,4.1e-05,4.4e-05,5.1e-05,3.5e-05,705
2017-12-29T00:00:00.000000,115032.54,4.3e-05,4.5e-05,4.8e-05,4.2e-05,525
2017-12-30T00:00:00.000000,199895.514,4.6e-05,4.7e-05,4.9e-05,4.3e-05,912
2017-12-31T00:00:00.000000,137271.043,4.7e-05,5.4e-05,5.4e-05,4.5e-05,697
2018-01-01T00:00:00.000000,209037.417,5.4e-05,6.4e-05,7e-05,5.4e-05,1182
2018-01-02T00:00:00.000000,195471.905,6.5e-05,6.5e-05,7.5e-05,6.1e-05,1227
2018-01-03T00:00:00.000000,305174.648,6.6e-05,6.1e-05,7.9e-05,5e-05,1735
2018-01-04T00:00:00.000000,467608.953,6.1e-05,6.5e-05,7.3e-05,5.3e-05,2676
2018-01-05T00:00:00.000000,294146.621,6.6e-05,6.7e-05,7.6e-05,6.3e-05,2269
2018-01-06T00:00:00.000000,527355.239,6.9e-05,6.8e-05,9.2e-05,5.6e-05,2746
2018-01-07T00:00:00.000000,363178.296,6.9e-05,8e-05,9.6e-05,6.3e-05,1790
2018-01-08T00:00:00.000000,285601.383,8.1e-05,8.5e-05,9.5e-05,7.9e-05,1960
2018-01-09T00:00:00.000000,416436.222,8.5e-05,0.000129,0.000148,8e-05,2611
2018-01-10T00:00:00.000000,626291.081,0.000129,0.00015,0.000175,0.000117,6963
2018-01-11T00:00:00.000000,327241.658,0.000152,0.00015,0.000167,0.00012,3401
2018-01-12T00:00:00.000000,146590.933,0.000145,0.000139,0.00016,0.000125,1229
2018-01-13T00:00:00.000000,146032.662,0.000139,0.000161,0.000163,0.000135,1274
2018-01-14T00:00:00.000000,156956.141,0.00016,0.000165,0.000171,0.000146,1809
2018-01-15T00:00:00.000000,182169.966,0.000165,0.000146,0.000168,0.00014,1744
2018-01-16T00:00:00.000000,193523.62,0.000145,0.000127,0.00016,0.000111,1730
2018-01-17T00:00:00.000000,390778.036,0.000126,0.000139,0.000139,0.000103,3951
2018-01-18T00:00:00.000000,315561.362,0.000138,0.000138,0.000147,0.000117,3245
2018-01-19T00:00:00.000000,87262.975,0.000138,0.000146,0.000152,0.000137,1311
2018-01-20T00:00:00.000000,72996.965,0.000146,0.000157,0.000163,0.000141,1341
2018-01-21T00:00:00.000000,83350.069,0.000157,0.000161,0.000164,0.000141,1381
2018-01-22T00:00:00.000000,50732.947,0.000158,0.000149,0.000161,0.000135,1068
2018-01-23T00:00:00.000000,53633.837,0.000148,0.000154,0.000159,0.000143,767
2018-01-24T00:00:00.000000,71780.579,0.000154,0.000145,0.000163,0.000143,1438
2018-01-25T00:00:00.000000,46213.669,0.000146,0.000147,0.000149,0.000142,951
2018-01-26T00:00:00.000000,51505.322,0.000147,0.000144,0.000149,0.000138,816
2018-01-27T00:00:00.000000,122911.457,0.000146,0.000182,0.000198,0.000142,2778
2018-01-28T00:00:00.000000,103123.117,0.000183,0.000182,0.000194,0.000172,2292
2018-01-29T00:00:00.000000,61054.595,0.000184,0.000172,0.00019,0.000166,1000
2018-01-30T00:00:00.000000,56907.698,0.000171,0.000165,0.000173,0.00016,701
2018-01-31T00:00:00.000000,38951.837,0.000165,0.000161,0.000167,0.00015,958
2018-02-01T00:00:00.000000,55587.839,0.000161,0.000182,0.000182,0.000148,1357
2018-02-02T00:00:00.000000,101506.671,0.000182,0.000174,0.00019,0.000157,1986
2018-02-03T00:00:00.000000,45509.99,0.000177,0.000146,0.000179,0.000136,932
2018-02-04T00:00:00.000000,49043.837,0.000146,0.000152,0.00016,0.000138,779
2018-02-05T00:00:00.000000,40751.044,0.000149,0.000138,0.000153,0.00013,866
2018-02-06T00:00:00.000000,102017.764,0.00014,0.000118,0.00014,0.00011,1130
2018-02-07T00:00:00.000000,71896.934,0.000118,0.000131,0.000134,0.000105,1727
2018-02-08T00:00:00.000000,61823.869,0.000132,0.000129,0.000141,0.000124,1773
2018-02-09T00:00:00.000000,48362.839,0.000131,0.00013,0.000137,0.000124,1454
2018-02-10T00:00:00.000000,61808.213,0.00013,0.000131,0.00014,0.000125,2126
2018-02-11T00:00:00.000000,42082.923,0.000132,0.000127,0.000134,0.00012,902
2018-02-12T00:00:00.000000,34195.304,0.000128,0.000121,0.000128,0.000115,860
2018-02-13T00:00:00.000000,16281.077,0.000122,0.000116,0.000125,0.000115,695
2018-02-14T00:00:00.000000,78346.223,0.000116,0.000114,0.00012,0.000109,601
